run,agent,topic,social,order
1,bot_1,conflict,1,1
1,hum_1,cars,0,2
1,hum_2,space,0,3
1,bot_2,photography,0,4
1,hum_1,hobbies,1,5
1,hum_2,childhood_memories,1,6
1,bot_2,friendship,1,7
1,bot_1,nature,0,8
2,hum_1,role_models,1,1
2,bot_2,books,0,2
2,bot_1,sports,0,3
2,hum_2,networks,1,4
2,hum_1,exercise,0,5
2,bot_2,empathy,1,6
2,bot_1,mentorship,1,7
2,hum_2,art,0,8
3,bot_2,movies,0,1
3,hum_2,architecture,0,2
3,hum_1,music,0,3
3,bot_1,love,1,4
3,bot_1,cooking,0,5
3,hum_2,cultural_celebrations,1,6
3,bot_2,loneliness,1,7
3,hum_1,trust,1,8
4,bot_2,work_life,1,1
4,hum_1,technology,0,2
4,hum_2,podcasts,0,3
4,bot_1,travel,0,4
4,bot_2,seasons,0,5
4,bot_1,communication,1,6
4,hum_2,forgiveness,1,7
4,hum_1,teamwork,1,8
5,bot_1,boundaries,1,1
5,hum_2,family,1,2
5,bot_2,food,0,3
5,hum_1,fashion,0,4
5,hum_1,social_media,1,5
5,bot_1,weather,0,6
5,bot_2,goals,1,7
5,hum_2,gardening,0,8
