metric,label,anova_F,anova_p,anova_eta2,anova_sig,mean_gregory,sem_gregory,mean_rebecca,sem_rebecca,mean_chatgpt,sem_chatgpt,mean_copilot,sem_copilot,dz_Gregory_vs_Rebecca,padj_Gregory_vs_Rebecca,sig_Gregory_vs_Rebecca,dz_Gregory_vs_ChatGPT,padj_Gregory_vs_ChatGPT,sig_Gregory_vs_ChatGPT,dz_Gregory_vs_Copilot,padj_Gregory_vs_Copilot,sig_Gregory_vs_Copilot,dz_Rebecca_vs_ChatGPT,padj_Rebecca_vs_ChatGPT,sig_Rebecca_vs_ChatGPT,dz_Rebecca_vs_Copilot,padj_Rebecca_vs_Copilot,sig_Rebecca_vs_Copilot,dz_ChatGPT_vs_Copilot,padj_ChatGPT_vs_Copilot,sig_ChatGPT_vs_Copilot
word_count,Word Count,0.08130881466244733,0.9700956893863651,0.0011901645845829607,,870.1640000000001,9.995920702660538,867.4760000000001,10.27092490718239,873.4520000000001,9.881804858693886,872.7520000000001,8.77730479761322,0.025892420097032475,0.9428430786784622,,-0.03151880638855735,0.9428430786784622,,-0.025927798491871972,0.9428430786784622,,-0.06030820760439794,0.9428430786784622,,-0.05746181845538651,0.9428430786784622,,0.01019161095857582,0.9428430786784622,
question_count,Questions (#),6.611398546214383,0.0003202077881155896,0.10125455208930668,***,9.156,0.29068757336033896,8.688,0.24375698838752313,7.566,0.23312622489692975,8.65,0.21914956219952825,0.167411341961835,0.2906549080541547,,0.5587359254172634,0.001496934568561255,**,0.1950196315226839,0.261237258106628,,0.4182598439389505,0.009523462716827058,**,0.01750462982315616,0.9019986471115362,,-0.4227004848559675,0.009523462716827058,**
demir_modal_rate,Demir: Modal Aux.,0.21789106179002185,0.8838651526830098,0.0032008237032934432,,0.011975238367081786,0.0002799986791709301,0.012035552523388221,0.0002876028574186332,0.01225511854124444,0.0003130756081759197,0.01197317887607816,0.0002831900337263863,-0.01992085580156008,0.9958950680686582,,-0.09428968067984254,0.9958950680686582,,0.0007313049377644602,0.9958950680686582,,-0.07717387008438706,0.9958950680686582,,0.02179561144256653,0.9958950680686582,,0.10800412419262385,0.9958950680686582,
demir_verb_rate,Demir: Epistemic Verbs,0.012893340121738445,0.9979903588346603,0.00023300007404340552,,0.01344449719377012,0.0003542544114168857,0.013397862545767147,0.000364150274072766,0.01337295718643955,0.0003421005894498954,0.013342950205995043,0.0003310125106408513,0.011539296477601574,0.9650830392859624,,0.01919120776005746,0.9650830392859624,,0.02769364322788958,0.9650830392859624,,0.006222572685063878,0.9650830392859624,,0.014629626187504567,0.9650830392859624,,0.008634161972471724,0.9650830392859624,
demir_adverb_rate,Demir: Epistemic Adverbs,2.702190825702394,0.047746077369635986,0.04071763781676158,*,0.010572401037501145,0.00021149181705164738,0.0108089310039627,0.0002638725792010927,0.010372290639711568,0.00023891163419193756,0.00986142274508339,0.00025112328142076133,-0.10580040916545731,0.549554931288368,,0.08433942471471242,0.5536735191843521,,0.3345079345032001,0.06604931699163438,,0.16531653321813222,0.37211018464842804,,0.33841987545419233,0.06604931699163438,,0.20619971766864095,0.3024124929945306,
demir_adjective_rate,Demir: Epistemic Adj.,5.180995531804007,0.001972798190995384,0.07724944079168594,**,0.0005647445343331116,5.6668681763692715e-05,0.0004454490970998941,5.462631409237924e-05,0.0007260066985371515,5.374905741379218e-05,0.0007282208337919254,6.831582881656166e-05,0.21989813359026855,0.15168269313283736,,-0.28066950010420205,0.09255025069755148,,-0.27043231450656374,0.09255025069755148,,-0.4849098587484669,0.007427453676626844,**,-0.4215984150122884,0.013386813269919962,*,-0.0034873598953690213,0.9804268246307911,
demir_quantifier_rate,Demir: Quantifiers,2.4267923544182732,0.06787261612902107,0.039479961703350656,,0.005273666286362704,0.00019560351713347306,0.005111692201099566,0.00019551783882663508,0.00512153960785674,0.00020360478482481516,0.005833015138693134,0.00023335359110404386,0.07625230652754075,0.7106408063514662,,0.08438443765364277,0.7106408063514662,,-0.23552880276418947,0.2044135648967712,,-0.004485844873027903,0.9748244264975648,,-0.32769795613184194,0.11316356810487643,,-0.3020428550733117,0.11316356810487643,
demir_noun_rate,Demir: Epistemic Nouns,2.1690291217285353,0.09415686110605104,0.037038834037331755,,0.0010157804487423395,7.650283616776981e-05,0.0008751182054812935,7.148680871473793e-05,0.0011583445887944964,9.149093736509178e-05,0.0011294204740052154,8.384240047621084e-05,0.1911840651626228,0.36524533916490703,,-0.1580257914735547,0.40390138764889205,,-0.13659884540277686,0.40660509767609343,,-0.32232394616301663,0.13718915406127669,,-0.28992141751731526,0.13718915406127669,,0.02903032891938925,0.8382073475306462,
demir_total_rate,Demir: Hedging (Total),0.06528811336812781,0.9781687142657053,0.001028975025730288,,0.042846327867791204,0.0004820584176094588,0.04267460557679883,0.0005008266549516695,0.04300625726258394,0.0005345672694829341,0.04286820827364687,0.0005753588982756532,0.03362353833366433,0.9780718286475124,,-0.03115031160716077,0.9780718286475124,,-0.003907053493560742,0.9780718286475124,,-0.05978671853226663,0.9780718286475124,,-0.03810125222761987,0.9780718286475124,,0.025340494639048316,0.9780718286475124,
fung_interpersonal_rate,Fung: Interpersonal DMs,19.338184343069813,1.266301508096035e-10,0.24393962983710513,***,0.042025060411655504,0.0008576257942024478,0.04221253649289544,0.0008043100930337338,0.03468113636872652,0.000645250189830505,0.03797632266026389,0.0008162526617595823,-0.021651470530315374,0.878948934934663,,0.8378307158832973,9.18032417163609e-07,***,0.4511414827359212,0.003722488152380115,**,1.0630722263063714,6.320679486446493e-09,***,0.5342081761332393,0.0008592605184142285,***,-0.4340608131198565,0.004191504176419012,**
