run,agent,topic,social,order
1,bot_2,space,0,1
1,hum_1,nature,0,2
1,bot_1,friendship,1,3
1,hum_2,hobbies,1,4
1,bot_1,cars,0,5
1,hum_2,photography,0,6
1,bot_2,conflict,1,7
1,hum_1,childhood_memories,1,8
2,bot_1,mentorship,1,1
2,hum_1,networks,1,2
2,hum_2,books,0,3
2,bot_2,art,0,4
2,bot_1,exercise,0,5
2,hum_2,role_models,1,6
2,bot_2,empathy,1,7
2,hum_1,sports,0,8
3,hum_1,trust,1,1
3,bot_1,cooking,0,2
3,bot_2,loneliness,1,3
3,hum_2,movies,0,4
3,hum_1,music,0,5
3,bot_2,architecture,0,6
3,hum_2,love,1,7
3,bot_1,cultural_celebrations,1,8
4,hum_1,teamwork,1,1
4,hum_2,work_life,1,2
4,bot_1,travel,0,3
4,bot_2,technology,0,4
4,bot_2,forgiveness,1,5
4,bot_1,communication,1,6
4,hum_1,podcasts,0,7
4,hum_2,seasons,0,8
5,bot_2,family,1,1
5,hum_1,weather,0,2
5,bot_1,goals,1,3
5,hum_2,boundaries,1,4
5,hum_2,fashion,0,5
5,bot_2,food,0,6
5,hum_1,social_media,1,7
5,bot_1,gardening,0,8
