run,agent,topic,social,order
1,hum_1,hobbies,1,1
1,bot_2,nature,0,2
1,bot_1,cars,0,3
1,hum_2,friendship,1,4
1,bot_1,conflict,1,5
1,hum_1,photography,0,6
1,bot_2,childhood_memories,1,7
1,hum_2,space,0,8
2,hum_1,sports,0,1
2,bot_2,art,0,2
2,bot_1,networks,1,3
2,hum_2,books,0,4
2,bot_1,exercise,0,5
2,bot_2,empathy,1,6
2,hum_2,role_models,1,7
2,hum_1,mentorship,1,8
3,hum_2,movies,0,1
3,hum_1,architecture,0,2
3,bot_2,loneliness,1,3
3,bot_1,cooking,0,4
3,hum_2,cultural_celebrations,1,5
3,hum_1,love,1,6
3,bot_1,trust,1,7
3,bot_2,music,0,8
4,bot_2,travel,0,1
4,hum_1,communication,1,2
4,hum_2,podcasts,0,3
4,bot_1,teamwork,1,4
4,bot_1,technology,0,5
4,hum_2,work_life,1,6
4,hum_1,seasons,0,7
4,bot_2,forgiveness,1,8
5,bot_2,goals,1,1
5,hum_2,family,1,2
5,bot_1,social_media,1,3
5,hum_1,fashion,0,4
5,hum_1,boundaries,1,5
5,bot_2,gardening,0,6
5,bot_1,food,0,7
5,hum_2,weather,0,8
