run,agent,topic,social,order
1,bot_1,conflict,1,1
1,hum_2,friendship,1,2
1,bot_2,childhood_memories,1,3
1,hum_1,hobbies,1,4
1,hum_2,nature,0,5
1,bot_2,space,0,6
1,hum_1,cars,0,7
1,bot_1,photography,0,8
2,hum_2,empathy,1,1
2,bot_2,networks,1,2
2,hum_1,role_models,1,3
2,bot_1,books,0,4
2,hum_1,art,0,5
2,hum_2,sports,0,6
2,bot_1,mentorship,1,7
2,bot_2,exercise,0,8
3,hum_1,trust,1,1
3,hum_2,architecture,0,2
3,bot_2,music,0,3
3,bot_1,cooking,0,4
3,hum_1,movies,0,5
3,bot_2,loneliness,1,6
3,bot_1,love,1,7
3,hum_2,cultural_celebrations,1,8
4,hum_2,technology,0,1
4,bot_1,communication,1,2
4,bot_2,travel,0,3
4,hum_1,seasons,0,4
4,bot_1,podcasts,0,5
4,bot_2,work_life,1,6
4,hum_1,forgiveness,1,7
4,hum_2,teamwork,1,8
5,hum_1,boundaries,1,1
5,bot_2,weather,0,2
5,bot_1,family,1,3
5,hum_2,social_media,1,4
5,bot_2,goals,1,5
5,hum_1,gardening,0,6
5,bot_1,food,0,7
5,hum_2,fashion,0,8
