run,agent,topic,social,order
1,hum_1,space,0,1
1,bot_2,nature,0,2
1,hum_2,childhood_memories,1,3
1,bot_1,photography,0,4
1,bot_1,hobbies,1,5
1,bot_2,conflict,1,6
1,hum_2,cars,0,7
1,hum_1,friendship,1,8
2,hum_2,books,0,1
2,hum_1,networks,1,2
2,bot_1,empathy,1,3
2,bot_2,role_models,1,4
2,bot_2,exercise,0,5
2,hum_2,mentorship,1,6
2,bot_1,sports,0,7
2,hum_1,art,0,8
3,hum_2,cooking,0,1
3,hum_1,cultural_celebrations,1,2
3,bot_1,trust,1,3
3,bot_2,loneliness,1,4
3,hum_2,love,1,5
3,bot_1,movies,0,6
3,hum_1,music,0,7
3,bot_2,architecture,0,8
4,hum_1,teamwork,1,1
4,bot_1,forgiveness,1,2
4,bot_2,communication,1,3
4,hum_2,podcasts,0,4
4,hum_1,technology,0,5
4,bot_2,seasons,0,6
4,bot_1,travel,0,7
4,hum_2,work_life,1,8
5,hum_1,food,0,1
5,bot_1,fashion,0,2
5,hum_2,boundaries,1,3
5,bot_2,family,1,4
5,bot_1,goals,1,5
5,bot_2,weather,0,6
5,hum_2,gardening,0,7
5,hum_1,social_media,1,8
