metric,label,anova_F,anova_p,anova_eta2,anova_sig,mean_sam,sem_sam,mean_casey,sem_casey,mean_chatgpt,sem_chatgpt,mean_copilot,sem_copilot,dz_Sam_vs_Casey,padj_Sam_vs_Casey,sig_Sam_vs_Casey,dz_Sam_vs_ChatGPT,padj_Sam_vs_ChatGPT,sig_Sam_vs_ChatGPT,dz_Sam_vs_Copilot,padj_Sam_vs_Copilot,sig_Sam_vs_Copilot,dz_Casey_vs_ChatGPT,padj_Casey_vs_ChatGPT,sig_Casey_vs_ChatGPT,dz_Casey_vs_Copilot,padj_Casey_vs_Copilot,sig_Casey_vs_Copilot,dz_ChatGPT_vs_Copilot,padj_ChatGPT_vs_Copilot,sig_ChatGPT_vs_Copilot
word_count,Word Count,6.951111146720153,0.0002087669174727358,0.100706477113962,***,794.4060000000001,9.60451569389554,771.42,8.768958237523348,835.7539999999999,11.85366117901717,810.2239999999999,9.517377258339137,0.23763301409739693,0.13608184252159544,,-0.391033702329397,0.019871980688164922,*,-0.17210044665371294,0.22945830822437227,,-0.6079631214044013,0.0004881903761259586,***,-0.37935188135497483,0.019871980688164922,*,0.22796065115085296,0.13608184252159544,
question_count,Questions (#),17.283785143153047,1.147986483651664e-09,0.21615548259836143,***,8.926,0.24909321261613807,8.96,0.26440537831449773,6.916,0.18304365488002233,8.6,0.2084148139981358,-0.012890460278980652,0.927745551286017,,0.8552203911855073,5.935976654413364e-07,***,0.1641360515762172,0.37713156106896173,,0.8264816992718228,8.130373544081203e-07,***,0.1368797263277287,0.4054255532414045,,-0.9407632480163899,1.3767739269766545e-07,***
demir_modal_rate,Demir: Modal Aux.,1.0454684536442662,0.3743919848289706,0.016054913624916133,,0.011855915070657133,0.00035916379180943124,0.01257457363008084,0.00035536195421154507,0.01262805800438379,0.00028318586892398044,0.012454330778957405,0.0003731849097770783,-0.19954974744665624,0.4473715320575821,,-0.23705870791954653,0.4473715320575821,,-0.17428565583183658,0.4473715320575821,,-0.015813130026804928,0.9114263221347291,,0.03256051330949815,0.9114263221347291,,0.049806490654598454,0.9114263221347291,
demir_verb_rate,Demir: Epistemic Verbs,0.20175810696826882,0.8950391790010601,0.003733953446768109,,0.012979830871514077,0.0003656304665542363,0.013141195028072981,0.00039215258662067873,0.013406923618542592,0.000364525043062479,0.01315124041918053,0.00029775442414978177,-0.03781130373086222,0.9483711771372952,,-0.11141715812906385,0.9483711771372952,,-0.04813790038473414,0.9483711771372952,,-0.06039711031182646,0.9483711771372952,,-0.0025979735805092266,0.9854179281266596,,0.07154931789673015,0.9483711771372952,
demir_adverb_rate,Demir: Epistemic Adverbs,7.811464095974677,7.121560021539075e-05,0.11160558161466932,***,0.011969410436355923,0.00025923665327003565,0.011393077981659012,0.0002971472973816331,0.010555866938486933,0.00019602957571948144,0.010485480663689251,0.00022861399177642817,0.19533319619506925,0.20817571237372628,,0.6075990662475357,0.0004923178138041872,***,0.5662861496497592,0.0006318466092220444,***,0.34112059264551775,0.039303342174073455,*,0.32166200256078514,0.04102595299545618,*,0.03595690176133526,0.8003635396918841,
demir_adjective_rate,Demir: Epistemic Adj.,2.6808407494646675,0.04906880199656449,0.042672724467075804,*,0.0005122840442795498,8.014637615248044e-05,0.00045938514430931903,5.0133891497760524e-05,0.0007109530541107528,7.433963257778484e-05,0.0006349796207849594,5.942606536494124e-05,0.07475560674876723,0.5994678588577909,,-0.2504852916022102,0.1654942653776957,,-0.1792858501915237,0.3163218365803525,,-0.42611726472791345,0.02450935572868851,*,-0.29165906243867257,0.13349335272991353,,0.09625224544905454,0.599189177918318,
demir_quantifier_rate,Demir: Quantifiers,0.8556971833377325,0.4656904407964312,0.014585101325252682,,0.005319869229363863,0.00022672415870490602,0.0057394519291400735,0.00022854945574260897,0.005327727465738123,0.00018217446480792683,0.0056555085261246205,0.00024619681136671206,-0.15739780549697605,0.536165081491402,,-0.0037511893404751618,0.9789463958985533,,-0.1313803739411855,0.536165081491402,,0.18068669860593953,0.536165081491402,,0.03551186613309104,0.9633379127103796,,-0.15173063143550364,0.536165081491402,
demir_noun_rate,Demir: Epistemic Nouns,4.176671230879709,0.007163680558054053,0.061606654862360416,**,0.0008335735010276185,8.438281269112178e-05,0.0009130225637182625,7.619792026493833e-05,0.0012333567596627404,0.00010587150229631552,0.0011206695811506598,8.656680668100506e-05,-0.09613904376176466,0.499826684367256,,-0.3738698642386169,0.051605789992102885,,-0.3251407313902649,0.051605789992102885,,-0.3315231661905569,0.051605789992102885,,-0.27801392666293506,0.08249263125901683,,0.12802945420523343,0.4436806422540842,
demir_total_rate,Demir: Hedging (Total),0.2802932217954442,0.8395588922866741,0.004657554373604793,,0.043470883153198164,0.0006642510811995699,0.044220706276980486,0.000729442372066143,0.04386288584092494,0.0005293913955162885,0.04350220958988743,0.0006102274830465568,-0.11020415014547222,0.8582377064049356,,-0.06312210151840404,0.8582377064049356,,-0.004626045032816856,0.9740378735541491,,0.051901857369941545,0.8582377064049356,,0.10241959910119033,0.8582377064049356,,0.05808720701270325,0.8582377064049356,
fung_interpersonal_rate,Fung: Interpersonal DMs,44.33054998649685,1.1102230246251565e-16,0.44478420612451386,***,0.044765356945768484,0.0008774202887161628,0.04672309272379415,0.0008931859890811152,0.03491298417858048,0.0007776616827515219,0.0367194310421312,0.0006549424524808267,-0.19149542625981608,0.1819240243211041,,1.0928797925409546,7.914549308672004e-10,***,1.0906653052339557,7.914549308672004e-10,***,1.1992132701314824,2.1372530003814328e-10,***,1.1468961056359843,3.8963491461238663e-10,***,-0.2623456013425881,0.08353027210441286,
