experiment,subject,condition,social_type,word_count,question_count,hedge_count,tom_count,filler_rate,politeness_rate,quality,connectedness
Exp1_Human,sub-001,bot,nonsocial,124.6,0.3,1.7,0.4,0.03767598830135764,-0.0012498233436204862,,
Exp1_Human,sub-001,bot,social,143.4,0.6,2.2,0.5,0.017256702518761727,0.0011919965942954447,,
Exp1_Human,sub-001,hum,nonsocial,141.4,0.7,2.3,0.7,0.025782208276985512,0.004649419709445308,,
Exp1_Human,sub-001,hum,social,146.8,0.1,2.2,0.4,0.01997561265609791,0.0004177305722755522,,
Exp1_Human,sub-002,bot,nonsocial,135.3,0.0,2.0,0.0,0.034796710102979786,0.0,,
Exp1_Human,sub-002,bot,social,143.5,0.2,2.7,0.3,0.03959917613542116,0.0014863387978142077,,
Exp1_Human,sub-002,hum,nonsocial,157.9,0.0,2.9,0.0,0.04254060891955271,0.0010246164092317937,,
Exp1_Human,sub-002,hum,social,159.7,0.0,3.8,0.2,0.034164534023106166,-0.0004924462551203678,,
Exp1_Human,sub-003,bot,nonsocial,148.3,0.5,2.9,1.0,0.04954986539166561,0.00011847435603454864,,
Exp1_Human,sub-003,bot,social,175.5,0.2,2.9,1.1,0.03523160314634809,0.0010338257585031819,,
Exp1_Human,sub-003,hum,nonsocial,175.8,0.4,2.6,1.0,0.037935640220183045,0.0022185263230188007,,
Exp1_Human,sub-003,hum,social,167.2,0.6,2.8,1.0,0.03210982898372727,0.00017390464228781216,,
Exp1_Human,sub-004,bot,nonsocial,72.4,0.0,0.2,0.0,0.04646325426577007,0.0007246376811594203,,
Exp1_Human,sub-004,bot,social,80.0,0.0,1.0,0.1,0.026120543425292197,0.0024722804914593948,,
Exp1_Human,sub-004,hum,nonsocial,71.8,0.1,0.4,0.0,0.05081732638502832,0.003008021390374332,,
Exp1_Human,sub-004,hum,social,90.6,0.1,1.0,0.0,0.027465143712600205,0.004062042462176873,,
Exp1_Human,sub-005,bot,nonsocial,142.2,1.8,2.0,0.1,0.02387704375282829,0.0029771471932359124,,
Exp1_Human,sub-005,bot,social,157.9,1.7,1.0,0.5,0.020473054205434108,0.0,,
Exp1_Human,sub-005,hum,nonsocial,196.3,1.4,1.3,0.2,0.02779127371000934,0.0035787229252350027,,
Exp1_Human,sub-005,hum,social,153.8,0.9,1.9,0.3,0.023168803191636122,0.0016697703289882064,,
Exp1_Human,sub-006,bot,nonsocial,131.3,1.0,1.4,0.5,0.030441364495231056,0.0013687751097823042,,
Exp1_Human,sub-006,bot,social,176.0,1.2,2.6,0.4,0.021662821388722765,0.0,,
Exp1_Human,sub-006,hum,nonsocial,140.3,1.9,1.2,0.3,0.025538059013981422,0.0012658227848101266,,
Exp1_Human,sub-006,hum,social,130.4,1.3,1.9,0.3,0.024906699934171696,0.001379310344827586,,
Exp1_Human,sub-007,bot,nonsocial,107.1,1.1,1.7,0.4,0.03582798644588821,0.0036001285760205726,,
Exp1_Human,sub-007,bot,social,123.5,0.5,3.5,0.5,0.03127311838447751,0.003486475792771621,,
Exp1_Human,sub-007,hum,nonsocial,107.1,1.4,1.6,0.4,0.04594653613682419,0.0009174311926605505,,
Exp1_Human,sub-007,hum,social,111.3,0.5,2.2,0.2,0.03077071770528843,0.0,,
Exp1_Human,sub-008,bot,nonsocial,55.375,0.0,1.0,0.0,0.017570626836931186,-0.003734671125975474,,
Exp1_Human,sub-008,bot,social,62.25,0.0,1.875,0.125,0.008070429026311379,0.0,,
Exp1_Human,sub-008,hum,nonsocial,57.375,0.0,1.625,0.0,0.018028627058809005,0.0017605633802816902,,
Exp1_Human,sub-008,hum,social,57.0,0.0,1.5,0.0,0.014580561166589569,0.0,,
Exp1_Human,sub-009,bot,nonsocial,133.8,0.0,2.7,0.6,0.04759243125756856,0.0026026785714285713,,
Exp1_Human,sub-009,bot,social,149.5,0.1,2.9,2.5,0.05249683288085431,0.005980329269721576,,
Exp1_Human,sub-009,hum,nonsocial,153.6,0.0,2.8,0.8,0.06280601733102084,0.0018236313736819296,,
Exp1_Human,sub-009,hum,social,136.9,0.0,2.8,1.1,0.0464420863963199,0.0031565850472717594,,
Exp1_Human,sub-010,bot,nonsocial,108.8,0.9,2.6,0.3,0.07398289508424467,0.0,,
Exp1_Human,sub-010,bot,social,130.3,0.7,3.2,0.5,0.047470113994898616,0.0006134969325153375,,
Exp1_Human,sub-010,hum,nonsocial,102.9,0.6,2.0,0.1,0.07155578937222974,0.0,,
Exp1_Human,sub-010,hum,social,134.0,0.3,4.8,0.1,0.06545653674337826,0.0009900990099009901,,
Exp1_Human,sub-011,bot,nonsocial,102.1,0.3,1.2,0.0,0.02845780528257812,0.0028972040889954885,,
Exp1_Human,sub-011,bot,social,110.9,0.2,2.0,0.8,0.018157718901625243,0.0,,
Exp1_Human,sub-011,hum,nonsocial,107.6,0.5,0.8,0.2,0.02522811424307107,0.0,,
Exp1_Human,sub-011,hum,social,107.7,0.4,2.4,0.1,0.014665965560375725,0.0,,
Exp1_Human,sub-012,bot,nonsocial,103.1,0.8,2.2,0.2,0.020850850622714995,0.0026451830568978278,,
Exp1_Human,sub-012,bot,social,115.9,0.7,2.2,0.4,0.019124140108060565,-4.2461800773821275e-05,,
Exp1_Human,sub-012,hum,nonsocial,121.1,0.9,1.6,0.0,0.03853984414898858,0.002144003668883283,,
Exp1_Human,sub-012,hum,social,120.3,0.5,2.5,0.8,0.03466112106384375,0.002723838052835365,,
Exp1_Human,sub-013,bot,nonsocial,138.2,0.0,0.7,0.1,0.04332161956450224,-3.308441251536065e-05,,
