experiment,subject,condition,word_count,question_count,hedge_count,tom_count,filler_rate,politeness_rate,quality,connectedness
Exp1_Human,sub-001,bot,134.0,0.45,1.95,0.45,0.027466345410059684,-2.8913374662520656e-05,,
Exp1_Human,sub-001,hum,144.1,0.4,2.25,0.55,0.02287891046654171,0.0025335751408604302,,
Exp1_Human,sub-002,bot,139.4,0.1,2.35,0.15,0.03719794311920048,0.0007431693989071039,,
Exp1_Human,sub-002,hum,158.8,0.0,3.35,0.1,0.038352571471329436,0.000266085077055713,,
Exp1_Human,sub-003,bot,161.9,0.35,2.9,1.05,0.04239073426900685,0.0005761500572688653,,
Exp1_Human,sub-003,hum,171.5,0.5,2.7,1.0,0.03502273460195516,0.0011962154826533065,,
Exp1_Human,sub-004,bot,76.2,0.0,0.6,0.05,0.036291898845531134,0.0015984590863094075,,
Exp1_Human,sub-004,hum,81.2,0.1,0.7,0.0,0.039141235048814255,0.003535031926275603,,
Exp1_Human,sub-005,bot,150.05,1.75,1.5,0.3,0.0221750489791312,0.0014885735966179562,,
Exp1_Human,sub-005,hum,175.05,1.15,1.6,0.25,0.025480038450822733,0.0026242466271116046,,
Exp1_Human,sub-006,bot,153.65,1.1,2.0,0.45,0.026052092941976912,0.0006843875548911521,,
Exp1_Human,sub-006,hum,135.35,1.6,1.55,0.3,0.025222379474076562,0.0013225665648188562,,
Exp1_Human,sub-007,bot,115.3,0.8,2.6,0.45,0.03355055241518286,0.0035433021843960964,,
Exp1_Human,sub-007,hum,109.2,0.95,1.9,0.3,0.03835862692105631,0.00045871559633027525,,
Exp1_Human,sub-008,bot,58.8125,0.0,1.4375,0.0625,0.012820527931621282,-0.001867335562987737,,
Exp1_Human,sub-008,hum,57.1875,0.0,1.5625,0.0,0.016304594112699286,0.0008802816901408451,,
Exp1_Human,sub-009,bot,141.65,0.05,2.8,1.55,0.050044632069211434,0.004291503920575074,,
Exp1_Human,sub-009,hum,145.25,0.0,2.8,0.95,0.05462405186367038,0.0024901082104768443,,
Exp1_Human,sub-010,bot,119.55,0.8,2.9,0.4,0.060726504539571645,0.00030674846625766873,,
Exp1_Human,sub-010,hum,118.45,0.45,3.4,0.1,0.068506163057804,0.0004950495049504951,,
