Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,3.9,4.0,3.9166666666666665,4.0
s002,4.0,4.0,4.0,3.9
s003,3.9,4.0,3.8,4.0
s004,4.0,4.0,4.0,4.0
s005,3.6,3.8,4.0,4.0
s006,3.9,4.0,4.0,4.0
s007,4.0,4.0,4.0,3.9
s008,3.8,4.0,3.9,4.0
s009,4.0,4.0,4.0,4.0
s010,4.0,3.8,3.7,3.9
s011,4.0,4.0,3.9,4.0
s012,4.0,4.0,3.9,4.0
s013,4.0,4.0,4.0,4.0
s014,3.9,4.0,4.0,3.9
s015,4.0,4.0,4.0,4.0
s016,4.0,4.0,3.9,4.0
s017,4.0,4.0,3.9,4.0
s018,3.9,4.0,3.8,3.9
s019,4.0,4.0,4.0,3.7
s020,3.9,4.0,4.0,4.0
s021,4.0,4.0,4.0,4.0
s022,4.0,3.9,3.9,4.0
s023,3.8,3.9,4.0,4.0
s024,3.9,4.0,4.0,4.0
s025,4.0,4.0,4.0,4.0
s026,3.9,3.9,4.0,4.0
s027,4.0,4.0,3.8,4.0
s028,4.0,3.9,4.0,4.0
s029,4.0,3.9,4.0,3.8
s030,4.0,4.0,4.0,4.0
s031,4.0,4.0,3.9,4.0
s032,3.9,4.0,4.0,4.0
s033,4.0,4.0,4.0,4.0
s034,3.9,4.0,3.9,4.0
s035,4.0,4.0,4.0,4.0
s036,3.9,4.0,4.0,4.0
s037,4.0,4.0,4.0,4.0
s038,3.9,4.0,4.0,3.8
s039,3.9,4.0,3.9,4.0
s040,4.0,4.0,4.0,4.0
s041,3.9,4.0,4.0,3.9
s042,4.0,4.0,4.0,4.0
s043,4.0,4.0,4.0,4.0
s044,3.9,4.0,3.8,4.0
s045,4.0,4.0,4.0,4.0
s046,4.0,4.0,4.0,4.0
s047,4.0,4.0,3.9,3.8
s048,4.0,3.9,4.0,4.0
s049,3.9,3.9,4.0,3.9
s050,4.0,3.9,4.0,4.0
