Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,0.42,0.3,0.48148148148148145,0.28
s002,0.36,0.26,0.56,0.28
s003,0.46,0.3,0.44,0.26
s004,0.42,0.22,0.58,0.28
s005,0.38,0.18,0.46,0.32
s006,0.4,0.28,0.34,0.36
s007,0.48,0.26,0.62,0.28
s008,0.36,0.32,0.54,0.34
s009,0.34,0.36,0.44,0.32
s010,0.38,0.24,0.46,0.3
s011,0.34,0.32,0.42,0.34
s012,0.44,0.26,0.44,0.4
s013,0.54,0.32,0.44,0.38
s014,0.38,0.34,0.44,0.28
s015,0.46,0.24,0.42,0.28
s016,0.38,0.24,0.44,0.3
s017,0.38,0.28,0.52,0.26
s018,0.32,0.32,0.4,0.26
s019,0.38,0.32,0.52,0.24
s020,0.52,0.2,0.38,0.36
s021,0.36,0.3,0.36,0.24
s022,0.46,0.46,0.48,0.32
s023,0.4,0.24,0.4,0.3
s024,0.28,0.2,0.46,0.26
s025,0.46,0.32,0.52,0.34
s026,0.52,0.22,0.46,0.34
s027,0.34,0.34,0.5,0.3
s028,0.48,0.28,0.62,0.36
s029,0.38,0.2,0.64,0.34
s030,0.5,0.24,0.38,0.4
s031,0.42,0.2,0.36,0.34
s032,0.44,0.28,0.52,0.26
s033,0.52,0.3,0.5,0.36
s034,0.42,0.26,0.52,0.3
s035,0.44,0.34,0.54,0.34
s036,0.42,0.32,0.48,0.34
s037,0.4,0.38,0.52,0.28
s038,0.44,0.36,0.36,0.36
s039,0.44,0.24,0.4,0.34
s040,0.5,0.32,0.4,0.34
s041,0.38,0.26,0.4,0.24
s042,0.46,0.22,0.42,0.44
s043,0.38,0.28,0.44,0.24
s044,0.52,0.26,0.56,0.32
s045,0.52,0.24,0.52,0.34
s046,0.46,0.34,0.44,0.3
s047,0.42,0.22,0.46,0.28
s048,0.42,0.22,0.5,0.34
s049,0.48,0.24,0.58,0.38
s050,0.58,0.36,0.44,0.32
