Subject,bot,hum
s001,0.903969,0.8963701923076923
s002,0.952531,0.879057
s003,0.8921030000000001,0.8612439999999999
s004,0.911147,0.868811
s005,0.8132349999999999,0.850172
s006,0.9198149999999999,0.8678579999999999
s007,0.910514,0.875665
s008,0.915447,0.8701089999999999
s009,0.91857,0.8739490000000001
s010,0.900381,0.8471179999999999
s011,0.915143,0.887741
s012,0.895921,0.884037
s013,0.924889,0.8719129999999999
s014,0.897679,0.8697710000000001
s015,0.925607,0.876211
s016,0.9156740000000001,0.842958
s017,0.891256,0.877449
s018,0.911439,0.844572
s019,0.9224129999999999,0.819397
s020,0.8964300000000001,0.857124
s021,0.897423,0.881036
s022,0.89503,0.886734
s023,0.84784,0.872595
s024,0.8897010000000001,0.87714
s025,0.903256,0.8558110000000001
s026,0.9098050000000001,0.863498
s027,0.9176449999999999,0.8563379999999999
s028,0.9173290000000001,0.878754
s029,0.9115049999999999,0.8640380000000001
s030,0.9018,0.8413160000000001
s031,0.894209,0.87413
s032,0.909894,0.887205
s033,0.8775790000000001,0.885859
s034,0.9301269999999999,0.837497
s035,0.906288,0.859417
s036,0.897735,0.850942
s037,0.904482,0.910025
s038,0.906838,0.884796
s039,0.884123,0.8915460000000001
s040,0.8932370000000001,0.8558509999999999
s041,0.874792,0.8813259999999999
s042,0.873889,0.877011
s043,0.92778,0.8621800000000001
s044,0.9251269999999999,0.858229
s045,0.9229179999999999,0.844521
s046,0.921891,0.867989
s047,0.894786,0.860846
s048,0.917098,0.853407
s049,0.913843,0.895411
s050,0.9165779999999999,0.8771030000000001
