Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,0.01738,0.01306,0.006203703703703704,0.0182
s002,0.006900000000000001,0.0196,0.0064,0.018500000000000003
s003,0.01512,0.0161,0.008039999999999999,0.02212
s004,0.00524,0.0178,0.00834,0.014039999999999999
s005,0.021480000000000003,0.02358,0.00444,0.015780000000000002
s006,0.00474,0.014879999999999999,0.01196,0.021560000000000003
s007,0.01238,0.01362,0.011179999999999999,0.02456
s008,0.011279999999999998,0.020659999999999998,0.01218,0.01738
s009,0.00954,0.011280000000000002,0.0096,0.02644
s010,0.012580000000000001,0.02044,0.01034,0.01278
s011,0.00898,0.0183,0.00844,0.02674
s012,0.00626,0.022320000000000003,0.0103,0.017159999999999998
s013,0.01184,0.011779999999999999,0.0053,0.02374
s014,0.01574,0.02416,0.00732,0.0176
s015,0.01254,0.020339999999999997,0.01566,0.0131
s016,0.008140000000000001,0.00996,0.01084,0.02376
s017,0.0141,0.01562,0.009019999999999999,0.02258
s018,0.00834,0.01516,0.01486,0.02254
s019,0.0106,0.0103,0.01424,0.02936
s020,0.014039999999999999,0.025939999999999998,0.01256,0.018340000000000002
s021,0.01154,0.0218,0.0115,0.02182
s022,0.00728,0.0229,0.0060799999999999995,0.02382
s023,0.02302,0.02444,0.00666,0.013519999999999999
s024,0.0095,0.0231,0.00764,0.00936
s025,0.00594,0.025160000000000002,0.013999999999999999,0.014100000000000001
s026,0.00918,0.02406,0.00932,0.016040000000000002
s027,0.00506,0.01926,0.00976,0.016120000000000002
s028,0.0070999999999999995,0.0215,0.0091,0.027600000000000003
s029,0.009519999999999999,0.022019999999999998,0.012199999999999999,0.0183
s030,0.0173,0.02722,0.01138,0.0149
s031,0.00818,0.02146,0.00908,0.02116
s032,0.01818,0.02144,0.00494,0.02326
s033,0.01206,0.01944,0.00894,0.01986
s034,0.005680000000000001,0.01642,0.00914,0.02964
s035,0.01554,0.0255,0.01214,0.014499999999999999
s036,0.015780000000000002,0.01652,0.01724,0.031560000000000005
s037,0.011040000000000001,0.0235,0.00738,0.014119999999999999
s038,0.00656,0.01322,0.0094,0.023860000000000003
s039,0.01192,0.02656,0.00984,0.01506
s040,0.008,0.02154,0.011120000000000001,0.023239999999999997
s041,0.0138,0.02158,0.0079,0.018340000000000002
s042,0.01264,0.02028,0.00746,0.0223
s043,0.013859999999999999,0.01942,0.00636,0.02262
s044,0.01202,0.01218,0.011519999999999999,0.02274
s045,0.01154,0.01968,0.011479999999999999,0.018520000000000002
s046,0.00922,0.01594,0.012,0.02204
s047,0.01054,0.02748,0.01428,0.012920000000000001
s048,0.01262,0.02122,0.005600000000000001,0.02374
s049,0.01046,0.025699999999999997,0.00642,0.00686
s050,0.00598,0.018260000000000002,0.01006,0.025840000000000002
