Subject,bot,hum
s001,0.015220000000000001,0.011971153846153847
s002,0.01325,0.012450000000000001
s003,0.015609999999999999,0.01508
s004,0.011519999999999999,0.01119
s005,0.02253,0.01011
s006,0.00981,0.01676
s007,0.013000000000000001,0.01787
s008,0.015969999999999998,0.01478
s009,0.010409999999999999,0.01802
s010,0.01651,0.01156
s011,0.013640000000000001,0.017589999999999998
s012,0.01429,0.01373
s013,0.011810000000000001,0.01452
s014,0.01995,0.01246
s015,0.01644,0.014379999999999999
s016,0.00905,0.0173
s017,0.01486,0.0158
s018,0.01175,0.018699999999999998
s019,0.01045,0.0218
s020,0.01999,0.015449999999999998
s021,0.01667,0.01666
s022,0.01509,0.014950000000000001
s023,0.02373,0.010089999999999998
s024,0.0163,0.0085
s025,0.01555,0.01405
s026,0.01662,0.01268
s027,0.012159999999999999,0.01294
s028,0.0143,0.018349999999999998
s029,0.01577,0.01525
s030,0.02226,0.01314
s031,0.01482,0.01512
s032,0.01981,0.014100000000000001
s033,0.01575,0.0144
s034,0.011049999999999999,0.01939
s035,0.02052,0.01332
s036,0.01615,0.024399999999999998
s037,0.01727,0.01075
s038,0.00989,0.01663
s039,0.01924,0.012450000000000001
s040,0.014769999999999998,0.01718
s041,0.017689999999999997,0.01312
s042,0.01646,0.014879999999999999
s043,0.01664,0.014490000000000001
s044,0.0121,0.01713
s045,0.015609999999999999,0.015
s046,0.012580000000000001,0.01702
s047,0.01901,0.0136
s048,0.01692,0.01467
s049,0.01808,0.00664
s050,0.012119999999999999,0.01795
