Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,72.04,77.42,58.98148148148148,67.04
s002,78.86,76.28,60.06,64.88
s003,72.18,77.48,59.52,61.8
s004,68.4,71.6,61.84,62.16
s005,63.5,64.1,59.56,68.38
s006,75.1,71.1,59.36,75.28
s007,66.74,78.38,66.62,66.38
s008,76.38,78.78,63.26,72.24
s009,64.28,81.36,70.58,69.22
s010,64.12,82.76,57.12,57.46
s011,78.96,74.22,60.02,75.36
s012,73.1,68.44,67.56,73.76
s013,78.62,79.78,66.82,70.2
s014,63.26,72.04,67.3,62.72
s015,80.28,81.82,62.84,62.32
s016,80.6,70.78,54.3,67.94
s017,72.42,69.96,64.44,66.7
s018,63.88,70.1,64.12,58.82
s019,75.86,74.08,65.8,62.84
s020,81.84,70.96,65.84,67.02
s021,75.12,74.02,55.44,71.76
s022,63.64,75.1,60.26,65.42
s023,67.28,72.64,67.28,59.1
s024,71.6,77.9,67.54,71.62
s025,72.6,65.78,59.34,65.44
s026,86.3,78.98,67.28,69.1
s027,70.92,73.4,62.52,61.6
s028,76.14,66.84,72.2,70.04
s029,89.04,69.7,56.94,58.68
s030,71.5,73.46,60.46,59.08
s031,72.58,73.58,62.52,71.34
s032,62.26,72.84,64.34,65.38
s033,71.46,74.48,61.18,66.44
s034,69.76,85.84,65.18,71.4
s035,66.3,75.26,65.7,67.6
s036,67.06,81.34,69.22,67.34
s037,74.48,76.24,62.76,73.26
s038,66.74,69.06,73.8,70.5
s039,72.06,82.02,64.1,62.28
s040,78.12,84.3,74.06,65.3
s041,73.06,70.76,66.9,68.86
s042,77.58,71.82,62.62,61.9
s043,70.62,80.18,69.78,57.86
s044,83.5,78.82,62.16,66.16
s045,73.64,73.12,69.02,65.26
s046,82.3,73.56,66.98,67.38
s047,73.68,72.54,75.36,62.74
s048,72.78,73.02,66.08,64.58
s049,72.54,77.62,74.54,60.26
s050,70.62,77.46,69.28,62.72
