Subject,bot,hum
s001,1.13,1.43
s002,1.29,1.57
s003,1.57,1.54
s004,1.21,1.6
s005,1.32,1.48
s006,1.13,1.37
s007,1.49,1.1
s008,1.17,1.52
s009,1.38,1.52
s010,1.4,1.39
s011,1.31,1.59
s012,1.1,1.72
s013,1.14,1.3
s014,1.33,1.66
s015,1.01,1.67
s016,1.34,1.41
s017,1.26,1.51
s018,1.26,1.23
s019,1.21,1.39
s020,1.48,1.58
s021,1.06,1.88
s022,1.01,1.69
s023,1.14,1.8
s024,1.22,1.44
s025,1.29,1.86
s026,1.32,1.36
s027,1.03,1.61
s028,1.24,1.66
s029,1.28,1.46
s030,0.93,1.67
s031,1.12,1.49
s032,1.39,1.49
s033,1.09,1.61
s034,1.39,1.22
s035,1.58,1.51
s036,1.26,1.46
s037,1.17,1.64
s038,1.22,1.46
s039,1.17,1.18
s040,1.06,1.32
s041,1.24,1.55
s042,1.13,1.82
s043,1.37,1.27
s044,1.24,1.34
s045,1.35,1.45
s046,1.38,1.29
s047,1.3,1.44
s048,1.14,1.29
s049,1.11,1.33
s050,1.4,1.3
