Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,4.0,4.0,4.0,4.0
s002,4.0,4.0,3.9,3.9
s003,4.0,4.0,3.9,4.0
s004,4.0,4.0,4.0,4.0
s005,4.0,4.0,4.0,4.0
s006,4.0,3.9,4.0,3.9
s007,4.0,4.0,3.9,4.0
s008,4.0,4.0,4.0,4.0
s009,4.0,4.0,3.9,3.8
s010,4.0,4.0,4.0,4.0
s011,3.9,4.0,4.0,4.0
s012,4.0,4.0,4.0,4.0
s013,4.0,4.0,3.8,4.0
s014,4.0,4.0,4.0,4.0
s015,3.9,4.0,3.8,3.8
s016,4.0,4.0,3.9,4.0
s017,4.0,4.0,3.9,3.8
s018,4.0,4.0,4.0,4.0
s019,4.0,4.0,3.9,3.9
s020,4.0,4.0,4.0,3.9
s021,4.0,4.0,4.0,4.0
s022,3.9,4.0,4.0,4.0
s023,3.9,4.0,4.0,4.0
s024,3.9,4.0,3.8,4.0
s025,4.0,4.0,3.8,4.0
s026,4.0,3.9,3.8,4.0
s027,4.0,3.9,4.0,3.9
s028,3.9,4.0,4.0,4.0
s029,4.0,4.0,3.8,4.0
s030,4.0,4.0,4.0,4.0
s031,4.0,4.0,3.8,4.0
s032,3.9,4.0,4.0,4.0
s033,4.0,4.0,4.0,4.0
s034,3.9,4.0,4.0,4.0
s035,3.9,3.9,4.0,4.0
s036,3.9,3.9,4.0,4.0
s037,4.0,3.9,3.9,4.0
s038,4.0,4.0,4.0,4.0
s039,4.0,4.0,3.8,4.0
s040,4.0,4.0,3.9,4.0
s041,4.0,4.0,4.0,4.0
s042,4.0,4.0,4.0,4.0
s043,3.9,4.0,3.8,3.9
s044,4.0,3.9,4.0,4.0
s045,4.0,4.0,3.8,4.0
s046,3.9,4.0,4.0,3.9
s047,4.0,4.0,4.0,4.0
s048,4.0,4.0,4.0,4.0
s049,3.9,4.0,4.0,4.0
s050,4.0,4.0,4.0,4.0
