Subject,bot,hum
s001,0.28,0.42
s002,0.39,0.38
s003,0.25,0.38
s004,0.25,0.36
s005,0.23,0.46
s006,0.27,0.44
s007,0.37,0.35
s008,0.26,0.41
s009,0.38,0.35
s010,0.31,0.38
s011,0.33,0.39
s012,0.32,0.34
s013,0.28,0.42
s014,0.32,0.39
s015,0.3,0.42
s016,0.35,0.42
s017,0.41,0.36
s018,0.2,0.31
s019,0.3,0.44
s020,0.35,0.42
s021,0.41,0.48
s022,0.3,0.34
s023,0.27,0.43
s024,0.28,0.44
s025,0.22,0.51
s026,0.28,0.44
s027,0.32,0.42
s028,0.39,0.38
s029,0.31,0.39
s030,0.28,0.41
s031,0.38,0.35
s032,0.25,0.39
s033,0.23,0.41
s034,0.27,0.37
s035,0.27,0.37
s036,0.33,0.34
s037,0.28,0.42
s038,0.32,0.49
s039,0.32,0.36
s040,0.27,0.4
s041,0.34,0.46
s042,0.28,0.38
s043,0.42,0.38
s044,0.32,0.37
s045,0.44,0.4
s046,0.31,0.53
s047,0.29,0.43
s048,0.23,0.39
s049,0.34,0.32
s050,0.3,0.36
