Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,0.7130199999999999,0.6432599999999999,0.73846,0.68414
s002,0.69632,0.63566,0.70284,0.67584
s003,0.7389600000000001,0.6520999999999999,0.71364,0.66582
s004,0.72894,0.65884,0.7066,0.6603
s005,0.7133799999999999,0.6580400000000001,0.7385200000000001,0.6508400000000001
s006,0.7374200000000001,0.6906,0.7353400000000001,0.65322
s007,0.7187600000000001,0.66232,0.71012,0.64546
s008,0.72796,0.66348,0.69726,0.6555200000000001
s009,0.69754,0.66782,0.72032,0.6928
s010,0.70138,0.68798,0.74834,0.64618
s011,0.71276,0.66262,0.715,0.6641400000000001
s012,0.73378,0.6513,0.7241200000000001,0.6462399999999999
s013,0.71488,0.67426,0.71478,0.66716
s014,0.7002200000000001,0.64384,0.73012,0.6550199999999999
s015,0.7286199999999999,0.66032,0.6873600000000001,0.67656
s016,0.74468,0.6580400000000001,0.696,0.6789799999999999
s017,0.7340800000000001,0.6615000000000001,0.73712,0.68096
s018,0.73102,0.65298,0.72526,0.6828
s019,0.71672,0.66316,0.72524,0.6591
s020,0.7214400000000001,0.65276,0.70474,0.68144
s021,0.7157800000000001,0.65646,0.6845600000000001,0.63894
s022,0.73618,0.68686,0.69678,0.64692
s023,0.6805800000000001,0.6508400000000001,0.74712,0.67092
s024,0.7130199999999999,0.6402,0.7213200000000001,0.66524
s025,0.7015600000000001,0.6716599999999999,0.7290800000000001,0.68808
s026,0.7082,0.64532,0.6929000000000001,0.70258
s027,0.7272799999999999,0.6613,0.71356,0.65546
s028,0.72524,0.6567400000000001,0.7236400000000001,0.6708799999999999
s029,0.72142,0.65108,0.71214,0.65928
s030,0.69518,0.66998,0.7513599999999999,0.6537000000000001
s031,0.71868,0.6599200000000001,0.7280599999999999,0.65116
s032,0.7082999999999999,0.67572,0.7452,0.65288
s033,0.72048,0.6804000000000001,0.72056,0.66822
s034,0.6913800000000001,0.64756,0.7170399999999999,0.6862
s035,0.6888200000000001,0.63832,0.7292400000000001,0.6847799999999999
s036,0.7471800000000001,0.6632000000000001,0.7035800000000001,0.66408
s037,0.73874,0.6926000000000001,0.705,0.61344
s038,0.7298600000000001,0.6623399999999999,0.7143,0.65584
s039,0.7265600000000001,0.65452,0.71246,0.64386
s040,0.73844,0.67048,0.6824800000000001,0.65086
s041,0.731,0.6698000000000001,0.72222,0.65924
s042,0.70474,0.69746,0.7142000000000001,0.66072
s043,0.68982,0.6674,0.72822,0.6615000000000001
s044,0.7286199999999999,0.65962,0.72734,0.69612
s045,0.73702,0.63062,0.7237600000000001,0.6704600000000001
s046,0.7116,0.67122,0.7212000000000001,0.6764
s047,0.6983,0.6586,0.72718,0.6823600000000001
s048,0.71792,0.67188,0.7252200000000001,0.6507599999999999
s049,0.71044,0.67232,0.7509999999999999,0.6774
s050,0.72686,0.6611199999999999,0.71406,0.6834600000000001
