Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,1.18,1.58,1.82,1.7
s002,1.6,1.66,1.8,1.78
s003,1.22,1.6,1.5,1.22
s004,0.94,1.36,1.56,1.78
s005,1.08,1.5,1.5,1.48
s006,1.5,1.06,1.52,2.04
s007,1.5,1.68,1.14,1.38
s008,1.16,1.6,1.62,1.76
s009,1.38,1.48,1.24,1.16
s010,1.36,1.34,1.62,1.56
s011,1.2,1.04,1.24,1.54
s012,1.34,0.98,1.5,1.74
s013,1.34,1.42,1.64,1.42
s014,1.44,1.38,1.88,1.54
s015,1.0,1.26,1.2,1.8
s016,1.12,1.52,1.34,1.26
s017,1.5,1.98,1.82,1.3
s018,1.2,1.12,1.62,1.42
s019,1.42,1.56,1.46,1.68
s020,1.5,0.98,1.42,1.96
s021,1.36,1.44,1.58,1.84
s022,1.62,1.0,1.58,2.14
s023,1.18,0.88,1.46,2.28
s024,1.1,0.98,1.84,1.62
s025,1.88,1.16,1.4,1.64
s026,1.32,1.26,1.78,1.36
s027,1.06,1.02,1.36,1.84
s028,1.26,1.48,1.58,1.64
s029,1.18,1.3,1.38,1.6
s030,1.24,1.2,1.44,1.9
s031,1.46,1.06,1.48,2.08
s032,1.76,1.18,1.44,1.46
s033,1.38,1.34,1.4,1.48
s034,1.32,1.54,1.3,1.56
s035,1.64,1.56,1.66,1.62
s036,1.6,1.58,1.52,1.66
s037,1.2,1.52,1.56,1.82
s038,1.64,1.72,1.7,1.36
s039,1.36,1.86,1.44,1.48
s040,1.16,1.66,1.46,1.54
s041,1.5,1.56,1.68,1.46
s042,1.24,1.1,1.54,1.6
s043,1.24,1.14,1.24,1.62
s044,1.44,1.28,1.44,1.4
s045,1.56,1.46,1.44,1.16
s046,1.16,2.1,1.6,0.96
s047,1.66,1.26,1.82,1.34
s048,1.32,1.44,1.48,1.36
s049,1.26,1.16,1.86,1.76
s050,1.22,1.56,1.08,1.34
