Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,0.28602,0.32433999999999996,0.28184000000000003,0.30412
s002,0.25506,0.34421999999999997,0.26754,0.3057
s003,0.24714000000000003,0.3172,0.2771,0.30826
s004,0.2535,0.29824,0.2692,0.3055
s005,0.27140000000000003,0.30268,0.25964,0.31408
s006,0.26758,0.2917,0.24634,0.31686
s007,0.27096,0.33996000000000004,0.23867999999999998,0.28112000000000004
s008,0.26072,0.32264000000000004,0.26084,0.29076
s009,0.2563,0.33636000000000005,0.26602,0.30232
s010,0.28424,0.2981,0.25466,0.31226
s011,0.26148,0.33814,0.25034,0.28954
s012,0.24008,0.32386000000000004,0.28193999999999997,0.29646
s013,0.24509999999999998,0.32652000000000003,0.26802,0.31934
s014,0.27976,0.30304,0.26068,0.31232
s015,0.24894,0.29634,0.26806,0.3147
s016,0.23170000000000002,0.30252,0.29268,0.31878
s017,0.25604,0.34024,0.27178,0.29608
s018,0.2811,0.33376,0.23998,0.29454
s019,0.2821,0.32488,0.24614,0.30044
s020,0.25954,0.32144,0.23982,0.29268
s021,0.23861999999999997,0.31586,0.26414000000000004,0.3207
s022,0.26864,0.28998,0.24666,0.33334
s023,0.2742,0.2951,0.26444,0.30254000000000003
s024,0.264,0.31864000000000003,0.27594,0.3058
s025,0.25201999999999997,0.32308,0.26504,0.30968
s026,0.24780000000000002,0.30670000000000003,0.26594,0.30378
s027,0.28522,0.32058,0.25894,0.31168
s028,0.22002,0.33082,0.27988,0.29798
s029,0.24724000000000002,0.29942,0.25592,0.30763999999999997
s030,0.2633,0.31358,0.24824,0.32160000000000005
s031,0.26276,0.31824,0.26868,0.31926
s032,0.27564,0.30204000000000003,0.22771999999999998,0.32156
s033,0.25488,0.30616,0.29286,0.31404
s034,0.26028,0.34258000000000005,0.24053999999999998,0.28336
s035,0.2821,0.31494,0.23992000000000002,0.30882000000000004
s036,0.26661999999999997,0.32156,0.27336,0.32772
s037,0.25972,0.27740000000000004,0.28332,0.34718000000000004
s038,0.2506,0.3188,0.28292,0.28914
s039,0.26984,0.27018000000000003,0.26492,0.33318
s040,0.26002,0.29648,0.27554,0.33746000000000004
s041,0.26974,0.27586,0.25916,0.327
s042,0.23466,0.31524,0.26926,0.305
s043,0.26846,0.32724,0.24564,0.31856
s044,0.28336,0.34062,0.26918,0.26118
s045,0.26834,0.3477,0.24538000000000001,0.28942
s046,0.29978,0.31166,0.2535,0.28946
s047,0.28303999999999996,0.29436,0.25367999999999996,0.31257999999999997
s048,0.27140000000000003,0.29675999999999997,0.25718,0.2987
s049,0.26758,0.32048000000000004,0.25168,0.3181
s050,0.26144,0.32496,0.25108,0.30354
