Subject,bot,hum
s001,0.30518,0.29298
s002,0.29964,0.28662
s003,0.28217,0.29268
s004,0.27587,0.28735
s005,0.28704,0.28686
s006,0.27964,0.2816
s007,0.30546,0.25989999999999996
s008,0.29168,0.2758
s009,0.29633,0.28417000000000003
s010,0.29117,0.28346
s011,0.29981,0.26994
s012,0.28197,0.2892
s013,0.28581,0.29368
s014,0.2914,0.2865
s015,0.27264,0.29138000000000003
s016,0.26710999999999996,0.30573
s017,0.29814,0.28393
s018,0.30743,0.26726
s019,0.30349,0.27329000000000003
s020,0.29048999999999997,0.26625
s021,0.27724,0.29242
s022,0.27931,0.29
s023,0.28465,0.28349
s024,0.29132,0.29087
s025,0.28755,0.28736
s026,0.27725,0.28486
s027,0.3029,0.28531
s028,0.27542,0.28893
s029,0.27333,0.28178000000000003
s030,0.28844000000000003,0.28492
s031,0.2905,0.29397
s032,0.28884,0.27464
s033,0.28052,0.30345
s034,0.30143000000000003,0.26195
s035,0.29852,0.27437
s036,0.29408999999999996,0.30054
s037,0.26856,0.31525
s038,0.2847,0.28603
s039,0.27001000000000003,0.29905000000000004
s040,0.27825,0.3065
s041,0.2728,0.29308
s042,0.27495,0.28713
s043,0.29785,0.2821
s044,0.31199,0.26518
s045,0.30802,0.26739999999999997
s046,0.30572,0.27148
s047,0.2887,0.28313
s048,0.28408,0.27794
s049,0.29403,0.28489000000000003
s050,0.2932,0.27731
