Subject,bot,hum
s001,0.45,0.2
s002,0.3,0.65
s003,0.4,0.25
s004,0.2,0.2
s005,0.4,0.35
s006,0.35,0.65
s007,0.25,0.6
s008,0.5,0.5
s009,0.45,0.3
s010,0.4,0.3
s011,0.4,0.45
s012,0.15,0.45
s013,0.3,0.65
s014,0.4,0.3
s015,0.5,0.2
s016,0.5,0.05
s017,0.3,0.5
s018,0.45,0.25
s019,0.15,0.5
s020,0.35,0.7
s021,0.45,0.3
s022,0.25,0.65
s023,0.3,0.45
s024,0.2,0.45
s025,0.25,0.45
s026,0.35,0.55
s027,0.35,0.4
s028,0.25,0.25
s029,0.15,0.6
s030,0.4,0.25
s031,0.45,0.65
s032,0.2,0.35
s033,0.35,0.55
s034,0.35,0.4
s035,0.45,0.55
s036,0.2,0.8
s037,0.5,0.5
s038,0.35,0.65
s039,0.3,0.2
s040,0.2,0.6
s041,0.35,0.3
s042,0.6,0.6
s043,0.1,0.4
s044,0.45,0.45
s045,0.2,0.55
s046,0.25,0.4
s047,0.3,0.3
s048,0.35,0.35
s049,0.1,0.45
s050,0.25,0.25
