Subject,bot,hum
s001,3.8,3.9
s002,3.95,3.75
s003,3.85,3.9
s004,3.95,3.7
s005,3.85,3.85
s006,3.9,3.9
s007,3.95,3.9
s008,3.75,3.9
s009,4.0,3.95
s010,3.8,3.85
s011,3.8,3.9
s012,3.8,3.95
s013,4.0,3.9
s014,3.8,3.95
s015,3.85,3.85
s016,3.9,3.85
s017,3.9,3.9
s018,4.0,3.85
s019,3.9,3.95
s020,3.9,3.95
s021,3.95,3.75
s022,3.95,3.9
s023,3.8,4.0
s024,3.8,3.75
s025,3.9,3.95
s026,4.0,3.95
s027,3.85,3.85
s028,3.9,3.9
s029,3.85,3.75
s030,3.85,3.95
s031,3.85,3.9
s032,3.9,3.85
s033,3.85,3.7
s034,3.9,3.85
s035,3.85,3.85
s036,3.95,3.9
s037,3.85,3.9
s038,3.8,3.95
s039,4.0,3.9
s040,3.85,3.95
s041,3.85,3.95
s042,3.9,3.85
s043,4.0,3.9
s044,3.9,3.9
s045,3.9,3.9
s046,3.85,4.0
s047,3.9,3.85
s048,3.9,3.9
s049,3.8,3.85
s050,3.95,3.9
