Subject,bot_nonsocial,bot_social,hum_nonsocial,hum_social
s001,0.3,0.3,0.4,0.5
s002,0.3,0.3,0.4,0.7
s003,0.3,0.2,0.2,0.3
s004,0.6,0.0,0.3,0.3
s005,0.2,0.4,0.5,0.6
s006,0.3,0.6,0.4,0.4
s007,0.3,0.3,0.2,0.4
s008,0.3,0.2,0.4,0.2
s009,0.4,0.8,0.4,0.4
s010,0.1,0.3,0.3,0.3
s011,0.2,0.0,0.4,0.6
s012,0.3,0.1,0.2,0.4
s013,0.0,0.3,0.6,0.3
s014,0.3,0.1,0.3,0.8
s015,0.4,0.3,0.2,0.3
s016,0.3,0.4,0.3,0.4
s017,0.4,0.3,0.4,0.6
s018,0.3,0.1,0.9,0.6
s019,0.2,0.3,0.1,0.4
s020,0.2,0.2,0.2,0.9
s021,0.2,0.2,0.1,0.6
s022,0.2,0.1,0.3,0.5
s023,0.4,0.3,0.5,0.8
s024,0.0,0.2,0.5,0.2
s025,0.3,0.2,0.4,0.6
s026,0.2,0.7,0.4,0.3
s027,0.4,0.2,0.6,0.4
s028,0.0,0.3,0.5,0.3
s029,0.2,0.2,0.4,0.5
s030,0.2,0.1,0.5,1.1
s031,0.3,0.2,0.2,0.3
s032,0.2,0.3,0.5,0.4
s033,0.3,0.3,0.5,0.8
s034,0.1,0.3,0.5,0.5
s035,0.2,0.5,0.8,0.3
s036,0.2,0.3,0.4,0.6
s037,0.1,0.2,0.6,0.8
s038,0.2,0.4,0.4,0.2
s039,0.4,0.8,0.5,0.4
s040,0.0,0.5,0.2,0.5
s041,0.2,0.8,0.5,0.2
s042,0.0,0.4,0.4,0.3
s043,0.3,0.3,0.7,0.7
s044,0.1,0.2,0.4,0.4
s045,0.3,0.4,0.4,0.3
s046,0.2,0.5,0.3,0.6
s047,0.1,0.2,0.5,0.5
s048,0.1,0.2,0.9,0.4
s049,0.1,0.1,0.5,0.5
s050,0.3,0.3,0.2,0.5
