Subject,bot,hum
s001,60.19,54.21
s002,59.36,47.75
s003,55.75,51.66
s004,62.41,44.16
s005,57.44,57.07
s006,64.93,54.36
s007,60.95,59.76
s008,57.81,51.93
s009,68.12,59.41
s010,59.01,58.81
s011,59.5,54.8
s012,64.36,58.24
s013,60.01,55.47
s014,54.97,58.11
s015,60.7,51.3
s016,60.54,52.83
s017,60.79,51.6
s018,62.69,49.14
s019,69.06,54.03
s020,56.8,60.01
s021,68.88,53.61
s022,66.81,54.32
s023,57.19,53.44
s024,56.78,56.59
s025,64.0,47.65
s026,59.45,59.16
s027,58.61,53.93
s028,61.03,51.97
s029,60.82,48.49
s030,60.57,53.14
s031,62.7,54.39
s032,59.11,50.94
s033,65.87,49.12
s034,65.89,51.75
s035,60.86,57.04
s036,57.42,61.27
s037,59.23,62.9
s038,52.84,59.02
s039,63.55,49.74
s040,59.33,50.82
s041,62.59,54.25
s042,62.11,49.17
s043,67.61,62.63
s044,66.54,53.71
s045,66.39,56.76
s046,54.33,57.33
s047,58.97,56.58
s048,63.78,55.83
s049,57.96,60.85
s050,68.59,52.99
