run,agent,topic,social,order
1,bot_2,friendship,1,1
1,hum_1,conflict,1,2
1,bot_1,hobbies,1,3
1,hum_2,cars,0,4
1,bot_1,photography,0,5
1,hum_1,space,0,6
1,hum_2,childhood_memories,1,7
1,bot_2,nature,0,8
2,hum_2,networks,1,1
2,hum_1,mentorship,1,2
2,bot_1,empathy,1,3
2,bot_2,role_models,1,4
2,hum_2,art,0,5
2,bot_1,exercise,0,6
2,hum_1,books,0,7
2,bot_2,sports,0,8
3,bot_1,loneliness,1,1
3,bot_2,cultural_celebrations,1,2
3,hum_1,love,1,3
3,hum_2,trust,1,4
3,hum_2,architecture,0,5
3,hum_1,music,0,6
3,bot_2,cooking,0,7
3,bot_1,movies,0,8
4,bot_1,communication,1,1
4,bot_2,seasons,0,2
4,hum_2,forgiveness,1,3
4,hum_1,travel,0,4
4,hum_2,podcasts,0,5
4,hum_1,teamwork,1,6
4,bot_2,work_life,1,7
4,bot_1,technology,0,8
5,hum_2,weather,0,1
5,bot_2,boundaries,1,2
5,hum_1,gardening,0,3
5,bot_1,food,0,4
5,hum_1,goals,1,5
5,hum_2,family,1,6
5,bot_2,fashion,0,7
5,bot_1,social_media,1,8
