run,agent,topic,social,order
1,bot_2,conflict,1,1
1,hum_1,hobbies,1,2
1,hum_2,friendship,1,3
1,bot_1,nature,0,4
1,hum_2,space,0,5
1,hum_1,photography,0,6
1,bot_2,cars,0,7
1,bot_1,childhood_memories,1,8
2,hum_1,mentorship,1,1
2,bot_2,networks,1,2
2,bot_1,books,0,3
2,hum_2,role_models,1,4
2,bot_2,exercise,0,5
2,bot_1,empathy,1,6
2,hum_1,sports,0,7
2,hum_2,art,0,8
3,bot_2,movies,0,1
3,hum_2,architecture,0,2
3,hum_1,loneliness,1,3
3,bot_1,trust,1,4
3,bot_1,music,0,5
3,bot_2,cultural_celebrations,1,6
3,hum_2,love,1,7
3,hum_1,cooking,0,8
4,bot_2,podcasts,0,1
4,hum_1,seasons,0,2
4,hum_2,forgiveness,1,3
4,bot_1,work_life,1,4
4,hum_1,communication,1,5
4,bot_1,technology,0,6
4,bot_2,teamwork,1,7
4,hum_2,travel,0,8
5,hum_1,fashion,0,1
5,hum_2,weather,0,2
5,bot_2,family,1,3
5,bot_1,goals,1,4
5,hum_2,boundaries,1,5
5,bot_2,gardening,0,6
5,hum_1,social_media,1,7
5,bot_1,food,0,8
