run,agent,topic,social,order
1,bot_1,hobbies,1,1
1,bot_2,friendship,1,2
1,hum_1,cars,0,3
1,hum_2,photography,0,4
1,bot_1,nature,0,5
1,hum_2,childhood_memories,1,6
1,bot_2,space,0,7
1,hum_1,conflict,1,8
2,bot_1,mentorship,1,1
2,bot_2,exercise,0,2
2,hum_2,empathy,1,3
2,hum_1,role_models,1,4
2,bot_2,networks,1,5
2,hum_2,books,0,6
2,hum_1,sports,0,7
2,bot_1,art,0,8
3,bot_1,love,1,1
3,hum_1,music,0,2
3,hum_2,cooking,0,3
3,bot_2,movies,0,4
3,hum_2,cultural_celebrations,1,5
3,bot_2,trust,1,6
3,bot_1,architecture,0,7
3,hum_1,loneliness,1,8
4,hum_1,work_life,1,1
4,bot_2,teamwork,1,2
4,hum_2,travel,0,3
4,bot_1,technology,0,4
4,bot_1,communication,1,5
4,hum_2,forgiveness,1,6
4,bot_2,podcasts,0,7
4,hum_1,seasons,0,8
5,bot_1,fashion,0,1
5,hum_2,food,0,2
5,hum_1,boundaries,1,3
5,bot_2,weather,0,4
5,bot_2,family,1,5
5,hum_1,gardening,0,6
5,hum_2,goals,1,7
5,bot_1,social_media,1,8
