run,agent,topic,social,order
1,bot_2,childhood_memories,1,1
1,bot_1,hobbies,1,2
1,hum_1,friendship,1,3
1,hum_2,nature,0,4
1,bot_1,space,0,5
1,hum_2,conflict,1,6
1,hum_1,photography,0,7
1,bot_2,cars,0,8
2,bot_2,exercise,0,1
2,hum_1,mentorship,1,2
2,bot_1,books,0,3
2,hum_2,art,0,4
2,bot_1,networks,1,5
2,hum_1,sports,0,6
2,bot_2,role_models,1,7
2,hum_2,empathy,1,8
3,bot_1,trust,1,1
3,bot_2,architecture,0,2
3,hum_1,music,0,3
3,hum_2,movies,0,4
3,hum_1,love,1,5
3,hum_2,loneliness,1,6
3,bot_2,cultural_celebrations,1,7
3,bot_1,cooking,0,8
4,bot_2,technology,0,1
4,hum_2,seasons,0,2
4,bot_1,podcasts,0,3
4,hum_1,travel,0,4
4,bot_2,communication,1,5
4,bot_1,forgiveness,1,6
4,hum_1,teamwork,1,7
4,hum_2,work_life,1,8
5,hum_2,social_media,1,1
5,bot_1,gardening,0,2
5,hum_1,fashion,0,3
5,bot_2,weather,0,4
5,bot_1,goals,1,5
5,hum_2,food,0,6
5,hum_1,boundaries,1,7
5,bot_2,family,1,8
