run,agent,topic,social,order
1,hum_2,nature,0,1
1,hum_1,photography,0,2
1,bot_1,cars,0,3
1,bot_2,conflict,1,4
1,hum_1,childhood_memories,1,5
1,bot_1,friendship,1,6
1,bot_2,space,0,7
1,hum_2,hobbies,1,8
2,bot_2,sports,0,1
2,hum_1,role_models,1,2
2,hum_2,mentorship,1,3
2,bot_1,exercise,0,4
2,hum_1,art,0,5
2,hum_2,books,0,6
2,bot_1,networks,1,7
2,bot_2,empathy,1,8
3,hum_1,trust,1,1
3,hum_2,music,0,2
3,bot_1,loneliness,1,3
3,bot_2,cultural_celebrations,1,4
3,bot_1,cooking,0,5
3,hum_1,movies,0,6
3,hum_2,love,1,7
3,bot_2,architecture,0,8
4,bot_1,forgiveness,1,1
4,bot_2,work_life,1,2
4,hum_2,teamwork,1,3
4,hum_1,communication,1,4
4,hum_2,travel,0,5
4,bot_1,technology,0,6
4,hum_1,podcasts,0,7
4,bot_2,seasons,0,8
5,hum_2,food,0,1
5,bot_2,fashion,0,2
5,hum_1,weather,0,3
5,bot_1,boundaries,1,4
5,hum_2,social_media,1,5
5,bot_2,goals,1,6
5,bot_1,gardening,0,7
5,hum_1,family,1,8
