layer,reading_best_acc,reading_final_acc,reading_train_acc,control_best_acc,control_final_acc,control_train_acc,diff_best_acc,z_stat,p_raw,p_fdr,sig_fdr_05,layer_group
0,0.5475,0.5350,0.6519,0.5150,0.5100,0.6419,0.0325,0.9210,0.3570,0.6099,0,early
1,0.5350,0.5350,0.6338,0.5400,0.5375,0.6069,-0.0050,-0.1418,0.8872,0.9833,0,early
2,0.5375,0.5325,0.6294,0.5150,0.5050,0.6419,0.0225,0.6373,0.5239,0.6931,0,early
3,0.5275,0.5275,0.6569,0.5325,0.5225,0.6606,-0.0050,-0.1417,0.8873,0.9833,0,early
4,0.5325,0.5275,0.6775,0.5350,0.5275,0.6737,-0.0025,-0.0709,0.9435,0.9919,0,early
5,0.5425,0.5225,0.7156,0.5500,0.5500,0.7150,-0.0075,-0.2130,0.8313,0.9741,0,early
6,0.5300,0.5225,0.7050,0.5700,0.5650,0.7325,-0.0400,-1.1371,0.2555,0.4989,0,early
7,0.5150,0.5125,0.7175,0.5625,0.5625,0.7412,-0.0475,-1.3476,0.1778,0.4860,0,early
8,0.5400,0.5300,0.7619,0.5700,0.5650,0.7825,-0.0300,-0.8537,0.3933,0.6202,0,early
9,0.5125,0.4900,0.7562,0.5375,0.5275,0.7525,-0.0250,-0.7080,0.4790,0.6771,0,early
10,0.5400,0.5400,0.7956,0.5125,0.5075,0.7900,0.0275,0.7789,0.4360,0.6385,0,early
11,0.5125,0.5000,0.7812,0.5350,0.5350,0.7731,-0.0225,-0.6371,0.5240,0.6931,0,early
12,0.5350,0.5000,0.7569,0.5450,0.5350,0.7800,-0.0100,-0.2838,0.7766,0.9649,0,early
13,0.5450,0.5325,0.7712,0.5450,0.5375,0.7800,0.0000,0.0000,1.0000,1.0000,0,early
14,0.5325,0.5300,0.8150,0.5400,0.5250,0.7969,-0.0075,-0.2127,0.8316,0.9741,0,middle
15,0.5650,0.5625,0.8750,0.5650,0.5500,0.8113,0.0000,0.0000,1.0000,1.0000,0,middle
16,0.5900,0.5825,0.8800,0.5475,0.5375,0.8231,0.0425,1.2136,0.2249,0.4989,0,middle
17,0.5700,0.5625,0.8538,0.5575,0.5575,0.8506,0.0125,0.3565,0.7215,0.9244,0,middle
18,0.6025,0.5925,0.8950,0.5625,0.5400,0.8106,0.0400,1.1471,0.2513,0.4989,0,middle
19,0.6050,0.6025,0.8931,0.5725,0.5675,0.8363,0.0325,0.9341,0.3503,0.6099,0,middle
20,0.5975,0.5875,0.8638,0.5500,0.5375,0.8375,0.0475,1.3584,0.1743,0.4860,0,middle
21,0.5925,0.5825,0.9119,0.5525,0.5500,0.8769,0.0400,1.1435,0.2528,0.4989,0,middle
22,0.6250,0.6150,0.9113,0.5700,0.5700,0.8631,0.0550,1.5861,0.1127,0.4622,0,middle
23,0.6200,0.6200,0.9106,0.5475,0.5375,0.8750,0.0725,2.0800,0.0375,0.3226,0,middle
24,0.6275,0.6150,0.9106,0.5625,0.5375,0.8775,0.0650,1.8726,0.0611,0.3226,0,middle
25,0.6075,0.6000,0.9038,0.5350,0.5325,0.9106,0.0725,2.0718,0.0383,0.3226,0,middle
26,0.5925,0.5875,0.9313,0.5525,0.5400,0.8856,0.0400,1.1435,0.2528,0.4989,0,middle
27,0.6175,0.6100,0.9100,0.5850,0.5775,0.9294,0.0325,0.9387,0.3479,0.6099,0,middle
28,0.6175,0.5950,0.9250,0.5900,0.5625,0.9350,0.0275,0.7951,0.4265,0.6385,0,late
29,0.6075,0.5900,0.9387,0.5650,0.5450,0.9081,0.0425,1.2204,0.2223,0.4989,0,late
30,0.6200,0.6175,0.9525,0.5900,0.5875,0.9400,0.0300,0.8679,0.3855,0.6202,0,late
31,0.6075,0.6075,0.9325,0.6050,0.5925,0.8387,0.0025,0.0724,0.9423,0.9919,0,late
32,0.6100,0.6100,0.9119,0.5575,0.5475,0.9187,0.0525,1.5062,0.1320,0.4860,0,late
33,0.6525,0.6475,0.9575,0.5425,0.5325,0.9062,0.1100,3.1722,0.0015,0.0620,0,late
34,0.6400,0.6375,0.9613,0.5425,0.5350,0.9119,0.0975,2.8048,0.0050,0.1032,0,late
35,0.6150,0.6075,0.9556,0.5475,0.5350,0.9250,0.0675,1.9349,0.0530,0.3226,0,late
36,0.6200,0.6150,0.9637,0.5550,0.5300,0.9419,0.0650,1.8673,0.0619,0.3226,0,late
37,0.6175,0.6125,0.9525,0.5675,0.5525,0.8881,0.0500,1.4391,0.1501,0.4860,0,late
38,0.5850,0.5800,0.9456,0.5350,0.5175,0.9106,0.0500,1.4245,0.1543,0.4860,0,late
39,0.6075,0.6000,0.9525,0.5425,0.5275,0.9025,0.0650,1.8595,0.0630,0.3226,0,late
40,0.5950,0.5925,0.9256,0.5350,0.5100,0.8294,0.0600,1.7116,0.0870,0.3962,0,late
