layer,reading_best_acc,reading_final_acc,reading_train_acc,control_best_acc,control_final_acc,control_train_acc,diff_best_acc,z_stat,p_raw,p_fdr,sig_fdr_05,layer_group
0,0.5100,0.5025,0.6525,0.5350,0.5325,0.6094,-0.0250,-0.7078,0.4791,1.0000,0,early
1,0.5250,0.5200,0.6150,0.5150,0.5075,0.5650,0.0100,0.2831,0.7771,1.0000,0,early
2,0.5250,0.4975,0.6506,0.5300,0.4950,0.6119,-0.0050,-0.1416,0.8874,1.0000,0,early
3,0.5225,0.5150,0.6469,0.5225,0.5100,0.6388,0.0000,0.0000,1.0000,1.0000,0,early
4,0.5175,0.4950,0.6994,0.5150,0.5025,0.6756,0.0025,0.0707,0.9436,1.0000,0,early
5,0.5000,0.4900,0.7000,0.5050,0.5050,0.7056,-0.0050,-0.1414,0.8875,1.0000,0,early
6,0.4900,0.4725,0.7212,0.5125,0.4750,0.7194,-0.0225,-0.6364,0.5245,1.0000,0,early
7,0.5400,0.5225,0.7225,0.5050,0.4900,0.7325,0.0350,0.9910,0.3217,1.0000,0,early
8,0.5100,0.4900,0.7150,0.5125,0.4800,0.7519,-0.0025,-0.0707,0.9436,1.0000,0,early
9,0.5275,0.4875,0.7369,0.5025,0.4875,0.7306,0.0250,0.7074,0.4793,1.0000,0,early
10,0.5200,0.5100,0.7475,0.5175,0.5000,0.7556,0.0025,0.0708,0.9436,1.0000,0,early
11,0.5050,0.4975,0.7606,0.5175,0.4875,0.7531,-0.0125,-0.3536,0.7236,1.0000,0,early
12,0.5300,0.5125,0.7719,0.5200,0.4825,0.7581,0.0100,0.2832,0.7770,1.0000,0,early
13,0.5325,0.5050,0.7631,0.5325,0.5325,0.7744,0.0000,0.0000,1.0000,1.0000,0,early
14,0.5025,0.4875,0.7725,0.4900,0.4825,0.7788,0.0125,0.3536,0.7237,1.0000,0,middle
15,0.5275,0.5100,0.7969,0.4975,0.4750,0.7806,0.0300,0.8488,0.3960,1.0000,0,middle
16,0.5000,0.4950,0.7837,0.5175,0.5150,0.8181,-0.0175,-0.4951,0.6206,1.0000,0,middle
17,0.5100,0.4775,0.7819,0.5100,0.4850,0.8106,0.0000,0.0000,1.0000,1.0000,0,middle
18,0.5250,0.5025,0.8050,0.5200,0.4925,0.8237,0.0050,0.1416,0.8874,1.0000,0,middle
19,0.5625,0.5150,0.8050,0.4925,0.4900,0.7781,0.0700,1.9829,0.0474,1.0000,0,middle
20,0.5400,0.5325,0.8469,0.5075,0.5075,0.8225,0.0325,0.9203,0.3574,1.0000,0,middle
21,0.4925,0.4850,0.8056,0.5150,0.5100,0.8225,-0.0225,-0.6364,0.5245,1.0000,0,middle
22,0.5125,0.5000,0.8750,0.5125,0.4800,0.8488,0.0000,0.0000,1.0000,1.0000,0,middle
23,0.5400,0.5350,0.8194,0.4925,0.4875,0.8237,0.0475,1.3442,0.1789,1.0000,0,middle
24,0.5250,0.4925,0.8263,0.5275,0.5025,0.8406,-0.0025,-0.0708,0.9436,1.0000,0,middle
25,0.5200,0.4950,0.8244,0.5275,0.5175,0.8575,-0.0075,-0.2124,0.8318,1.0000,0,middle
26,0.5350,0.5000,0.8181,0.5175,0.4775,0.8581,0.0175,0.4957,0.6201,1.0000,0,middle
27,0.4925,0.4850,0.8638,0.5325,0.4950,0.8475,-0.0400,-1.1317,0.2578,1.0000,0,middle
28,0.5200,0.5200,0.8562,0.5225,0.5125,0.8781,-0.0025,-0.0708,0.9436,1.0000,0,late
29,0.5300,0.5075,0.8469,0.5150,0.5050,0.8819,0.0150,0.4247,0.6711,1.0000,0,late
30,0.5375,0.4925,0.7913,0.5275,0.5225,0.9106,0.0100,0.2834,0.7768,1.0000,0,late
31,0.4975,0.4900,0.8894,0.5025,0.4725,0.8931,-0.0050,-0.1414,0.8875,1.0000,0,late
32,0.5150,0.5075,0.8581,0.5150,0.4975,0.8975,0.0000,0.0000,1.0000,1.0000,0,late
33,0.5100,0.4950,0.8850,0.4875,0.4825,0.9125,0.0225,0.6364,0.5245,1.0000,0,late
34,0.4975,0.4725,0.8831,0.5225,0.5025,0.9075,-0.0250,-0.7072,0.4794,1.0000,0,late
35,0.5375,0.5175,0.8962,0.5500,0.5225,0.8950,-0.0125,-0.3549,0.7227,1.0000,0,late
36,0.5050,0.4825,0.8669,0.5275,0.5250,0.9094,-0.0225,-0.6367,0.5243,1.0000,0,late
37,0.5375,0.5375,0.8794,0.5075,0.4850,0.9169,0.0300,0.8494,0.3957,1.0000,0,late
38,0.5450,0.5175,0.8375,0.5375,0.5150,0.8944,0.0075,0.2129,0.8314,1.0000,0,late
39,0.5075,0.4975,0.8894,0.5300,0.5000,0.9087,-0.0225,-0.6368,0.5242,1.0000,0,late
40,0.5225,0.5175,0.8237,0.5375,0.4900,0.8275,-0.0150,-0.4250,0.6708,1.0000,0,late
