degradation_metric,probe,condition,r,p,n
TTR Drop (Turn 1 to 5),Reading Probe Confidence,all,0.09461793670240431,2.252101032059939e-05,2000
TTR Drop (Turn 1 to 5),Reading Probe Confidence,human,0.0066742388197167934,0.8330461972831434,1000
TTR Drop (Turn 1 to 5),Reading Probe Confidence,ai,0.08679455822896134,0.0060246571868511475,1000
TTR Drop (Turn 1 to 5),Control Probe Confidence,all,0.09472085167554925,2.2061106988486397e-05,2000
TTR Drop (Turn 1 to 5),Control Probe Confidence,human,0.011428476353209264,0.7181294001256381,1000
TTR Drop (Turn 1 to 5),Control Probe Confidence,ai,0.08062984600530318,0.010750544059571961,1000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,all,0.06504998307228776,0.0036098064183923795,2000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,human,-0.009735507999236741,0.7584734547659301,1000
Trigram Rep. Increase (Turn 1 to 5),Reading Probe Confidence,ai,0.0772647474472086,0.014528483934206604,1000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,all,0.06581000148549025,0.0032351351330921077,2000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,human,-0.004324369729738585,0.8913642228279238,1000
Trigram Rep. Increase (Turn 1 to 5),Control Probe Confidence,ai,0.07268359618782538,0.021526345161171852,1000
