layer,reading_best_acc,reading_final_acc,reading_train_acc,control_best_acc,control_final_acc,control_train_acc,diff_best_acc,z_stat,p_raw,p_fdr,sig_fdr_05,layer_group
0,0.5650,0.5650,0.5669,0.5600,0.5600,0.5494,0.0050,0.1425,0.8867,0.9598,0,early
1,0.5625,0.5600,0.5637,0.5675,0.5600,0.5556,-0.0050,-0.1426,0.8866,0.9598,0,early
2,0.5675,0.5625,0.5831,0.5625,0.5525,0.5713,0.0050,0.1426,0.8866,0.9598,0,early
3,0.5800,0.5775,0.6444,0.5700,0.5650,0.6094,0.0100,0.2861,0.7748,0.9598,0,early
4,0.5700,0.5675,0.6819,0.5850,0.5825,0.6794,-0.0150,-0.4295,0.6676,0.9598,0,early
5,0.5850,0.5700,0.7225,0.6025,0.5950,0.7262,-0.0175,-0.5039,0.6143,0.9598,0,early
6,0.6200,0.6125,0.7419,0.7000,0.6475,0.7619,-0.0800,-2.3883,0.0169,0.6939,0,early
7,0.6875,0.6550,0.8056,0.7325,0.7175,0.8531,-0.0450,-1.4025,0.1608,0.9598,0,early
8,0.7125,0.6800,0.8569,0.7625,0.7550,0.9056,-0.0500,-1.6071,0.1080,0.9598,0,early
9,0.7550,0.7375,0.9194,0.7750,0.7700,0.9256,-0.0200,-0.6671,0.5047,0.9598,0,early
10,0.7575,0.7500,0.9294,0.7575,0.7550,0.9337,0.0000,0.0000,1.0000,1.0000,0,early
11,0.7700,0.7600,0.9475,0.7625,0.7500,0.9531,0.0075,0.2506,0.8021,0.9598,0,early
12,0.7375,0.7300,0.9500,0.7475,0.7425,0.9613,-0.0100,-0.3234,0.7464,0.9598,0,early
13,0.7425,0.7400,0.9569,0.7600,0.7550,0.9637,-0.0175,-0.5725,0.5670,0.9598,0,early
14,0.7425,0.7400,0.9712,0.7550,0.7525,0.9762,-0.0125,-0.4076,0.6836,0.9598,0,middle
15,0.7375,0.7375,0.9800,0.7700,0.7650,0.9788,-0.0325,-1.0668,0.2860,0.9598,0,middle
16,0.7525,0.7500,0.9881,0.7900,0.7575,0.9881,-0.0375,-1.2626,0.2067,0.9598,0,middle
17,0.7675,0.7375,0.9888,0.7600,0.7575,0.9888,0.0075,0.2497,0.8028,0.9598,0,middle
18,0.7625,0.7500,0.9919,0.7775,0.7525,0.9900,-0.0150,-0.5041,0.6142,0.9598,0,middle
19,0.7725,0.7500,0.9925,0.7850,0.7750,0.9938,-0.0125,-0.4259,0.6702,0.9598,0,middle
20,0.7650,0.7600,0.9925,0.7675,0.7650,0.9944,-0.0025,-0.0835,0.9334,0.9598,0,middle
21,0.7625,0.7525,0.9938,0.7750,0.7675,0.9956,-0.0125,-0.4193,0.6750,0.9598,0,middle
22,0.7400,0.7350,0.9862,0.7775,0.7725,0.9975,-0.0375,-1.2395,0.2151,0.9598,0,middle
23,0.7500,0.7475,0.9975,0.7750,0.7750,0.9975,-0.0250,-0.8308,0.4061,0.9598,0,middle
24,0.7600,0.7475,0.9962,0.7800,0.7800,0.9969,-0.0200,-0.6721,0.5015,0.9598,0,middle
25,0.7500,0.7475,0.9962,0.7725,0.7725,0.9975,-0.0225,-0.7464,0.4554,0.9598,0,middle
26,0.7500,0.7400,0.9962,0.7550,0.7450,0.9975,-0.0050,-0.1638,0.8698,0.9598,0,middle
27,0.7450,0.7400,0.9975,0.7800,0.7750,0.9975,-0.0350,-1.1631,0.2448,0.9598,0,middle
28,0.7475,0.7475,0.9962,0.7800,0.7700,0.9969,-0.0325,-1.0820,0.2792,0.9598,0,late
29,0.7450,0.7400,0.9981,0.7700,0.7650,0.9975,-0.0250,-0.8249,0.4094,0.9598,0,late
30,0.7575,0.7500,0.9962,0.7550,0.7475,0.9981,0.0025,0.0823,0.9344,0.9598,0,late
31,0.7475,0.7300,0.9981,0.7525,0.7500,0.9981,-0.0050,-0.1633,0.8703,0.9598,0,late
32,0.7300,0.7275,0.9988,0.7325,0.7250,0.9988,-0.0025,-0.0798,0.9364,0.9598,0,late
33,0.7175,0.7125,0.9962,0.7450,0.7375,0.9981,-0.0275,-0.8773,0.3803,0.9598,0,late
34,0.7325,0.7225,0.9975,0.7675,0.7425,0.9981,-0.0350,-1.1431,0.2530,0.9598,0,late
35,0.7325,0.7200,0.9981,0.7425,0.7375,0.9981,-0.0100,-0.3214,0.7479,0.9598,0,late
36,0.7450,0.7350,0.9969,0.7675,0.7625,0.9988,-0.0225,-0.7411,0.4586,0.9598,0,late
37,0.7600,0.7375,0.9981,0.7675,0.7675,0.9994,-0.0075,-0.2497,0.8028,0.9598,0,late
38,0.7675,0.7550,0.9994,0.7625,0.7575,0.9994,0.0050,0.1668,0.8676,0.9598,0,late
39,0.7800,0.7775,1.0000,0.7950,0.7875,1.0000,-0.0150,-0.5186,0.6041,0.9598,0,late
40,0.7700,0.7600,0.9994,0.7900,0.7850,1.0000,-0.0200,-0.6828,0.4947,0.9598,0,late
