metric,metric_col,turn,human_mean,ai_mean,diff,t,p
Type-Token Ratio (TTR),sub_ttr,1,0.7486273917828922,0.7435576991645722,0.005069692618320021,1.403458983184432,0.16063540740888846
Type-Token Ratio (TTR),sub_ttr,5,0.590055873856013,0.6093570916368872,-0.019301217780874236,-4.4544919845214945,8.873957105929048e-06
Trigram Repetition Rate,sub_trigram_rep,1,0.006851681846473776,0.0073379653835198245,-0.0004862835370460488,-0.8901782329031707,0.37347736222266315
Trigram Repetition Rate,sub_trigram_rep,5,0.06312906507866348,0.05448357209791092,0.008645492980752553,2.7737488177609584,0.005592948515409676
Word Count,sub_word_count,1,110.743,115.626,-4.88300000000001,-2.3786058634387897,0.017471734646946933
Word Count,sub_word_count,5,203.68,193.984,9.695999999999998,2.9836990866350708,0.0028823829768583483
Self-Reference Rate,sub_self_ref_rate,1,0.04318669076369187,0.040556186697166687,0.002630504066525187,2.283545322770059,0.02250280430742623
Self-Reference Rate,sub_self_ref_rate,5,0.03405760845470369,0.03562222996435491,-0.0015646215096512192,-1.671860551057475,0.09470840577109221
ALL-CAPS Ratio,sub_allcaps_ratio,1,0.0013959143553586722,0.001174985574500516,0.00022092878085815614,1.0200682371999565,0.3078195955993809
ALL-CAPS Ratio,sub_allcaps_ratio,5,0.0806851429425284,0.0661576309972312,0.014527511945297208,1.4788798398377083,0.13933006495155895
Exclamation Rate,sub_exclamation_rate,1,0.01764842408298445,0.01718797593588254,0.00046044814710190923,0.7279578639189732,0.46672467967477604
Exclamation Rate,sub_exclamation_rate,5,0.026069263864231324,0.02339093521886982,0.0026783286453615045,2.8804037947668455,0.004013987803761342
Emoji Count,sub_emoji_count,1,0.346,0.297,0.04899999999999999,1.340373991863941,0.18027617753469524
Emoji Count,sub_emoji_count,5,2.097,2.162,-0.06499999999999995,-0.3842189603864619,0.7008570526464073
