dim_id,dim_name,label,category,probe_type,layer_range,observed_cosine,observed_projection,p_value,p_adjusted,ci_lo,ci_hi,null_mean,null_std,sig,sig_fdr
0,0_baseline,Human vs AI (General),Human vs AI (General),control_probe,all_layers,0.018193,0.101839,0.000000,0.000000,0.075323,0.128366,0.000261,0.018040,***,***
0,0_baseline,Human vs AI (General),Human vs AI (General),control_probe,layers_6plus,0.017841,0.118009,0.000000,0.000000,0.086592,0.151401,-0.000028,0.020966,***,***
0,0_baseline,Human vs AI (General),Human vs AI (General),reading_probe,all_layers,0.005026,0.043275,0.001200,0.001543,0.017509,0.069656,0.000064,0.014392,**,**
0,0_baseline,Human vs AI (General),Human vs AI (General),reading_probe,layers_6plus,0.003547,0.049863,0.001600,0.002057,0.019955,0.079750,-0.000019,0.016563,**,**
1,1_phenomenology,Phenomenology,Mental,control_probe,all_layers,0.030221,0.165501,0.000000,0.000000,0.126803,0.203958,0.000009,0.027149,***,***
1,1_phenomenology,Phenomenology,Mental,control_probe,layers_6plus,0.026963,0.190189,0.000000,0.000000,0.145225,0.234452,-0.000162,0.031443,***,***
1,1_phenomenology,Phenomenology,Mental,reading_probe,all_layers,0.008354,0.076761,0.000000,0.000000,0.048907,0.104546,0.000220,0.016592,***,***
1,1_phenomenology,Phenomenology,Mental,reading_probe,layers_6plus,0.006623,0.088476,0.000000,0.000000,0.056025,0.121291,-0.000187,0.019628,***,***
2,2_emotions,Emotions,Mental,control_probe,all_layers,0.031689,0.269210,0.000000,0.000000,0.237399,0.301310,0.000457,0.034941,***,***
2,2_emotions,Emotions,Mental,control_probe,layers_6plus,0.028407,0.310802,0.000000,0.000000,0.273780,0.347982,0.000092,0.040125,***,***
2,2_emotions,Emotions,Mental,reading_probe,all_layers,0.011084,0.141704,0.000000,0.000000,0.107981,0.176282,-0.000096,0.023469,***,***
2,2_emotions,Emotions,Mental,reading_probe,layers_6plus,0.009599,0.164161,0.000000,0.000000,0.123889,0.204447,0.000460,0.027946,***,***
3,3_agency,Agency,Mental,control_probe,all_layers,0.031743,0.193642,0.000000,0.000000,0.166073,0.220878,0.000463,0.025678,***,***
3,3_agency,Agency,Mental,control_probe,layers_6plus,0.029412,0.223168,0.000000,0.000000,0.190606,0.255294,-0.000307,0.029982,***,***
3,3_agency,Agency,Mental,reading_probe,all_layers,0.011657,0.095453,0.000000,0.000000,0.064105,0.127568,-0.000035,0.019393,***,***
3,3_agency,Agency,Mental,reading_probe,layers_6plus,0.010413,0.110226,0.000000,0.000000,0.073091,0.146326,-0.000348,0.022577,***,***
4,4_intentions,Intentions,Mental,control_probe,all_layers,0.036751,0.245967,0.000000,0.000000,0.217132,0.274188,-0.000680,0.031539,***,***
4,4_intentions,Intentions,Mental,control_probe,layers_6plus,0.035612,0.284492,0.000000,0.000000,0.251454,0.317065,-0.000512,0.036340,***,***
4,4_intentions,Intentions,Mental,reading_probe,all_layers,0.018405,0.169485,0.000000,0.000000,0.139237,0.200417,0.000276,0.024442,***,***
4,4_intentions,Intentions,Mental,reading_probe,layers_6plus,0.018205,0.196889,0.000000,0.000000,0.161721,0.232051,0.000340,0.028710,***,***
5,5_prediction,Prediction,Mental,control_probe,all_layers,0.034685,0.214691,0.000000,0.000000,0.186759,0.241732,0.000242,0.028006,***,***
5,5_prediction,Prediction,Mental,control_probe,layers_6plus,0.033035,0.248207,0.000000,0.000000,0.217190,0.280557,0.000196,0.032539,***,***
5,5_prediction,Prediction,Mental,reading_probe,all_layers,0.015581,0.128596,0.000000,0.000000,0.098183,0.158842,0.000236,0.021348,***,***
5,5_prediction,Prediction,Mental,reading_probe,layers_6plus,0.015135,0.149208,0.000000,0.000000,0.113783,0.183746,-0.000093,0.024348,***,***
6,6_cognitive,Cognitive,Mental,control_probe,all_layers,0.033030,0.188946,0.000000,0.000000,0.157229,0.219824,0.000049,0.026584,***,***
6,6_cognitive,Cognitive,Mental,control_probe,layers_6plus,0.031738,0.218020,0.000000,0.000000,0.181058,0.254531,-0.000042,0.030837,***,***
6,6_cognitive,Cognitive,Mental,reading_probe,all_layers,0.013201,0.117093,0.000000,0.000000,0.087147,0.147058,0.000273,0.020429,***,***
6,6_cognitive,Cognitive,Mental,reading_probe,layers_6plus,0.012351,0.135665,0.000000,0.000000,0.099997,0.170081,-0.000420,0.023552,***,***
7,7_social,Social cognition,Mental,control_probe,all_layers,0.030309,0.190916,0.000000,0.000000,0.154043,0.226030,-0.000231,0.028379,***,***
7,7_social,Social cognition,Mental,control_probe,layers_6plus,0.029285,0.220881,0.000000,0.000000,0.178441,0.263618,-0.000382,0.032696,***,***
7,7_social,Social cognition,Mental,reading_probe,all_layers,0.013613,0.123331,0.000000,0.000000,0.086321,0.158820,0.000055,0.023508,***,***
7,7_social,Social cognition,Mental,reading_probe,layers_6plus,0.013085,0.143171,0.000000,0.000000,0.100240,0.186006,0.000408,0.026890,***,***
8,8_embodiment,Embodiment,Physical,control_probe,all_layers,0.026940,0.191888,0.000000,0.000000,0.152394,0.231904,0.000105,0.029575,***,***
8,8_embodiment,Embodiment,Physical,control_probe,layers_6plus,0.023784,0.221485,0.000000,0.000000,0.175247,0.267684,0.000347,0.034758,***,***
8,8_embodiment,Embodiment,Physical,reading_probe,all_layers,0.007741,0.098099,0.000000,0.000000,0.061257,0.133740,-0.000107,0.021758,***,***
8,8_embodiment,Embodiment,Physical,reading_probe,layers_6plus,0.005501,0.113363,0.000000,0.000000,0.071167,0.156166,0.000146,0.025233,***,***
9,9_roles,Roles,Physical,control_probe,all_layers,0.030192,0.217140,0.000000,0.000000,0.184226,0.251328,-0.000229,0.029920,***,***
9,9_roles,Roles,Physical,control_probe,layers_6plus,0.027732,0.251606,0.000000,0.000000,0.212348,0.292625,-0.000255,0.034658,***,***
9,9_roles,Roles,Physical,reading_probe,all_layers,0.013311,0.131861,0.000000,0.000000,0.100773,0.164424,0.000191,0.022091,***,***
9,9_roles,Roles,Physical,reading_probe,layers_6plus,0.012497,0.153318,0.000000,0.000000,0.116887,0.190205,0.000513,0.025777,***,***
10,10_animacy,Animacy,Physical,control_probe,all_layers,0.018253,0.142416,0.000000,0.000000,0.113544,0.170974,-0.000548,0.021731,***,***
10,10_animacy,Animacy,Physical,control_probe,layers_6plus,0.013560,0.164126,0.000000,0.000000,0.130641,0.198139,0.000554,0.025257,***,***
10,10_animacy,Animacy,Physical,reading_probe,all_layers,0.000135,0.005944,0.312200,0.330565,-0.018647,0.031154,-0.000138,0.012760,n.s.,n.s.
10,10_animacy,Animacy,Physical,reading_probe,layers_6plus,-0.002074,0.006099,0.351300,0.371965,-0.022343,0.035192,0.000092,0.015104,n.s.,n.s.
11,11_formality,Formality,Pragmatic,control_probe,all_layers,0.005745,-0.027834,0.863200,0.863200,-0.076031,0.020024,-0.000125,0.025348,n.s.,n.s.
11,11_formality,Formality,Pragmatic,control_probe,layers_6plus,-0.003492,-0.035290,0.882800,0.882800,-0.090983,0.021718,-0.000021,0.029230,n.s.,n.s.
11,11_formality,Formality,Pragmatic,reading_probe,all_layers,-0.001147,-0.014429,0.721600,0.721600,-0.061583,0.034034,-0.000073,0.024195,n.s.,n.s.
11,11_formality,Formality,Pragmatic,reading_probe,layers_6plus,-0.004653,-0.017701,0.729200,0.729200,-0.074321,0.038014,-0.000264,0.028846,n.s.,n.s.
12,12_expertise,Expertise,Pragmatic,control_probe,all_layers,0.024413,0.194980,0.000000,0.000000,0.163347,0.227079,0.000312,0.027098,***,***
12,12_expertise,Expertise,Pragmatic,control_probe,layers_6plus,0.022959,0.226786,0.000000,0.000000,0.189874,0.263758,0.000075,0.031866,***,***
12,12_expertise,Expertise,Pragmatic,reading_probe,all_layers,0.013785,0.190390,0.000000,0.000000,0.159177,0.221868,0.000242,0.026832,***,***
12,12_expertise,Expertise,Pragmatic,reading_probe,layers_6plus,0.012720,0.222128,0.000000,0.000000,0.185959,0.258112,-0.000153,0.031309,***,***
13,13_helpfulness,Helpfulness,Pragmatic,control_probe,all_layers,0.012463,0.051737,0.010800,0.012150,0.009090,0.095120,0.000002,0.022404,*,*
13,13_helpfulness,Helpfulness,Pragmatic,control_probe,layers_6plus,0.012981,0.060569,0.011200,0.012600,0.011113,0.110400,0.000240,0.026456,*,*
13,13_helpfulness,Helpfulness,Pragmatic,reading_probe,all_layers,0.008864,0.063304,0.003800,0.004560,0.018258,0.106513,0.000139,0.023633,**,**
13,13_helpfulness,Helpfulness,Pragmatic,reading_probe,layers_6plus,0.011028,0.074433,0.004300,0.005160,0.022858,0.126155,0.000136,0.027860,**,**
14,14_biological,Biological,Bio Ctrl,control_probe,all_layers,0.026426,0.202682,0.000000,0.000000,0.170750,0.233800,0.000437,0.027778,***,***
14,14_biological,Biological,Bio Ctrl,control_probe,layers_6plus,0.023367,0.233798,0.000000,0.000000,0.197617,0.270932,0.000461,0.032485,***,***
14,14_biological,Biological,Bio Ctrl,reading_probe,all_layers,0.004540,0.047054,0.000000,0.000000,0.024249,0.070360,-0.000019,0.012996,***,***
14,14_biological,Biological,Bio Ctrl,reading_probe,layers_6plus,0.002098,0.053483,0.000300,0.000415,0.026592,0.080620,0.000098,0.015094,***,***
15,15_shapes,Shapes,Shapes,control_probe,all_layers,0.007800,0.010055,0.206900,0.219071,-0.013092,0.033538,-0.000020,0.012117,n.s.,n.s.
15,15_shapes,Shapes,Shapes,control_probe,layers_6plus,0.005252,0.011127,0.216200,0.228918,-0.016089,0.038959,0.000039,0.014207,n.s.,n.s.
15,15_shapes,Shapes,Shapes,reading_probe,all_layers,0.004080,0.012640,0.164100,0.184612,-0.012827,0.038166,-0.000264,0.013209,n.s.,n.s.
15,15_shapes,Shapes,Shapes,reading_probe,layers_6plus,0.001654,0.014149,0.176800,0.198900,-0.015484,0.043286,-0.000101,0.015299,n.s.,n.s.
17,17_attention,Attention,Mental,control_probe,all_layers,0.038244,0.220472,0.000000,0.000000,0.190287,0.250275,0.000142,0.029221,***,***
17,17_attention,Attention,Mental,control_probe,layers_6plus,0.035971,0.254570,0.000000,0.000000,0.218712,0.290226,0.000709,0.033743,***,***
17,17_attention,Attention,Mental,reading_probe,all_layers,0.014674,0.120595,0.000000,0.000000,0.089926,0.150470,-0.000010,0.021038,***,***
17,17_attention,Attention,Mental,reading_probe,layers_6plus,0.013567,0.139636,0.000000,0.000000,0.103151,0.175388,0.000174,0.024610,***,***
18,18_sysprompt_labeled,System prompt,SysPrompt,control_probe,all_layers,0.032600,0.215331,0.000000,0.000000,0.183472,0.250850,-0.000430,0.045256,***,***
18,18_sysprompt_labeled,System prompt,SysPrompt,control_probe,layers_6plus,0.034200,0.249875,0.000000,0.000000,0.212638,0.290524,0.000583,0.052049,***,***
