probe_type,layer_range,cat_a,cat_b,diff,p_value,p_adjusted,ci_lo,ci_hi,sig_raw,sig_fdr
control_probe,all_layers,Bio Ctrl,Entity,0.066056,0.000000,0.000000,0.039655,0.092892,***,***
control_probe,all_layers,Bio Ctrl,Mental,-0.030654,0.017400,0.021494,-0.055308,-0.005844,*,*
control_probe,all_layers,Bio Ctrl,Physical,0.018835,0.166200,0.183695,-0.007910,0.045437,n.s.,n.s.
control_probe,all_layers,Bio Ctrl,Pragmatic,-0.028783,0.046400,0.054133,-0.056517,-0.000912,*,n.s.
control_probe,all_layers,Bio Ctrl,Shapes,0.081363,0.000000,0.000000,0.050204,0.111606,***,***
control_probe,all_layers,Bio Ctrl,SysPrompt,-0.211316,0.000000,0.000000,-0.241666,-0.180976,***,***
control_probe,all_layers,Entity,Mental,-0.096710,0.000000,0.000000,-0.113264,-0.080336,***,***
control_probe,all_layers,Entity,Physical,-0.047221,0.000000,0.000000,-0.066085,-0.028051,***,***
control_probe,all_layers,Entity,Pragmatic,-0.094839,0.000000,0.000000,-0.115649,-0.074193,***,***
control_probe,all_layers,Entity,Shapes,0.015308,0.236800,0.248640,-0.010373,0.040295,n.s.,n.s.
control_probe,all_layers,Entity,SysPrompt,-0.277372,0.000000,0.000000,-0.301307,-0.252695,***,***
control_probe,all_layers,Mental,Physical,0.049489,0.000000,0.000000,0.032654,0.065835,***,***
control_probe,all_layers,Mental,Pragmatic,0.001870,0.833600,0.833600,-0.016930,0.020515,n.s.,n.s.
control_probe,all_layers,Mental,Shapes,0.112017,0.000000,0.000000,0.087756,0.135269,***,***
control_probe,all_layers,Mental,SysPrompt,-0.180662,0.000000,0.000000,-0.202527,-0.158320,***,***
control_probe,all_layers,Physical,Pragmatic,-0.047618,0.000000,0.000000,-0.068657,-0.026595,***,***
control_probe,all_layers,Physical,Shapes,0.062529,0.000000,0.000000,0.036082,0.087988,***,***
control_probe,all_layers,Physical,SysPrompt,-0.230151,0.000000,0.000000,-0.254146,-0.205352,***,***
control_probe,all_layers,Pragmatic,Shapes,0.110147,0.000000,0.000000,0.082204,0.137112,***,***
control_probe,all_layers,Pragmatic,SysPrompt,-0.182533,0.000000,0.000000,-0.208386,-0.156206,***,***
