probe_type,layer_range,dim_a,dim_b,name_a,name_b,diff,p_value,p_adjusted,ci_lo,ci_hi,sig_raw,sig_fdr
control_probe,all_layers,1,2,1_phenomenology,2_emotions,-0.071957,0.000800,0.001515,-0.111973,-0.030093,***,**
control_probe,all_layers,1,3,1_phenomenology,3_agency,-0.046075,0.023200,0.034135,-0.085284,-0.006499,*,*
control_probe,all_layers,1,4,1_phenomenology,4_intentions,-0.107751,0.000000,0.000000,-0.146220,-0.067075,***,***
control_probe,all_layers,1,5,1_phenomenology,5_prediction,-0.026915,0.153000,0.187000,-0.063096,0.010273,n.s.,n.s.
control_probe,all_layers,1,6,1_phenomenology,6_cognitive,-0.035789,0.085000,0.110932,-0.074835,0.004721,n.s.,n.s.
control_probe,all_layers,1,7,1_phenomenology,7_social,-0.129340,0.000000,0.000000,-0.169286,-0.088392,***,***
control_probe,all_layers,1,8,1_phenomenology,8_embodiment,0.028980,0.123200,0.154670,-0.008388,0.067844,n.s.,n.s.
control_probe,all_layers,1,9,1_phenomenology,9_roles,-0.026118,0.156400,0.190149,-0.061436,0.010226,n.s.,n.s.
control_probe,all_layers,1,10,1_phenomenology,10_animacy,0.000860,0.973200,0.973200,-0.033252,0.036849,n.s.,n.s.
control_probe,all_layers,1,11,1_phenomenology,11_formality,-0.019645,0.340000,0.381262,-0.060259,0.020873,n.s.,n.s.
control_probe,all_layers,1,12,1_phenomenology,12_expertise,-0.042706,0.049600,0.068608,-0.084706,-0.000101,*,n.s.
control_probe,all_layers,1,13,1_phenomenology,13_helpfulness,-0.076727,0.000000,0.000000,-0.113001,-0.040516,***,***
control_probe,all_layers,1,14,1_phenomenology,14_biological,-0.017701,0.337000,0.379741,-0.053191,0.019282,n.s.,n.s.
control_probe,all_layers,1,15,1_phenomenology,15_shapes,0.063630,0.000400,0.000790,0.029142,0.099737,***,***
control_probe,all_layers,1,16,1_phenomenology,16_human,-0.002678,0.871000,0.891496,-0.038898,0.034156,n.s.,n.s.
control_probe,all_layers,1,17,1_phenomenology,17_ai,0.099066,0.000000,0.000000,0.068423,0.131403,***,***
control_probe,all_layers,1,18,1_phenomenology,18_attention,0.030875,0.077000,0.104018,-0.003148,0.066829,n.s.,n.s.
control_probe,all_layers,1,20,1_phenomenology,20_sysprompt_talkto_human,-0.318172,0.000000,0.000000,-0.350610,-0.284142,***,***
control_probe,all_layers,1,21,1_phenomenology,21_sysprompt_talkto_ai,-0.083017,0.001200,0.002218,-0.131732,-0.032042,**,**
control_probe,all_layers,1,22,1_phenomenology,22_sysprompt_bare_human,-0.390344,0.000000,0.000000,-0.423530,-0.355967,***,***
control_probe,all_layers,1,23,1_phenomenology,23_sysprompt_bare_ai,-0.124668,0.001600,0.002865,-0.193069,-0.052785,**,**
control_probe,all_layers,2,3,2_emotions,3_agency,0.025882,0.211600,0.250665,-0.014184,0.066684,n.s.,n.s.
control_probe,all_layers,2,4,2_emotions,4_intentions,-0.035794,0.089000,0.114855,-0.076673,0.005451,n.s.,n.s.
control_probe,all_layers,2,5,2_emotions,5_prediction,0.045042,0.016400,0.025256,0.008711,0.083427,*,*
control_probe,all_layers,2,6,2_emotions,6_cognitive,0.036169,0.084000,0.110250,-0.004037,0.078379,n.s.,n.s.
control_probe,all_layers,2,7,2_emotions,7_social,-0.057382,0.007400,0.011954,-0.097118,-0.015347,**,*
control_probe,all_layers,2,8,2_emotions,8_embodiment,0.100938,0.000000,0.000000,0.061828,0.140818,***,***
control_probe,all_layers,2,9,2_emotions,9_roles,0.045840,0.014000,0.021851,0.008247,0.083319,*,*
control_probe,all_layers,2,10,2_emotions,10_animacy,0.072817,0.000200,0.000402,0.036736,0.110116,***,***
control_probe,all_layers,2,11,2_emotions,11_formality,0.052312,0.016200,0.025115,0.010556,0.093966,*,*
control_probe,all_layers,2,12,2_emotions,12_expertise,0.029252,0.183600,0.219749,-0.013013,0.071743,n.s.,n.s.
control_probe,all_layers,2,13,2_emotions,13_helpfulness,-0.004769,0.802600,0.831393,-0.041031,0.032836,n.s.,n.s.
control_probe,all_layers,2,14,2_emotions,14_biological,0.054256,0.004200,0.007030,0.017404,0.092347,**,**
control_probe,all_layers,2,15,2_emotions,15_shapes,0.135588,0.000000,0.000000,0.099231,0.172630,***,***
control_probe,all_layers,2,16,2_emotions,16_human,0.069280,0.000000,0.000000,0.032101,0.107059,***,***
control_probe,all_layers,2,17,2_emotions,17_ai,0.171023,0.000000,0.000000,0.139029,0.204948,***,***
control_probe,all_layers,2,18,2_emotions,18_attention,0.102832,0.000000,0.000000,0.066822,0.139187,***,***
control_probe,all_layers,2,20,2_emotions,20_sysprompt_talkto_human,-0.246215,0.000000,0.000000,-0.279960,-0.211529,***,***
control_probe,all_layers,2,21,2_emotions,21_sysprompt_talkto_ai,-0.011059,0.651600,0.690457,-0.060404,0.039206,n.s.,n.s.
control_probe,all_layers,2,22,2_emotions,22_sysprompt_bare_human,-0.318387,0.000000,0.000000,-0.353529,-0.283109,***,***
control_probe,all_layers,2,23,2_emotions,23_sysprompt_bare_ai,-0.052711,0.149000,0.184059,-0.121662,0.018928,n.s.,n.s.
control_probe,all_layers,3,4,3_agency,4_intentions,-0.061676,0.002400,0.004200,-0.101368,-0.022263,**,**
control_probe,all_layers,3,5,3_agency,5_prediction,0.019160,0.280600,0.324093,-0.016244,0.054866,n.s.,n.s.
control_probe,all_layers,3,6,3_agency,6_cognitive,0.010287,0.604400,0.652413,-0.028374,0.049481,n.s.,n.s.
control_probe,all_layers,3,7,3_agency,7_social,-0.083264,0.000000,0.000000,-0.121335,-0.044271,***,***
control_probe,all_layers,3,8,3_agency,8_embodiment,0.075056,0.000000,0.000000,0.038483,0.112972,***,***
control_probe,all_layers,3,9,3_agency,9_roles,0.019958,0.272800,0.318267,-0.014886,0.055246,n.s.,n.s.
