probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,0,Baseline,Control,1,Phenomenology,Mental,6.412694581830576e-05,-1.525955328129236e-05,0.00016217323382680625,0.06,0.94,0.12,0.26608695652173914,False,n.s.
metacognitive,0,Baseline,Control,2,Emotions,Mental,7.055104981681582e-05,-1.1031258152651401e-05,0.00016557692161286294,0.056,0.944,0.112,0.25576119402985076,False,n.s.
metacognitive,0,Baseline,Control,3,Agency,Mental,4.604205051826317e-05,-3.457648166071971e-05,0.00014147693122914604,0.166,0.834,0.332,0.5403829787234042,False,n.s.
metacognitive,0,Baseline,Control,4,Intentions,Mental,1.7123797084840608e-05,-7.595981948026947e-05,0.0001189724972655648,0.374,0.626,0.748,0.8540597014925373,False,n.s.
metacognitive,0,Baseline,Control,5,Prediction,Mental,-1.9059832277497657e-05,-0.00017307162820358305,0.00012454073722509187,0.609,0.391,0.782,0.87975,False,n.s.
metacognitive,0,Baseline,Control,6,Cognitive,Mental,-7.597218372123215e-05,-0.0001679290289061036,3.0342772000051364e-05,0.923,0.077,0.154,0.32276712328767126,False,n.s.
metacognitive,0,Baseline,Control,7,Social,Mental,-0.00015953345535517954,-0.0002818374671094489,-4.036789805544417e-05,0.992,0.008,0.016,0.0544,False,n.s.
metacognitive,0,Baseline,Control,8,Embodiment,Physical,6.879194640319827e-05,-9.853346504547766e-06,0.00015782827400123207,0.051,0.949,0.102,0.24384375,False,n.s.
metacognitive,0,Baseline,Control,9,Roles,Physical,3.524633575283256e-05,-4.9636645157562035e-05,0.00012322459808646237,0.213,0.787,0.426,0.6091401869158878,False,n.s.
metacognitive,0,Baseline,Control,10,Animacy,Physical,1.6129938297191935e-05,-6.676429156564421e-05,0.00012546855408854105,0.404,0.596,0.808,0.9023649635036497,False,n.s.
metacognitive,0,Baseline,Control,11,Formality,Pragmatic,9.04715752010175e-06,-0.00011402145447629888,0.00012474591195516592,0.44,0.56,0.88,0.9369931034482759,False,n.s.
metacognitive,0,Baseline,Control,12,Expertise,Pragmatic,-1.0526978050812552e-05,-0.00011308871670386643,9.386703538540714e-05,0.585,0.415,0.83,0.9135971223021583,False,n.s.
metacognitive,0,Baseline,Control,13,Helpfulness,Pragmatic,-2.025966752270919e-05,-0.00014271933433897607,9.56245531932566e-05,0.61,0.39,0.78,0.87975,False,n.s.
metacognitive,0,Baseline,Control,14,Biological,Control,4.6127948717837425e-05,-2.59057323742275e-05,0.00013703071523759583,0.14,0.86,0.28,0.4813483146067416,False,n.s.
metacognitive,0,Baseline,Control,15,Shapes,Control,5.2645782948898736e-05,-6.91861927668785e-05,0.00017222320334716427,0.193,0.807,0.386,0.579,False,n.s.
metacognitive,0,Baseline,Control,17,Attention,Mental,-7.295164625601643e-05,-0.0001711433379767119,4.226321260954065e-05,0.9,0.1,0.2,0.38734177215189874,False,n.s.
metacognitive,0,Baseline,Control,18,SysPrompt (labeled),SysPrompt,-0.00031464450636037853,-0.0004376697194581413,-0.0001858136286577631,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,2,Emotions,Mental,6.424103998510048e-06,-4.7671687613508414e-05,6.113111034843369e-05,0.422,0.578,0.844,0.9223714285714286,False,n.s.
metacognitive,1,Phenomenology,Mental,3,Agency,Mental,-1.808489530004259e-05,-9.05124957526481e-05,4.72263781227238e-05,0.69,0.31,0.62,0.771219512195122,False,n.s.
metacognitive,1,Phenomenology,Mental,4,Intentions,Mental,-4.700314873346516e-05,-0.00012031977373999838,3.071509819567596e-05,0.873,0.127,0.254,0.4466896551724138,False,n.s.
metacognitive,1,Phenomenology,Mental,5,Prediction,Mental,-8.318677809580342e-05,-0.00020405992783684282,1.1455375200318392e-05,0.958,0.042,0.084,0.21783050847457627,False,n.s.
metacognitive,1,Phenomenology,Mental,6,Cognitive,Mental,-0.00014009912953953792,-0.00020435367890002878,-8.132407474890543e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,7,Social,Mental,-0.00022366040117348528,-0.0003345832336602448,-0.0001263121418631858,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,8,Embodiment,Physical,4.665000584892505e-06,-4.085798028992855e-05,5.386816806039065e-05,0.44,0.56,0.88,0.9369931034482759,False,n.s.
metacognitive,1,Phenomenology,Mental,9,Roles,Physical,-2.8880610065473204e-05,-8.928532339188915e-05,2.7130195810532854e-05,0.83,0.17,0.34,0.5457525773195876,False,n.s.
metacognitive,1,Phenomenology,Mental,10,Animacy,Physical,-4.7997007521113826e-05,-9.798634447541649e-05,9.513123465158224e-06,0.954,0.046,0.092,0.2282857142857143,False,n.s.
metacognitive,1,Phenomenology,Mental,11,Formality,Pragmatic,-5.507978829820402e-05,-0.00015177820960021068,3.789588883736965e-05,0.866,0.134,0.268,0.4659545454545455,False,n.s.
metacognitive,1,Phenomenology,Mental,12,Expertise,Pragmatic,-7.465392386911831e-05,-0.00014018496757764532,-1.2798943662288817e-05,0.992,0.008,0.016,0.0544,False,n.s.
metacognitive,1,Phenomenology,Mental,13,Helpfulness,Pragmatic,-8.438661334101497e-05,-0.00019654028354197336,2.2710774487461717e-05,0.921,0.079,0.158,0.3266756756756757,False,n.s.
metacognitive,1,Phenomenology,Mental,14,Biological,Control,-1.7998997100468347e-05,-6.80165249673254e-05,3.2761256936258565e-05,0.767,0.233,0.466,0.625421052631579,False,n.s.
metacognitive,1,Phenomenology,Mental,15,Shapes,Control,-1.1481162869407028e-05,-0.00010700185406852395,8.976270870436311e-05,0.59,0.41,0.82,0.9091304347826087,False,n.s.
metacognitive,1,Phenomenology,Mental,17,Attention,Mental,-0.00013707859207432222,-0.0002141558599004013,-6.882832312242823e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,18,SysPrompt (labeled),SysPrompt,-0.00037877145217868433,-0.0004905982093043369,-0.0002851942273896528,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,3,Agency,Mental,-2.4508999298552645e-05,-8.899452929093374e-05,3.012950638216005e-05,0.799,0.201,0.402,0.5971456310679611,False,n.s.
metacognitive,2,Emotions,Mental,4,Intentions,Mental,-5.342725273197521e-05,-0.00012141792488095448,1.007182367403399e-05,0.945,0.055,0.11,0.255,False,n.s.
