probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,1,Phenomenology,Mental,2,Emotions,Mental,6.439005543004734e-06,-1.3931038221755128e-05,2.7469799414481464e-05,0.264,0.736,0.528,0.567293023255814,False,n.s.
metacognitive,1,Phenomenology,Mental,3,Agency,Mental,7.990237144957901e-06,-1.8217275148852123e-05,3.4609229189413365e-05,0.29,0.71,0.58,0.6145871559633027,False,n.s.
metacognitive,1,Phenomenology,Mental,4,Intentions,Mental,1.7913191820894458e-05,-9.153803175602437e-07,3.728448872925512e-05,0.029,0.971,0.058,0.07975000000000002,False,n.s.
metacognitive,1,Phenomenology,Mental,5,Prediction,Mental,-6.484400823458905e-08,-3.3124875695558035e-05,2.7110362364089218e-05,0.478,0.522,0.956,0.956,False,n.s.
metacognitive,1,Phenomenology,Mental,6,Cognitive,Mental,5.0710975430280114e-05,2.51424268899503e-05,7.849434922396731e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,7,Social,Mental,8.293366580578315e-05,6.43512409541401e-05,0.00010201850749923441,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,8,Embodiment,Physical,-9.519039034092968e-06,-3.758976395870497e-05,1.6449235939378225e-05,0.749,0.251,0.502,0.5418785046728972,False,n.s.
metacognitive,1,Phenomenology,Mental,9,Roles,Physical,4.0712046424354594e-05,1.530382531728954e-05,6.38759994964051e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,10,Animacy,Physical,-2.2690118756248502e-05,-4.6593211488986994e-05,-1.8624790794316378e-06,0.981,0.019,0.038,0.05385276073619632,False,n.s.
metacognitive,1,Phenomenology,Mental,11,Formality,Pragmatic,6.212577722182366e-05,3.770491088309067e-05,8.507889311637105e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,12,Expertise,Pragmatic,7.49507895127944e-05,5.451287119638615e-05,9.424512619726103e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,13,Helpfulness,Pragmatic,7.388833020575569e-05,5.1957798712634074e-05,9.530334437094617e-05,0.0,1.0,0.0,0.0,True,***
