probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,1,Phenomenology,Mental,2,Emotions,Mental,-9.804351614573354e-06,-1.8315808708911764e-05,-7.885489412793834e-07,0.983,0.017,0.034,0.04878260869565218,True,*
metacognitive,1,Phenomenology,Mental,3,Agency,Mental,-7.724785422624192e-06,-1.915001189745025e-05,3.032540205174603e-06,0.929,0.071,0.142,0.17924590163934426,False,n.s.
metacognitive,1,Phenomenology,Mental,4,Intentions,Mental,1.2787196162605418e-08,-1.0539136367394998e-05,1.074532103988989e-05,0.501,0.499,0.998,0.998,False,n.s.
metacognitive,1,Phenomenology,Mental,5,Prediction,Mental,-4.726686406224535e-06,-1.659791317225348e-05,6.669316473280817e-06,0.783,0.217,0.434,0.50127,False,n.s.
metacognitive,1,Phenomenology,Mental,6,Cognitive,Mental,1.788933650366547e-05,6.789691931215234e-06,2.9217562128857407e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,7,Social,Mental,1.175767835421915e-05,-7.601795598731018e-07,2.3304956161116225e-05,0.036,0.964,0.072,0.09449999999999999,False,n.s.
metacognitive,1,Phenomenology,Mental,8,Embodiment,Physical,-4.698664098698897e-06,-1.8507944866538496e-05,8.155649401207636e-06,0.753,0.247,0.494,0.5539514563106797,False,n.s.
metacognitive,1,Phenomenology,Mental,9,Roles,Physical,1.0364835862371293e-05,-2.1198534969575404e-06,2.1950683167410638e-05,0.046,0.954,0.092,0.11939325842696628,False,n.s.
metacognitive,1,Phenomenology,Mental,10,Animacy,Physical,8.412877642311956e-06,-3.0593999107808972e-06,2.068841712119645e-05,0.093,0.907,0.186,0.22733333333333333,False,n.s.
metacognitive,1,Phenomenology,Mental,11,Formality,Pragmatic,3.0174823049837888e-05,1.7994392441542066e-05,4.101809480532198e-05,0.0,1.0,0.0,0.0,True,***
