probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,0,Baseline,Control,1,Phenomenology,Mental,-4.1525221064491995e-05,-0.00035152970505685004,0.0004346780340092638,0.629,0.371,0.742,0.8768955223880598,False,n.s.
metacognitive,0,Baseline,Control,2,Emotions,Mental,-0.00014760740227085761,-0.0004879519573983511,0.0003521970659405688,0.782,0.218,0.436,0.6569999999999999,False,n.s.
metacognitive,0,Baseline,Control,3,Agency,Mental,-0.0002439048870435031,-0.0006542362486857405,0.0003187082088555107,0.847,0.153,0.306,0.5746829268292684,False,n.s.
metacognitive,0,Baseline,Control,4,Intentions,Mental,-0.0003840086104100778,-0.0007766505650214984,0.00016355788367400232,0.921,0.079,0.158,0.3899032258064516,False,n.s.
metacognitive,0,Baseline,Control,5,Prediction,Mental,-0.0002473345954875764,-0.0007659300762905145,0.000286513693253289,0.823,0.177,0.354,0.6018,False,n.s.
metacognitive,0,Baseline,Control,6,Cognitive,Mental,-0.0004078492342753489,-0.0007732813579322121,8.045636457083221e-05,0.955,0.045,0.09,0.2929787234042553,False,n.s.
metacognitive,0,Baseline,Control,7,Social,Mental,-0.00048054292741345217,-0.001105791550587059,0.00015015893821540026,0.93,0.07,0.14,0.3825,False,n.s.
metacognitive,0,Baseline,Control,8,Embodiment,Physical,6.366031997386831e-05,-0.0002048086965959467,0.0005336756239412933,0.406,0.594,0.812,0.9068321167883212,False,n.s.
metacognitive,0,Baseline,Control,9,Roles,Physical,-4.137273793487741e-05,-0.0005412722439597585,0.0004981233169939139,0.57,0.43,0.86,0.9117123287671232,False,n.s.
metacognitive,0,Baseline,Control,10,Animacy,Physical,-9.6559971535854e-05,-0.00041103970279192175,0.0003506606022782047,0.733,0.267,0.534,0.7376785714285715,False,n.s.
metacognitive,0,Baseline,Control,11,Formality,Pragmatic,-6.363366698641954e-05,-0.00037632662951043387,0.0004593000689963223,0.661,0.339,0.678,0.829872,False,n.s.
metacognitive,0,Baseline,Control,12,Expertise,Pragmatic,-0.000221937383061153,-0.0005288443650175363,0.00019858845281856712,0.889,0.111,0.222,0.4995,False,n.s.
metacognitive,0,Baseline,Control,13,Helpfulness,Pragmatic,-0.00016118465213816447,-0.0005712669414459777,0.00032800559663907395,0.775,0.225,0.45,0.6684466019417477,False,n.s.
metacognitive,0,Baseline,Control,14,Biological,Control,0.00010467873018785625,-0.0001477087499899487,0.0005563967923603826,0.326,0.674,0.652,0.8110243902439025,False,n.s.
metacognitive,0,Baseline,Control,15,Shapes,Control,-0.00019549429063767836,-0.0005962444509072717,0.00028664723021708754,0.83,0.17,0.34,0.5979310344827586,False,n.s.
metacognitive,0,Baseline,Control,17,Attention,Mental,-0.0005017532182191563,-0.0008609780007035852,4.1096178687378514e-05,0.968,0.032,0.064,0.2348372093023256,False,n.s.
metacognitive,0,Baseline,Control,18,SysPrompt (labeled),SysPrompt,-0.0005123949560165651,-0.0008327636481080767,-4.98862633890095e-05,0.98,0.02,0.04,0.20400000000000001,False,n.s.
metacognitive,1,Phenomenology,Mental,2,Emotions,Mental,-0.00010608218120636558,-0.00034523226821407595,8.381152616517048e-05,0.849,0.151,0.302,0.5746829268292684,False,n.s.
