probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,0,Baseline,Control,1,Phenomenology,Mental,4.7786732268682444e-05,-4.191683671817289e-05,0.00015856552919943907,0.164,0.836,0.328,0.6603157894736843,False,n.s.
metacognitive,0,Baseline,Control,2,Emotions,Mental,8.409931743699769e-05,-7.201771523832907e-06,0.0001966849491833803,0.037,0.963,0.074,0.3216923076923077,False,n.s.
metacognitive,0,Baseline,Control,3,Agency,Mental,3.891412519215133e-05,-6.316726443688552e-05,0.00015591662552354578,0.231,0.769,0.462,0.8092,False,n.s.
metacognitive,0,Baseline,Control,4,Intentions,Mental,3.81594302719016e-05,-5.410464561926007e-05,0.00015652689357449292,0.238,0.762,0.476,0.8092,False,n.s.
metacognitive,0,Baseline,Control,5,Prediction,Mental,-1.8481213548264966e-05,-0.0001197109439227838,0.00010055233558074097,0.652,0.348,0.696,0.9101538461538462,False,n.s.
metacognitive,0,Baseline,Control,6,Cognitive,Mental,1.5054359094055156e-05,-7.909956823768956e-05,0.00013639102356843475,0.417,0.583,0.834,0.9335217391304347,False,n.s.
metacognitive,0,Baseline,Control,7,Social,Mental,-1.6974099364837627e-05,-0.00012075067426505524,0.000109580970048997,0.626,0.374,0.748,0.9111492537313434,False,n.s.
metacognitive,0,Baseline,Control,8,Embodiment,Physical,3.399298507614855e-05,-6.859939584496801e-05,0.00015112988820290715,0.281,0.719,0.562,0.8579999999999999,False,n.s.
metacognitive,0,Baseline,Control,9,Roles,Physical,3.16791673848829e-05,-7.425786053554276e-05,0.00014968929099717676,0.284,0.716,0.568,0.8579999999999999,False,n.s.
metacognitive,0,Baseline,Control,10,Animacy,Physical,1.1211614682406288e-07,-0.00010297372100308566,0.00012551877570476727,0.531,0.469,0.938,0.9631812080536911,False,n.s.
metacognitive,0,Baseline,Control,11,Formality,Pragmatic,-2.5839292199870787e-05,-0.00013151654352754896,9.763237951984913e-05,0.691,0.309,0.618,0.8920188679245283,False,n.s.
metacognitive,0,Baseline,Control,12,Expertise,Pragmatic,1.7481720002647978e-05,-7.48476287724299e-05,0.00013557252673424662,0.399,0.601,0.798,0.9111492537313434,False,n.s.
metacognitive,0,Baseline,Control,13,Helpfulness,Pragmatic,-8.112659030594038e-06,-0.00010985295605558108,0.00011141123828253184,0.581,0.419,0.838,0.9335217391304347,False,n.s.
metacognitive,0,Baseline,Control,14,Biological,Control,4.0864670847341437e-05,-4.821778607980666e-05,0.00015269033248268684,0.205,0.795,0.41,0.7557831325301204,False,n.s.
metacognitive,0,Baseline,Control,15,Shapes,Control,5.778083012710302e-06,-0.00010083673402878356,0.00013267803315572858,0.476,0.524,0.952,0.966,False,n.s.
metacognitive,0,Baseline,Control,17,Attention,Mental,-1.0953742635904657e-05,-0.00010400054072624081,0.00010638906210128386,0.62,0.38,0.76,0.9111492537313434,False,n.s.
metacognitive,0,Baseline,Control,18,SysPrompt (labeled),SysPrompt,5.112328047439086e-05,-4.051359109542391e-05,0.00016198444335600523,0.149,0.851,0.298,0.62016,False,n.s.
metacognitive,1,Phenomenology,Mental,2,Emotions,Mental,3.631258516831525e-05,-5.037545127472082e-06,7.648409194767648e-05,0.039,0.961,0.078,0.3216923076923077,False,n.s.
metacognitive,1,Phenomenology,Mental,3,Agency,Mental,-8.872607076531112e-06,-6.78985983103704e-05,4.715361423338638e-05,0.602,0.398,0.796,0.9111492537313434,False,n.s.
metacognitive,1,Phenomenology,Mental,4,Intentions,Mental,-9.627301996780845e-06,-5.2253379432234245e-05,3.5356111451684685e-05,0.671,0.329,0.658,0.9069729729729731,False,n.s.
metacognitive,1,Phenomenology,Mental,5,Prediction,Mental,-6.626794581694742e-05,-0.00011575564284328259,-1.225881925812816e-05,0.991,0.009,0.018,0.1836,False,n.s.
metacognitive,1,Phenomenology,Mental,6,Cognitive,Mental,-3.2732373174627285e-05,-7.87386196245708e-05,1.1315997117595905e-05,0.927,0.073,0.146,0.44675999999999993,False,n.s.
metacognitive,1,Phenomenology,Mental,7,Social,Mental,-6.476083163352007e-05,-0.0001317856728467621,6.693980345276624e-07,0.973,0.027,0.054,0.3173333333333333,False,n.s.
metacognitive,1,Phenomenology,Mental,8,Embodiment,Physical,-1.3793747192533894e-05,-6.548444685679194e-05,3.695715724006884e-05,0.695,0.305,0.61,0.8920188679245283,False,n.s.
metacognitive,1,Phenomenology,Mental,9,Roles,Physical,-1.6107564883799537e-05,-6.954540814814127e-05,3.8947607791451545e-05,0.724,0.276,0.552,0.8579999999999999,False,n.s.
metacognitive,1,Phenomenology,Mental,10,Animacy,Physical,-4.767461612185838e-05,-0.00011679844374923543,1.741103917382759e-05,0.919,0.081,0.162,0.4480714285714286,False,n.s.
metacognitive,1,Phenomenology,Mental,11,Formality,Pragmatic,-7.362602446855323e-05,-0.00015412647562927092,2.152087949832759e-06,0.972,0.028,0.056,0.3173333333333333,False,n.s.
metacognitive,1,Phenomenology,Mental,12,Expertise,Pragmatic,-3.0305012266034463e-05,-8.594158425861117e-05,2.5703505938817223e-05,0.849,0.151,0.302,0.62016,False,n.s.
metacognitive,1,Phenomenology,Mental,13,Helpfulness,Pragmatic,-5.5899391299276484e-05,-0.00012629985174241148,2.0752845307954686e-05,0.92,0.08,0.16,0.4480714285714286,False,n.s.
metacognitive,1,Phenomenology,Mental,14,Biological,Control,-6.922061421341003e-06,-5.375521565385238e-05,3.984176293054091e-05,0.615,0.385,0.77,0.9111492537313434,False,n.s.
metacognitive,1,Phenomenology,Mental,15,Shapes,Control,-4.200864925597214e-05,-0.00011116375201053642,2.6278288729836208e-05,0.889,0.111,0.222,0.5661,False,n.s.
metacognitive,1,Phenomenology,Mental,17,Attention,Mental,-5.87404749045871e-05,-0.00010222613189445045,-1.4553758035133944e-05,0.994,0.006,0.012,0.153,False,n.s.
metacognitive,1,Phenomenology,Mental,18,SysPrompt (labeled),SysPrompt,3.3365482057084164e-06,-4.387425157615942e-05,5.197230632487748e-05,0.459,0.541,0.918,0.9631812080536911,False,n.s.
metacognitive,2,Emotions,Mental,3,Agency,Mental,-4.518519224484637e-05,-9.516295261632032e-05,1.9243904405324582e-06,0.965,0.035,0.07,0.3216923076923077,False,n.s.
metacognitive,2,Emotions,Mental,4,Intentions,Mental,-4.59398871650961e-05,-7.834226031692279e-05,-1.0579965654429637e-05,0.994,0.006,0.012,0.153,False,n.s.
metacognitive,2,Emotions,Mental,5,Prediction,Mental,-0.00010258053098526266,-0.0001509658252763844,-4.73778331939334e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,6,Cognitive,Mental,-6.904495834294254e-05,-0.00010641556043345349,-2.924865031575519e-05,0.999,0.001,0.002,0.0612,False,n.s.
metacognitive,2,Emotions,Mental,7,Social,Mental,-0.00010107341680183533,-0.00016288636899490974,-4.534787987930064e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,8,Embodiment,Physical,-5.010633236084915e-05,-9.96651168658189e-05,-3.1144093376823173e-06,0.982,0.018,0.036,0.28989473684210526,False,n.s.
metacognitive,2,Emotions,Mental,9,Roles,Physical,-5.24201500521148e-05,-9.748755510871526e-05,-1.0561111165734263e-05,0.992,0.008,0.016,0.1836,False,n.s.
metacognitive,2,Emotions,Mental,10,Animacy,Physical,-8.398720129017364e-05,-0.00015246073560667902,-2.66107168948727e-05,0.997,0.003,0.006,0.13114285714285714,False,n.s.
metacognitive,2,Emotions,Mental,11,Formality,Pragmatic,-0.0001099386096368685,-0.00018171655821988655,-4.3930063119976234e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,12,Expertise,Pragmatic,-6.661759743434973e-05,-0.00011066473359939396,-1.8622073936955444e-05,0.996,0.004,0.008,0.153,False,n.s.
metacognitive,2,Emotions,Mental,13,Helpfulness,Pragmatic,-9.221197646759175e-05,-0.00015743273700139505,-2.425167220029221e-05,0.997,0.003,0.006,0.13114285714285714,False,n.s.
metacognitive,2,Emotions,Mental,14,Biological,Control,-4.3234646589656254e-05,-8.79201247826748e-05,-2.4279956379996637e-06,0.978,0.022,0.044,0.3173333333333333,False,n.s.
metacognitive,2,Emotions,Mental,15,Shapes,Control,-7.832123442428741e-05,-0.0001378974324877154,-2.0930135173224354e-05,0.994,0.006,0.012,0.153,False,n.s.
metacognitive,2,Emotions,Mental,17,Attention,Mental,-9.505306007290235e-05,-0.00013299451348382875,-5.806280044548087e-05,1.0,0.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,18,SysPrompt (labeled),SysPrompt,-3.297603696260684e-05,-7.019138895814712e-05,5.74179206475054e-06,0.954,0.046,0.092,0.34331707317073173,False,n.s.
metacognitive,3,Agency,Mental,4,Intentions,Mental,-7.54694920249732e-07,-5.335515833822537e-05,5.5511330212780145e-05,0.52,0.48,0.96,0.966,False,n.s.
metacognitive,3,Agency,Mental,5,Prediction,Mental,-5.73953387404163e-05,-0.0001131853074472694,5.814703090718491e-06,0.96,0.04,0.08,0.3216923076923077,False,n.s.
metacognitive,3,Agency,Mental,6,Cognitive,Mental,-2.3859766098096175e-05,-8.015536974064783e-05,3.28358601555758e-05,0.783,0.217,0.434,0.7812,False,n.s.
metacognitive,3,Agency,Mental,7,Social,Mental,-5.588822455698896e-05,-0.00011839580928666713,1.5060743942036146e-05,0.946,0.054,0.108,0.38427906976744186,False,n.s.
metacognitive,3,Agency,Mental,8,Embodiment,Physical,-4.9211401160027796e-06,-6.0757247343381536e-05,5.647379527147431e-05,0.581,0.419,0.838,0.9335217391304347,False,n.s.
metacognitive,3,Agency,Mental,9,Roles,Physical,-7.234957807268427e-06,-6.202032331033359e-05,4.9835692134884196e-05,0.605,0.395,0.79,0.9111492537313434,False,n.s.
metacognitive,3,Agency,Mental,10,Animacy,Physical,-3.880200904532727e-05,-0.00011475385036557576,3.746425616009475e-05,0.848,0.152,0.304,0.62016,False,n.s.
metacognitive,3,Agency,Mental,11,Formality,Pragmatic,-6.475341739202212e-05,-0.0001427413726359082,1.1531754444587382e-05,0.955,0.045,0.09,0.34331707317073173,False,n.s.
metacognitive,3,Agency,Mental,12,Expertise,Pragmatic,-2.1432405189503353e-05,-8.200336622422456e-05,4.059532777194172e-05,0.742,0.258,0.516,0.8579999999999999,False,n.s.
metacognitive,3,Agency,Mental,13,Helpfulness,Pragmatic,-4.7026784222745363e-05,-0.00011674436201877771,2.8315983329362824e-05,0.887,0.113,0.226,0.5668524590163935,False,n.s.
metacognitive,3,Agency,Mental,14,Biological,Control,1.95054565519011e-06,-5.6281995141470176e-05,5.6767295982770655e-05,0.467,0.533,0.934,0.9631812080536911,False,n.s.
metacognitive,3,Agency,Mental,15,Shapes,Control,-3.313604217944103e-05,-0.0001085153971606317,4.540236151272876e-05,0.8,0.2,0.4,0.7463414634146341,False,n.s.
metacognitive,3,Agency,Mental,17,Attention,Mental,-4.9867867828055994e-05,-0.00010114726721783961,-1.3599459235917392e-07,0.975,0.025,0.05,0.3173333333333333,False,n.s.
metacognitive,3,Agency,Mental,18,SysPrompt (labeled),SysPrompt,1.220915528223953e-05,-4.33605733056227e-05,7.082157489536682e-05,0.345,0.655,0.69,0.9101538461538462,False,n.s.
metacognitive,4,Intentions,Mental,5,Prediction,Mental,-5.6640643820166565e-05,-0.00011133190065497791,1.0098817639907637e-06,0.973,0.027,0.054,0.3173333333333333,False,n.s.
metacognitive,4,Intentions,Mental,6,Cognitive,Mental,-2.3105071177846443e-05,-6.131626685958874e-05,1.2774359024248267e-05,0.867,0.133,0.266,0.5898260869565217,False,n.s.
metacognitive,4,Intentions,Mental,7,Social,Mental,-5.513352963673923e-05,-0.00011942698523537812,-3.4909352225415655e-07,0.975,0.025,0.05,0.3173333333333333,False,n.s.
metacognitive,4,Intentions,Mental,8,Embodiment,Physical,-4.166445195753047e-06,-5.739936347534209e-05,4.6547118632158974e-05,0.559,0.441,0.882,0.9456250000000002,False,n.s.
metacognitive,4,Intentions,Mental,9,Roles,Physical,-6.480262887018695e-06,-6.242266968035795e-05,4.578098169126917e-05,0.601,0.399,0.798,0.9111492537313434,False,n.s.
metacognitive,4,Intentions,Mental,10,Animacy,Physical,-3.8047314125077536e-05,-0.00011450049589479222,2.1034375591583482e-05,0.871,0.129,0.258,0.5898260869565217,False,n.s.
metacognitive,4,Intentions,Mental,11,Formality,Pragmatic,-6.399872247177238e-05,-0.00014044151026425218,8.879308902909302e-06,0.962,0.038,0.076,0.3216923076923077,False,n.s.
metacognitive,4,Intentions,Mental,12,Expertise,Pragmatic,-2.067771026925362e-05,-6.905297667086155e-05,2.4728547837993395e-05,0.812,0.188,0.376,0.7191,False,n.s.
metacognitive,4,Intentions,Mental,13,Helpfulness,Pragmatic,-4.6272089302495635e-05,-0.00011186476903490035,1.7306523911178346e-05,0.924,0.076,0.152,0.4472307692307692,False,n.s.
metacognitive,4,Intentions,Mental,14,Biological,Control,2.705240575439843e-06,-4.460292489761687e-05,4.788591107727401e-05,0.445,0.555,0.89,0.9456250000000002,False,n.s.
metacognitive,4,Intentions,Mental,15,Shapes,Control,-3.23813472591913e-05,-9.355147355486271e-05,2.5847297518386685e-05,0.867,0.133,0.266,0.5898260869565217,False,n.s.
metacognitive,4,Intentions,Mental,17,Attention,Mental,-4.911317290780626e-05,-8.773474019631255e-05,-8.839994517710832e-06,0.99,0.01,0.02,0.19125,False,n.s.
metacognitive,4,Intentions,Mental,18,SysPrompt (labeled),SysPrompt,1.296385020248926e-05,-2.9044439866956764e-05,5.3887670364613904e-05,0.263,0.737,0.526,0.8579999999999999,False,n.s.
metacognitive,5,Prediction,Mental,6,Cognitive,Mental,3.353557264232012e-05,-2.5656305713901032e-05,8.463854860404935e-05,0.111,0.889,0.222,0.5661,False,n.s.
metacognitive,5,Prediction,Mental,7,Social,Mental,1.5071141834273375e-06,-5.522474828872142e-05,5.70954264940252e-05,0.483,0.517,0.966,0.966,False,n.s.
metacognitive,5,Prediction,Mental,8,Embodiment,Physical,5.247419862441351e-05,-4.838838846437827e-06,0.00010938595880141058,0.035,0.965,0.07,0.3216923076923077,False,n.s.
metacognitive,5,Prediction,Mental,9,Roles,Physical,5.016038093314787e-05,-3.578593864870777e-06,0.00010635908909824217,0.034,0.966,0.068,0.3216923076923077,False,n.s.
metacognitive,5,Prediction,Mental,10,Animacy,Physical,1.8593329695089026e-05,-5.389714557419658e-05,8.596098650192596e-05,0.307,0.693,0.614,0.8920188679245283,False,n.s.
