dim_name,dim_id,probe_type,layer,cosine,abs_cosine,r_squared
8_embodiment,8,reading,6,0.028329377993941307,0.028329377993941307,0.000802553657523606
8_embodiment,8,reading,7,0.01639406941831112,0.01639406941831112,0.0002687655120924039
8_embodiment,8,reading,8,0.020488319918513298,0.020488319918513298,0.00041977125308334876
8_embodiment,8,reading,9,0.007673808839172125,0.007673808839172125,5.8887342100156235e-05
8_embodiment,8,reading,10,-0.003658134723082185,0.003658134723082185,1.3381949652219573e-05
8_embodiment,8,reading,11,0.00618878984823823,0.00618878984823823,3.830111978565657e-05
8_embodiment,8,reading,12,-0.03084276057779789,0.03084276057779789,0.0009512758800593636
8_embodiment,8,reading,13,0.008780005387961864,0.008780005387961864,7.708849461263937e-05
8_embodiment,8,reading,14,0.006622720509767532,0.006622720509767532,4.3860426950495524e-05
8_embodiment,8,reading,15,0.0073675354942679405,0.0073675354942679405,5.428057925929795e-05
8_embodiment,8,reading,16,-0.014070423319935799,0.014070423319935799,0.00019797681240219314
8_embodiment,8,reading,17,-0.017349980771541595,0.017349980771541595,0.0003010218327728631
8_embodiment,8,reading,18,-0.005790087394416332,0.005790087394416332,3.352511203497891e-05
8_embodiment,8,reading,19,-0.0019264037255197763,0.0019264037255197763,3.711031313696474e-06
8_embodiment,8,reading,20,0.00864640437066555,0.00864640437066555,7.476030854106433e-05
8_embodiment,8,reading,21,0.010496226139366627,0.010496226139366627,0.00011017076316872324
8_embodiment,8,reading,22,0.006671639159321785,0.006671639159321785,4.4510769072195894e-05
8_embodiment,8,reading,23,-0.0040792254731059074,0.0040792254731059074,1.6640080460436114e-05
8_embodiment,8,reading,24,0.014376401901245117,0.014376401901245117,0.00020668093162612422
8_embodiment,8,reading,25,-0.010350498370826244,0.010350498370826244,0.00010713281652447674
8_embodiment,8,reading,26,-0.0022693248465657234,0.0022693248465657234,5.149835259240544e-06
8_embodiment,8,reading,27,0.022509703412652016,0.022509703412652016,0.0005066867477255578
8_embodiment,8,reading,28,0.015658272430300713,0.015658272430300713,0.0002451814955015154
8_embodiment,8,reading,29,-0.017038147896528244,0.017038147896528244,0.0002902984837439698
8_embodiment,8,reading,30,-0.005687353201210499,0.005687353201210499,3.234598643531931e-05
8_embodiment,8,reading,31,0.0277921911329031,0.0277921911329031,0.0007724058879678176
8_embodiment,8,reading,32,-0.014222587458789349,0.014222587458789349,0.00020228199402291206
8_embodiment,8,reading,33,-0.008547625504434109,0.008547625504434109,7.306190176405245e-05
8_embodiment,8,reading,34,0.013017394579946995,0.013017394579946995,0.0001694525616500334
