dim_name,dim_id,probe_type,layer,cosine,abs_cosine,r_squared
0_baseline,0,reading,6,0.04635709524154663,0.04635709524154663,0.0021489802792338253
0_baseline,0,reading,7,0.005246568005532026,0.005246568005532026,2.7526475836672304e-05
0_baseline,0,reading,8,0.027808140963315964,0.027808140963315964,0.0007732927038356513
0_baseline,0,reading,9,-0.03354111313819885,0.03354111313819885,0.0011250062705494557
0_baseline,0,reading,10,0.0018418735126033425,0.0018418735126033425,3.3924980364297754e-06
0_baseline,0,reading,11,-0.0028696865774691105,0.0028696865774691105,8.235101052906377e-06
0_baseline,0,reading,12,6.152243440737948e-05,6.152243440737948e-05,3.78500993541031e-09
0_baseline,0,reading,13,0.003061014460399747,0.003061014460399747,9.369809526776354e-06
0_baseline,0,reading,14,0.017528917640447617,0.017528917640447617,0.00030726295364559564
0_baseline,0,reading,15,0.00786326453089714,0.00786326453089714,6.183092908286503e-05
0_baseline,0,reading,16,0.028970682993531227,0.028970682993531227,0.0008393004731116795
0_baseline,0,reading,17,0.007672739680856466,0.007672739680856466,5.887093421018939e-05
0_baseline,0,reading,18,-0.003020131029188633,0.003020131029188633,9.121191433467991e-06
0_baseline,0,reading,19,0.00405592517927289,0.00405592517927289,1.6450529059859826e-05
0_baseline,0,reading,20,0.014787768945097923,0.014787768945097923,0.00021867811037360255
0_baseline,0,reading,21,0.0069448151625692844,0.0069448151625692844,4.823045764225224e-05
0_baseline,0,reading,22,0.011682412587106228,0.011682412587106228,0.00013647876385537803
0_baseline,0,reading,23,0.0074063194915652275,0.0074063194915652275,5.485356841113901e-05
0_baseline,0,reading,24,0.012301898561418056,0.012301898561418056,0.00015133670821541965
0_baseline,0,reading,25,0.007421297486871481,0.007421297486871481,5.507565638864496e-05
0_baseline,0,reading,26,-0.004297238774597645,0.004297238774597645,1.8466261085905468e-05
0_baseline,0,reading,27,-0.01846965402364731,0.01846965402364731,0.0003411281197532312
0_baseline,0,reading,28,0.02354128658771515,0.02354128658771515,0.0005541921742049372
0_baseline,0,reading,29,0.006106685381382704,0.006106685381382704,3.729160634719322e-05
0_baseline,0,reading,30,0.010995917953550816,0.010995917953550816,0.00012091021164122116
0_baseline,0,reading,31,0.011335130780935287,0.011335130780935287,0.00012848518982090662
0_baseline,0,reading,32,-0.012125561013817787,0.012125561013817787,0.00014702922989981784
0_baseline,0,reading,33,-0.019564969465136528,0.019564969465136528,0.0003827880301717247
0_baseline,0,reading,34,0.003516026074066758,0.003516026074066758,1.23624393535173e-05
0_baseline,0,reading,35,0.0037529380060732365,0.0037529380060732365,1.408454367742896e-05
0_baseline,0,reading,36,0.0011921407422050834,0.0011921407422050834,1.421199549225287e-06
0_baseline,0,reading,37,0.005361185409128666,0.005361185409128666,2.87423089910541e-05
0_baseline,0,reading,38,-0.009425582364201546,0.009425582364201546,8.88416029043472e-05
0_baseline,0,reading,39,0.003474359167739749,0.003474359167739749,1.2071171626457241e-05
0_baseline,0,reading,40,0.0007306868792511523,0.0007306868792511523,5.33903315509788e-07
0_baseline,0,control,6,0.20538093149662018,0.20538093149662018,0.04218132702241939
0_baseline,0,control,7,0.004001431167125702,0.004001431167125702,1.6011451385244957e-05
0_baseline,0,control,8,0.07645153999328613,0.07645153999328613,0.005844837967345029
0_baseline,0,control,9,-0.030327580869197845,0.030327580869197845,0.0009197621613777351
0_baseline,0,control,10,-0.12361334264278412,0.12361334264278412,0.01528025847932235
0_baseline,0,control,11,0.047173872590065,0.047173872590065,0.002225374255143686
0_baseline,0,control,12,-0.026882190257310867,0.026882190257310867,0.0007226521530302593
0_baseline,0,control,13,-0.05056667700409889,0.05056667700409889,0.0025569888232368637
0_baseline,0,control,14,0.04307858273386955,0.04307858273386955,0.001855764290358844
0_baseline,0,control,15,-0.009720958769321442,0.009720958769321442,9.449703939484744e-05
0_baseline,0,control,16,-0.03475850075483322,0.03475850075483322,0.0012081533747237416
0_baseline,0,control,17,0.003726690774783492,0.003726690774783492,1.3888224130856385e-05
0_baseline,0,control,18,-0.005232721567153931,0.005232721567153931,2.7381374999357888e-05
0_baseline,0,control,19,-0.008604636415839195,0.008604636415839195,7.403976784878599e-05
0_baseline,0,control,20,0.03146461024880409,0.03146461024880409,0.0009900216981091475
0_baseline,0,control,21,0.006817207206040621,0.006817207206040621,4.647431409009217e-05
0_baseline,0,control,22,0.04251667112112045,0.04251667112112045,0.001807667323221518
0_baseline,0,control,23,-0.0005101445131003857,0.0005101445131003857,2.6024742424642956e-07
0_baseline,0,control,24,0.01413536723703146,0.01413536723703146,0.0001998086069257424
0_baseline,0,control,25,0.010616262443363667,0.010616262443363667,0.00011270502826637389
0_baseline,0,control,26,-0.0018837188836187124,0.0018837188836187124,3.5483968325017282e-06
0_baseline,0,control,27,0.006956284865736961,0.006956284865736961,4.8389899133281095e-05
0_baseline,0,control,28,0.020046260207891464,0.020046260207891464,0.00040185254832249273
0_baseline,0,control,29,-0.01917598769068718,0.01917598769068718,0.00036771850391338623
0_baseline,0,control,30,-0.005616282112896442,0.005616282112896442,3.154262477164053e-05
0_baseline,0,control,31,-0.0025188070721924305,0.0025188070721924305,6.344389066926604e-06
0_baseline,0,control,32,-0.0025069655384868383,0.0025069655384868383,6.284876211160603e-06
0_baseline,0,control,33,-0.030933957546949387,0.030933957546949387,0.0009569097295164669
0_baseline,0,control,34,-0.005694841966032982,0.005694841966032982,3.24312250180904e-05
0_baseline,0,control,35,0.0046892911195755005,0.0046892911195755005,2.198945120412965e-05
0_baseline,0,control,36,0.010162501595914364,0.010162501595914364,0.00010327643868696199
0_baseline,0,control,37,-0.009129473008215427,0.009129473008215427,8.334727740773405e-05
0_baseline,0,control,38,0.005878336727619171,0.005878336727619171,3.4554842683276465e-05
0_baseline,0,control,39,-0.02293107472360134,0.02293107472360134,0.0005258341879793883
0_baseline,0,control,40,-0.018688615411520004,0.018688615411520004,0.000349264345999703
