dim_name,dim_id,probe_type,layer,cosine,abs_cosine,r_squared
17_attention,17,reading,6,-0.022846130654215813,0.022846130654215813,0.0005219456858694994
17_attention,17,reading,7,-0.03978889435529709,0.03978889435529709,0.0015831561140169925
17_attention,17,reading,8,-0.03174680843949318,0.03174680843949318,0.0010078598460938754
17_attention,17,reading,9,0.0037669362500309944,0.0037669362500309944,1.418980871179757e-05
17_attention,17,reading,10,-0.004673523362725973,0.004673523362725973,2.1841820621945488e-05
17_attention,17,reading,11,0.011125304736196995,0.011125304736196995,0.00012377240547324728
17_attention,17,reading,12,-0.004181460477411747,0.004181460477411747,1.7484611724156475e-05
17_attention,17,reading,13,-0.004458305891603231,0.004458305891603231,1.9876491423104084e-05
17_attention,17,reading,14,0.03991314768791199,0.03991314768791199,0.001593059358357074
17_attention,17,reading,15,0.047615040093660355,0.047615040093660355,0.002267192043120883
17_attention,17,reading,16,0.035201624035835266,0.035201624035835266,0.0012391543347602951
17_attention,17,reading,17,0.045767974108457565,0.045767974108457565,0.002094707453992442
17_attention,17,reading,18,0.030650198459625244,0.030650198459625244,0.0009394346656144137
17_attention,17,reading,19,0.015613138675689697,0.015613138675689697,0.00024377009930631743
17_attention,17,reading,20,0.041938651353120804,0.041938651353120804,0.0017588504773186214
17_attention,17,reading,21,0.057720448821783066,0.057720448821783066,0.003331650212188078
17_attention,17,reading,22,0.03939039260149002,0.03939039260149002,0.0015516030292995198
17_attention,17,reading,23,0.027271129190921783,0.027271129190921783,0.0007437144873479462
17_attention,17,reading,24,0.020224083214998245,0.020224083214998245,0.00040901354188717376
17_attention,17,reading,25,0.021863901987671852,0.021863901987671852,0.00047803021012652117
17_attention,17,reading,26,0.023014254868030548,0.023014254868030548,0.0005296559271306678
17_attention,17,reading,27,0.041356153786182404,0.041356153786182404,0.0017103314559863692
17_attention,17,reading,28,0.030526364222168922,0.030526364222168922,0.0009318589126245148
17_attention,17,reading,29,0.02517443709075451,0.02517443709075451,0.0006337522828363563
17_attention,17,reading,30,0.02016301266849041,0.02016301266849041,0.00040654707986970476
17_attention,17,reading,31,0.03267379850149155,0.03267379850149155,0.0010675771085160712
17_attention,17,reading,32,0.013603405095636845,0.013603405095636845,0.00018505263019599847
17_attention,17,reading,33,0.015431469306349754,0.015431469306349754,0.00023813024495281457
17_attention,17,reading,34,0.016560180112719536,0.016560180112719536,0.0002742395653657116
17_attention,17,reading,35,0.020844517275691032,0.020844517275691032,0.0004344939004565819
17_attention,17,reading,36,-0.024832382798194885,0.024832382798194885,0.0006166472354360852
17_attention,17,reading,37,-0.006575068458914757,0.006575068458914757,4.3231525239415675e-05
17_attention,17,reading,38,-0.009843762032687664,0.009843762032687664,9.689965095618317e-05
17_attention,17,reading,39,0.012818773277103901,0.012818773277103901,0.00016432094832979308
17_attention,17,reading,40,0.006961307488381863,0.006961307488381863,4.84598019478014e-05
17_attention,17,control,6,0.14660637080669403,0.14660637080669403,0.021493427961109868
17_attention,17,control,7,0.06098299100995064,0.06098299100995064,0.0037189251925197203
17_attention,17,control,8,0.08363442867994308,0.08363442867994308,0.006994717660620486
17_attention,17,control,9,0.05394257232546806,0.05394257232546806,0.002909801109088353
17_attention,17,control,10,0.040432244539260864,0.040432244539260864,0.00163476639848259
17_attention,17,control,11,0.032682497054338455,0.032682497054338455,0.0010681456137068418
17_attention,17,control,12,0.050329528748989105,0.050329528748989105,0.002533061464095321
17_attention,17,control,13,0.061280034482479095,0.061280034482479095,0.003755242626173827
17_attention,17,control,14,0.06373486667871475,0.06373486667871475,0.004062133230553544
17_attention,17,control,15,0.06622476130723953,0.06622476130723953,0.00438571901020085
17_attention,17,control,16,0.08252424746751785,0.08252424746751785,0.006810251420080127
17_attention,17,control,17,0.07739421725273132,0.07739421725273132,0.005989864864162975
17_attention,17,control,18,0.05772016942501068,0.05772016942501068,0.003331617958451938
17_attention,17,control,19,0.022019492462277412,0.022019492462277412,0.0004848580482962918
17_attention,17,control,20,0.04788992553949356,0.04788992553949356,0.0022934449681782376
17_attention,17,control,21,0.036232516169548035,0.036232516169548035,0.0013127952279765598
17_attention,17,control,22,0.04701760783791542,0.04701760783791542,0.0022106554468000056
17_attention,17,control,23,-0.0012567868689075112,0.0012567868689075112,1.5795132338583458e-06
17_attention,17,control,24,0.04422907531261444,0.04422907531261444,0.00195621110300892
17_attention,17,control,25,0.013400081545114517,0.013400081545114517,0.00017956218541571867
17_attention,17,control,26,0.04647449776530266,0.04647449776530266,0.0021598789425371218
17_attention,17,control,27,0.04337378963828087,0.04337378963828087,0.0018812856275858408
17_attention,17,control,28,0.006886663381010294,0.006886663381010294,4.742613252334813e-05
17_attention,17,control,29,0.03539182245731354,0.03539182245731354,0.0012525810968500029
17_attention,17,control,30,0.011089842766523361,0.011089842766523361,0.00012298461258621052
17_attention,17,control,31,0.027324024587869644,0.027324024587869644,0.0007466023196785049
17_attention,17,control,32,0.02044924721121788,0.02044924721121788,0.00041817171150550225
17_attention,17,control,33,0.02357272244989872,0.02357272244989872,0.0005556732436999591
17_attention,17,control,34,0.01488430518656969,0.01488430518656969,0.0002215425408869454
17_attention,17,control,35,0.04209316894412041,0.04209316894412041,0.0017718348717582627
17_attention,17,control,36,0.023837720975279808,0.023837720975279808,0.0005682369412952949
17_attention,17,control,37,0.0011438318761065602,0.0011438318761065602,1.3083513607974534e-06
17_attention,17,control,38,-0.0018724307883530855,0.0018724307883530855,3.5059970571725573e-06
17_attention,17,control,39,-0.0014690519310534,0.0014690519310534,2.1581135761317236e-06
17_attention,17,control,40,0.009325079619884491,0.009325079619884491,8.695710991718508e-05
