dim_name,dim_id,probe_type,layer,cosine,abs_cosine,r_squared
11_formality,11,reading,6,-0.04788965731859207,0.04788965731859207,0.002293419278092179
11_formality,11,reading,7,-0.05648060888051987,0.05648060888051987,0.0031900591795142597
11_formality,11,reading,8,-0.029960637912154198,0.029960637912154198,0.0008976398241032114
11_formality,11,reading,9,-0.021984947845339775,0.021984947845339775,0.00048333793176231
11_formality,11,reading,10,-0.01865992695093155,0.01865992695093155,0.0003481928738141016
11_formality,11,reading,11,-0.024801068007946014,0.024801068007946014,0.0006150929743347633
11_formality,11,reading,12,-0.03546695038676262,0.03546695038676262,0.001257904569737081
11_formality,11,reading,13,-0.021637070924043655,0.021637070924043655,0.00046816283817209536
11_formality,11,reading,14,-0.04146001860499382,0.04146001860499382,0.0017189331427264337
11_formality,11,reading,15,-0.041162583976984024,0.041162583976984024,0.001694358319662262
11_formality,11,reading,16,-0.0468059703707695,0.0468059703707695,0.0021907988623493524
11_formality,11,reading,17,-0.05479957535862923,0.05479957535862923,0.0030029934594860835
11_formality,11,reading,18,-0.04194461181759834,0.04194461181759834,0.0017593504605290106
11_formality,11,reading,19,-0.03472638130187988,0.03472638130187988,0.0012059215583235527
11_formality,11,reading,20,-0.04897583648562431,0.04897583648562431,0.0023986325594666097
11_formality,11,reading,21,-0.04446331784129143,0.04446331784129143,0.0019769866334557046
11_formality,11,reading,22,-0.03144460543990135,0.03144460543990135,0.0009887632112710737
11_formality,11,reading,23,-0.03488162159919739,0.03488162159919739,0.0012167275253895937
11_formality,11,reading,24,-0.03220881521701813,0.03220881521701813,0.0010374077776840185
11_formality,11,reading,25,-0.0376175194978714,0.0376175194978714,0.0014150777731727349
11_formality,11,reading,26,-0.03785467892885208,0.03785467892885208,0.0014329767168064778
11_formality,11,reading,27,-0.0426395945250988,0.0426395945250988,0.0018181350212648356
11_formality,11,reading,28,-0.055459506809711456,0.055459506809711456,0.0030757568955764314
11_formality,11,reading,29,-0.05100271850824356,0.05100271850824356,0.0026012772952311303
11_formality,11,reading,30,-0.056477390229701996,0.056477390229701996,0.0031896956071580385
11_formality,11,reading,31,-0.04618334025144577,0.04618334025144577,0.002132900916780811
11_formality,11,reading,32,-0.039225004613399506,0.039225004613399506,0.0015386009869212125
11_formality,11,reading,33,-0.05413307622075081,0.05413307622075081,0.0029303899411216167
11_formality,11,reading,34,-0.0315207839012146,0.0315207839012146,0.0009935598177470695
11_formality,11,reading,35,-0.04373922944068909,0.04373922944068909,0.001913120192065243
11_formality,11,reading,36,-0.034599315375089645,0.034599315375089645,0.0011971126244249147
11_formality,11,reading,37,-0.024544959887862206,0.024544959887862206,0.0006024550558967647
11_formality,11,reading,38,-0.02227489836513996,0.02227489836513996,0.0004961710971773149
11_formality,11,reading,39,-0.021486589685082436,0.021486589685082436,0.0004616735362950909
11_formality,11,reading,40,-0.03268725797533989,0.03268725797533989,0.0010684568339464212
11_formality,11,control,6,-0.03057500161230564,0.03057500161230564,0.0009348307235924926
11_formality,11,control,7,-0.04584464430809021,0.04584464430809021,0.002101731411735308
11_formality,11,control,8,-0.06629347801208496,0.06629347801208496,0.004394825226938792
11_formality,11,control,9,-0.049478817731142044,0.049478817731142044,0.0024481534040715763
11_formality,11,control,10,-0.047280676662921906,0.047280676662921906,0.002235462385703768
11_formality,11,control,11,-0.07355710864067078,0.07355710864067078,0.005410648231575443
11_formality,11,control,12,-0.07104512304067612,0.07104512304067612,0.0050474095078648085
11_formality,11,control,13,-0.052568431943655014,0.052568431943655014,0.002763440037014689
11_formality,11,control,14,-0.052072010934352875,0.052072010934352875,0.0027114943227473653
11_formality,11,control,15,-0.06564464420080185,0.06564464420080185,0.004309219312249868
11_formality,11,control,16,-0.049301646649837494,0.049301646649837494,0.0024306523623854326
11_formality,11,control,17,-0.0506061352789402,0.0506061352789402,0.002560980927870396
11_formality,11,control,18,-0.040855634957551956,0.040855634957551956,0.0016691829077847414
11_formality,11,control,19,-0.030264094471931458,0.030264094471931458,0.0009159154142059922
11_formality,11,control,20,-0.028952568769454956,0.028952568769454956,0.0008382512383500185
11_formality,11,control,21,-0.045689865946769714,0.045689865946769714,0.0020875638502337868
11_formality,11,control,22,-0.035275183618068695,0.035275183618068695,0.001244338579288462
11_formality,11,control,23,-0.043241120874881744,0.043241120874881744,0.0018697945345161338
11_formality,11,control,24,-0.041326578706502914,0.041326578706502914,0.00170788610758478
11_formality,11,control,25,-0.0469747819006443,0.0469747819006443,0.0022066301346130995
11_formality,11,control,26,-0.042521748691797256,0.042521748691797256,0.0018080991118083617
11_formality,11,control,27,-0.041112449020147324,0.041112449020147324,0.0016902334644342126
11_formality,11,control,28,-0.04076407849788666,0.04076407849788666,0.0016617100957818653
11_formality,11,control,29,-0.045333098620176315,0.045333098620176315,0.0020550898305066317
11_formality,11,control,30,-0.039137788116931915,0.039137788116931915,0.001531766458685857
11_formality,11,control,31,-0.03427613899111748,0.03427613899111748,0.0011748537041384038
11_formality,11,control,32,-0.03684993088245392,0.03684993088245392,0.001357917406041631
11_formality,11,control,33,-0.033814460039138794,0.033814460039138794,0.0011434177077385144
11_formality,11,control,34,-0.033729735761880875,0.033729735761880875,0.0011376950745663056
11_formality,11,control,35,-0.025596726685762405,0.025596726685762405,0.0006551924170256213
11_formality,11,control,36,-0.015945490449666977,0.015945490449666977,0.00025425866568042077
11_formality,11,control,37,-0.021081261336803436,0.021081261336803436,0.0004444195795506034
11_formality,11,control,38,-0.00939573161303997,0.00939573161303997,8.827977254427868e-05
11_formality,11,control,39,-0.022992251440882683,0.022992251440882683,0.0005286436263207718
11_formality,11,control,40,-0.017899008467793465,0.017899008467793465,0.00032037450413014215
