dim_name,dim_id,probe_type,layer,cosine,abs_cosine,r_squared
0_baseline,0,reading,6,0.017788199707865715,0.017788199707865715,0.0003164200488469139
0_baseline,0,reading,7,0.005485157947987318,0.005485157947987318,3.0086957714368446e-05
0_baseline,0,reading,8,0.030428456142544746,0.030428456142544746,0.0009258909432187691
0_baseline,0,reading,9,-0.01579577848315239,0.01579577848315239,0.00024950661788882
0_baseline,0,reading,10,0.005507185123860836,0.005507185123860836,3.0329087988474092e-05
0_baseline,0,reading,11,0.0007485520327463746,0.0007485520327463746,5.603301457287295e-07
0_baseline,0,reading,12,0.010258559137582779,0.010258559137582779,0.00010523803557928313
0_baseline,0,reading,13,0.019988898187875748,0.019988898187875748,0.00039955605076526235
0_baseline,0,reading,14,0.015903575345873833,0.015903575345873833,0.000252923708781886
0_baseline,0,reading,15,-0.017606522887945175,0.017606522887945175,0.0003099896482037373
0_baseline,0,reading,16,-0.013746760785579681,0.013746760785579681,0.0001889734320959513
0_baseline,0,reading,17,-0.0025426791980862617,0.0025426791980862617,6.465217504380595e-06
0_baseline,0,reading,18,0.011057602241635323,0.011057602241635323,0.0001222705673342185
0_baseline,0,reading,19,-0.005139677785336971,0.005139677785336971,2.6416287737086354e-05
0_baseline,0,reading,20,0.03510141372680664,0.03510141372680664,0.0012321092456204497
0_baseline,0,reading,21,-0.0033723115921020508,0.0033723115921020508,1.1372485474225869e-05
0_baseline,0,reading,22,0.009280861355364323,0.009280861355364323,8.613438749749489e-05
0_baseline,0,reading,23,-0.009504010900855064,0.009504010900855064,9.032622320357189e-05
0_baseline,0,reading,24,0.012827351689338684,0.012827351689338684,0.00016454095136198
0_baseline,0,reading,25,0.010282732546329498,0.010282732546329498,0.00010573458861934393
0_baseline,0,reading,26,-0.013310766778886318,0.013310766778886318,0.00017717651224190365
0_baseline,0,reading,27,-0.03558994084596634,0.03558994084596634,0.0012666438894193832
0_baseline,0,reading,28,0.042316947132349014,0.042316947132349014,0.0017907240146020215
0_baseline,0,reading,29,-0.02733735367655754,0.02733735367655754,0.0007473309060371941
0_baseline,0,reading,30,0.02639983408153057,0.02639983408153057,0.0006969512395323431
0_baseline,0,reading,31,0.02331027388572693,0.02331027388572693,0.0005433688686276028
0_baseline,0,reading,32,0.010034395381808281,0.010034395381808281,0.00010068909067845536
0_baseline,0,reading,33,-0.014821619726717472,0.014821619726717472,0.0002196804113234205
0_baseline,0,reading,34,0.0016999631188809872,0.0016999631188809872,2.8898746055555733e-06
0_baseline,0,reading,35,-0.012101172469556332,0.012101172469556332,0.00014643837513794809
0_baseline,0,reading,36,0.015404273755848408,0.015404273755848408,0.00023729164994512
0_baseline,0,reading,37,-0.003374977968633175,0.003374977968633175,1.1390476288759312e-05
0_baseline,0,reading,38,-0.012014329433441162,0.012014329433441162,0.00014434411173525064
0_baseline,0,reading,39,0.02080947533249855,0.02080947533249855,0.00043303426361386566
0_baseline,0,reading,40,-0.015308840200304985,0.015308840200304985,0.00023436058827847397
0_baseline,0,control,6,-0.023039840161800385,0.023039840161800385,0.00053083423468131
0_baseline,0,control,7,-0.013072650879621506,0.013072650879621506,0.00017089420102046893
0_baseline,0,control,8,0.06662353873252869,0.06662353873252869,0.00443869591324475
0_baseline,0,control,9,-0.021500883623957634,0.021500883623957634,0.00046228799661096956
0_baseline,0,control,10,0.0199336726218462,0.0199336726218462,0.0003973513041949407
0_baseline,0,control,11,0.012591231614351273,0.012591231614351273,0.00015853911356623895
0_baseline,0,control,12,-0.00654612947255373,0.00654612947255373,4.2851811071436575e-05
0_baseline,0,control,13,-0.014472484588623047,0.014472484588623047,0.0002094528101679316
0_baseline,0,control,14,0.03707024082541466,0.03707024082541466,0.0013742027548542396
0_baseline,0,control,15,-0.008168473839759827,0.008168473839759827,6.672396487084065e-05
0_baseline,0,control,16,-0.052794527262449265,0.052794527262449265,0.0027872621088654986
0_baseline,0,control,17,0.0061616674065589905,0.0061616674065589905,3.7966145229051396e-05
0_baseline,0,control,18,-0.011990384198725224,0.011990384198725224,0.00014376931323303952
0_baseline,0,control,19,-0.005886556580662727,0.005886556580662727,3.465154837734366e-05
