dim_name,dim_id,probe_type,layer,cosine,abs_cosine,r_squared
4_intentions,4,reading,6,0.019702574238181114,0.019702574238181114,0.0003881914316110381
4_intentions,4,reading,7,0.028227657079696655,0.028227657079696655,0.0007968006242089487
4_intentions,4,reading,8,0.023296169936656952,0.023296169936656952,0.0005427115337175992
4_intentions,4,reading,9,-0.008609980344772339,0.008609980344772339,7.4131761537366e-05
4_intentions,4,reading,10,-0.03412794694304466,0.03412794694304466,0.0011647167625472715
4_intentions,4,reading,11,-0.00838120374828577,0.00838120374828577,7.024457627027945e-05
4_intentions,4,reading,12,0.002306882757693529,0.002306882757693529,5.321708057743702e-06
4_intentions,4,reading,13,0.005127313546836376,0.005127313546836376,2.628934420757182e-05
4_intentions,4,reading,14,0.0236592385917902,0.0236592385917902,0.0005597595707432547
4_intentions,4,reading,15,0.033270496875047684,0.033270496875047684,0.0011069259623125577
4_intentions,4,reading,16,0.027422916144132614,0.027422916144132614,0.0007520163298481292
4_intentions,4,reading,17,0.029601747170090675,0.029601747170090675,0.0008762634355219713
4_intentions,4,reading,18,0.025919578969478607,0.025919578969478607,0.0006718245739550377
4_intentions,4,reading,19,0.011916250921785831,0.011916250921785831,0.00014199703603096168
4_intentions,4,reading,20,0.025298871099948883,0.025298871099948883,0.0006400328789318288
4_intentions,4,reading,21,0.03134225308895111,0.03134225308895111,0.0009823368286918654
4_intentions,4,reading,22,0.025503063574433327,0.025503063574433327,0.000650406251681588
4_intentions,4,reading,23,0.025474222376942635,0.025474222376942635,0.0006489360057099249
4_intentions,4,reading,24,0.01600467599928379,0.01600467599928379,0.0002561496538420506
4_intentions,4,reading,25,0.005645691882818937,0.005645691882818937,3.187383683572764e-05
4_intentions,4,reading,26,0.02248692885041237,0.02248692885041237,0.0005056619691235081
4_intentions,4,reading,27,0.03131166100502014,0.03131166100502014,0.000980420114893299
4_intentions,4,reading,28,0.03384014591574669,0.03384014591574669,0.0011451554755990273
4_intentions,4,reading,29,0.026581740006804466,0.026581740006804466,0.0007065889017893491
4_intentions,4,reading,30,0.02229532226920128,0.02229532226920128,0.0004970813950875425
4_intentions,4,reading,31,0.028625767678022385,0.028625767678022385,0.0008194345751561111
4_intentions,4,reading,32,0.02669597417116165,0.02669597417116165,0.00071267503694733
4_intentions,4,reading,33,0.021100321784615517,0.021100321784615517,0.00044522357941432014
4_intentions,4,reading,34,0.01081857830286026,0.01081857830286026,0.00011704163649511878
4_intentions,4,reading,35,0.021473916247487068,0.021473916247487068,0.0004611290790040891
4_intentions,4,reading,36,-0.016529250890016556,0.016529250890016556,0.0002732161349851131
4_intentions,4,reading,37,0.004552643746137619,0.004552643746137619,2.0726565079245973e-05
4_intentions,4,reading,38,0.003092827508226037,0.003092827508226037,9.565581995639677e-06
4_intentions,4,reading,39,-0.016636749729514122,0.016636749729514122,0.0002767814415624882
4_intentions,4,reading,40,-0.003373300191015005,0.003373300191015005,1.137915417870187e-05
4_intentions,4,control,6,0.15960025787353516,0.15960025787353516,0.02547224231329892
4_intentions,4,control,7,0.16148102283477783,0.16148102283477783,0.02607612073576604
4_intentions,4,control,8,0.18927723169326782,0.18927723169326782,0.03582587043746699
