dim_name,dim_id,probe_type,layer,cosine,abs_cosine,r_squared
18_attention,18,reading,6,-0.04681092128157616,0.04681092128157616,0.0021912623512299195
18_attention,18,reading,7,-0.05872396007180214,0.05872396007180214,0.003448503486514612
18_attention,18,reading,8,-0.03509979322552681,0.03509979322552681,0.0012319954844747377
18_attention,18,reading,9,-0.02827226184308529,0.02827226184308529,0.0007993207897239764
18_attention,18,reading,10,-0.02489551715552807,0.02489551715552807,0.0006197867744411924
18_attention,18,reading,11,-0.032292697578668594,0.032292697578668594,0.0010428183169073485
18_attention,18,reading,12,-0.04039900377392769,0.04039900377392769,0.0016320795059258236
18_attention,18,reading,13,-0.021995605900883675,0.021995605900883675,0.00048380667894698873
18_attention,18,reading,14,-0.041047267615795135,0.041047267615795135,0.001684878178722704
18_attention,18,reading,15,-0.04049757868051529,0.04049757868051529,0.0016400538789845265
18_attention,18,reading,16,-0.04730537161231041,0.04730537161231041,0.0022377981833787836
18_attention,18,reading,17,-0.05159033462405205,0.05159033462405205,0.0026615626266216635
18_attention,18,reading,18,-0.04023170471191406,0.04023170471191406,0.0016185900640266482
18_attention,18,reading,19,-0.037995703518390656,0.037995703518390656,0.001443673485857444
18_attention,18,reading,20,-0.0531565360724926,0.0531565360724926,0.002825617327226207
18_attention,18,reading,21,-0.04511764273047447,0.04511764273047447,0.002035601685554736
18_attention,18,reading,22,-0.030202416703104973,0.030202416703104973,0.0009121859747079943
18_attention,18,reading,23,-0.03571780398488045,0.03571780398488045,0.0012757615215023416
18_attention,18,reading,24,-0.03603421151638031,0.03603421151638031,0.0012984643996072354
18_attention,18,reading,25,-0.04128493741154671,0.04128493741154671,0.001704446057075329
18_attention,18,reading,26,-0.04246984422206879,0.04246984422206879,0.0018036876682467895
18_attention,18,reading,27,-0.045097317546606064,0.045097317546606064,0.002033768049899423
18_attention,18,reading,28,-0.05594021454453468,0.05594021454453468,0.0031293076032885697
18_attention,18,reading,29,-0.052087150514125824,0.052087150514125824,0.002713071248681198
18_attention,18,reading,30,-0.056935206055641174,0.056935206055641174,0.0032416176885983194
18_attention,18,reading,31,-0.04981166124343872,0.04981166124343872,0.002481201595831095
18_attention,18,reading,32,-0.04258397966623306,0.04258397966623306,0.001813395324214151
18_attention,18,reading,33,-0.05515142157673836,0.05515142157673836,0.0030416793019351213
18_attention,18,reading,34,-0.02460089884698391,0.02460089884698391,0.0006052042240795343
18_attention,18,reading,35,-0.04494914785027504,0.04494914785027504,0.0020204258924658852
18_attention,18,reading,36,-0.03326398879289627,0.03326398879289627,0.0011064929504139287
18_attention,18,reading,37,-0.0225150678306818,0.0225150678306818,0.0005069282794202025
18_attention,18,reading,38,-0.021483153104782104,0.021483153104782104,0.000461525867323509
18_attention,18,reading,39,-0.023853855207562447,0.023853855207562447,0.000569006408263354
18_attention,18,reading,40,-0.03772188723087311,0.03772188723087311,0.0014229407762587076
18_attention,18,control,6,-0.02970300428569317,0.02970300428569317,0.0008822684635959067
18_attention,18,control,7,-0.04807482659816742,0.04807482659816742,0.0023111889524438656
18_attention,18,control,8,-0.07244304567575455,0.07244304567575455,0.00524799486677946
18_attention,18,control,9,-0.05953255295753479,0.05953255295753479,0.0035441248616416843
18_attention,18,control,10,-0.05699017271399498,0.05699017271399498,0.003247879785970978
18_attention,18,control,11,-0.08398871123790741,0.08398871123790741,0.007054103615404594
18_attention,18,control,12,-0.07562539726495743,0.07562539726495743,0.00571920071148263
