dimension,prompt_idx,human_mean,ai_mean,diff,t,p
10_animacy,0,0.19414695,0.16565596,0.02849099,4.053660545091085,5.235506363260687e-05
10_animacy,1,0.19738688,0.16952829,0.027858585,4.040591788837505,5.533487448652975e-05
10_animacy,2,0.19995113,0.17180254,0.028148592,4.0321578292316245,5.7342518958839193e-05
10_animacy,3,0.1908118,0.16296495,0.027846843,4.038870502118231,5.57391231805883e-05
10_animacy,4,0.20000404,0.17200717,0.027996868,4.096589910605466,4.360176411572138e-05
10_animacy,5,0.19413033,0.1663233,0.027807027,4.000727089267757,6.544930047334166e-05
10_animacy,6,0.19189823,0.16381623,0.028081998,4.053650959285178,5.235719244863572e-05
10_animacy,7,0.20001355,0.17229293,0.027720615,4.080542421563919,4.669734500447483e-05
10_animacy,8,0.19026576,0.16278265,0.027483106,4.006851222149354,6.37891265572632e-05
10_animacy,9,0.19667411,0.1688941,0.027780011,4.042265614333885,5.494443895446711e-05
10_animacy,10,0.19150709,0.16299802,0.028509066,4.036453338547753,5.631152898947129e-05
10_animacy,11,0.19254616,0.16398242,0.028563738,4.033388157501793,5.7045406736296594e-05
10_animacy,12,0.19524515,0.1671921,0.028053045,4.039055494590319,5.569554330843834e-05
10_animacy,13,0.19296004,0.16522212,0.027737916,4.042196071372601,5.496060836756854e-05
10_animacy,14,0.191263,0.16300292,0.028260082,4.002270825329905,6.502699760296266e-05
10_animacy,15,0.19413754,0.16578232,0.028355226,4.053216205303203,5.245382895921591e-05
10_animacy,16,0.19856998,0.17051743,0.028052554,4.031531354963117,5.749436936419457e-05
10_animacy,17,0.19154392,0.16329259,0.028251335,4.01720229840497,6.107342497725767e-05
10_animacy,18,0.1951713,0.16661581,0.028555483,4.031616828914635,5.747362899703576e-05
10_animacy,19,0.19648446,0.16833533,0.028149128,4.06043280018507,5.087142171067132e-05
10_animacy,20,0.1900594,0.16264978,0.027409613,4.001263532132075,6.530225807782305e-05
10_animacy,21,0.19851016,0.17024459,0.028265566,4.059494896252683,5.107448876155273e-05
10_animacy,22,0.19241086,0.16482538,0.027585477,3.986135860792148,6.957123004370204e-05
10_animacy,23,0.20218271,0.17358851,0.028594196,4.094844837312913,4.3928703842657615e-05
10_animacy,24,0.19634067,0.16905466,0.027286008,4.007647701366645,6.357616606300219e-05
10_animacy,25,0.19209358,0.16458066,0.027512923,4.025452396332559,5.898776755403095e-05
