approach,dimension,human_mean,ai_mean,diff,p,p_fdr,cohen_d
A,10_animacy,0.1973639875650406,0.16898705065250397,0.02837693691253662,5.8216373566933985e-05,7.263622805027872e-05,0.18016330897808075
A,11_formality,0.1941160410642624,0.16490007936954498,0.029215961694717407,5.424456290169815e-05,7.263622805027872e-05,0.1809110790491104
A,12_expertise,0.19113974273204803,0.16217559576034546,0.028964146971702576,6.180282926879735e-05,7.263622805027872e-05,0.17952853441238403
A,13_helpfulness,0.1919034719467163,0.1629645675420761,0.028938904404640198,5.5424534672911173e-05,7.263622805027872e-05,0.18068364262580872
A,14_biological,0.19144777953624725,0.16328833997249603,0.02815943956375122,6.225962404309605e-05,7.263622805027872e-05,0.17945021390914917
A,15_shapes,0.19425581395626068,0.1655081957578659,0.028747618198394775,5.799683755223195e-05,7.263622805027872e-05,0.18020334839820862
A,16_human,0.19105300307273865,0.16303052008152008,0.028022482991218567,7.792343087588286e-05,8.080948387128593e-05,0.177048459649086
A,17_ai,0.19429589807987213,0.1661817580461502,0.028114140033721924,8.938828431092022e-05,8.938828431092022e-05,0.17556509375572205
A,18_attention,0.19526061415672302,0.16636820137500763,0.028892412781715393,6.0318253346055696e-05,7.263622805027872e-05,0.17978695034980774
A,1_phenomenology,0.19927740097045898,0.1704479604959488,0.028829440474510193,5.4642466375382245e-05,7.263622805027872e-05,0.1808338463306427
A,20_sysprompt_talkto_human,0.18156041204929352,0.152478888630867,0.029081523418426514,5.119065035386012e-05,7.263622805027872e-05,0.1815222203731537
A,21_sysprompt_talkto_ai,0.18239548802375793,0.15397487580776215,0.02842061221599579,7.421238438294994e-05,8.080948387128593e-05,0.17757312953472137
A,22_sysprompt_bare_human,0.18318621814250946,0.15394672751426697,0.029239490628242493,5.208534138118596e-05,7.263622805027872e-05,0.18133966624736786
A,23_sysprompt_bare_ai,0.18513834476470947,0.15670257806777954,0.02843576669692993,7.640677264810473e-05,8.080948387128593e-05,0.17725995182991028
A,25_beliefs,0.19344790279865265,0.16455040872097015,0.028897494077682495,5.633187764701313e-05,7.263622805027872e-05,0.18051184713840485
A,26_desires,0.19854412972927094,0.16949017345905304,0.029053956270217896,5.034039050941058e-05,7.263622805027872e-05,0.1816985309123993
A,27_goals,0.20108646154403687,0.17161081731319427,0.02947564423084259,4.9581785004005686e-05,7.263622805027872e-05,0.18185822665691376
A,2_emotions,0.20042122900485992,0.17114396393299103,0.029277265071868896,4.963484849563414e-05,7.263622805027872e-05,0.1818469762802124
A,30_granite_sandstone,0.1949952244758606,0.16618280112743378,0.02881242334842682,5.297517203450448e-05,7.263622805027872e-05,0.181161031126976
A,31_squares_triangles,0.1916869580745697,0.16317430138587952,0.028512656688690186,5.826623809501242e-05,7.263622805027872e-05,0.1801542341709137
A,32_horizontal_vertical,0.19214767217636108,0.16346025466918945,0.02868741750717163,5.664817786575809e-05,7.263622805027872e-05,0.1804526001214981
A,3_agency,0.19866526126861572,0.16940559446811676,0.029259666800498962,5.318189669999589e-05,7.263622805027872e-05,0.18111993372440338
A,4_intentions,0.20102450251579285,0.17157882452011108,0.029445677995681763,4.928110678547639e-05,7.263622805027872e-05,0.18192216753959656
A,5_prediction,0.1939019411802292,0.1649995744228363,0.028902366757392883,5.832799539088247e-05,7.263622805027872e-05,0.18014299869537354
A,6_cognitive,0.1933596283197403,0.1641918271780014,0.02916780114173889,5.8008086630259604e-05,7.263622805027872e-05,0.18020129203796387
A,7_social,0.1894465535879135,0.1605900377035141,0.028856515884399414,5.6650608017189346e-05,7.263622805027872e-05,0.1804521381855011
A,8_embodiment,0.1947057545185089,0.16618597507476807,0.028519779443740845,6.138895660905357e-05,7.263622805027872e-05,0.17959998548030853
A,9_roles,0.19642826914787292,0.16735504567623138,0.02907322347164154,5.8666661751488564e-05,7.263622805027872e-05,0.18008160591125488
C,10_animacy,0.011818227358162403,0.01583867520093918,-0.004020447842776775,0.0018068663412241807,0.006324032194284632,-0.1397303193807602
C,11_formality,-0.0006111683323979378,-0.002314135665073991,0.001702967332676053,0.004380215125105225,0.01226460235029463,0.12757447361946106
C,12_expertise,-0.009181370958685875,-0.010457218624651432,0.001275847665965557,0.07859307399823286,0.1294474159970894,0.07870109379291534
C,13_helpfulness,-0.008660901337862015,-0.009213671088218689,0.0005527697503566742,0.3463881628682446,0.3730334061658019,0.04212038964033127
C,14_biological,-0.009592163376510143,-0.0057662781327962875,-0.0038258852437138557,3.288327754306124e-05,0.0002301829428014287,-0.18613116443157196
C,15_shapes,0.005005986429750919,0.005949126090854406,-0.000943139661103487,0.1046174752331688,0.15417312139624878,-0.07260990887880325
C,16_human,-0.004804958589375019,-0.0010024040238931775,-0.0038025546818971634,5.455731164574514e-10,1.527604726080864e-08,-0.2788916826248169
C,17_ai,0.013501769863069057,0.017301205545663834,-0.003799435682594776,5.182861420394946e-08,7.256005988552925e-07,-0.24444112181663513
C,18_attention,0.020193276926875114,0.01953740231692791,0.0006558746099472046,0.3255452914872289,0.3646107264656963,0.04397756606340408
