conv_idx,condition,subject,topic,partner_name
0,ai,s001,hobbies,ChatGPT
1,human,s001,nature,Rebecca
2,human,s001,cars,Gregory
3,ai,s001,space,GPT-4
4,ai,s001,friendship,GPT-4
5,human,s001,childhood_memories,Gregory
6,human,s001,conflict,Rebecca
7,ai,s001,photography,ChatGPT
8,human,s001,mentorship,Gregory
9,ai,s001,empathy,GPT-4
10,ai,s001,role_models,ChatGPT
11,human,s001,books,Rebecca
12,human,s001,networks,Rebecca
13,ai,s001,art,ChatGPT
14,human,s001,exercise,Gregory
15,ai,s001,sports,GPT-4
16,human,s001,music,Rebecca
17,ai,s001,love,ChatGPT
18,ai,s001,loneliness,GPT-4
19,human,s001,architecture,Gregory
20,ai,s001,cooking,ChatGPT
21,human,s001,cultural_celebrations,Gregory
22,ai,s001,movies,GPT-4
23,human,s001,trust,Rebecca
24,ai,s001,teamwork,GPT-4
25,human,s001,technology,Gregory
26,ai,s001,travel,ChatGPT
27,human,s001,seasons,Rebecca
28,ai,s001,podcasts,GPT-4
29,human,s001,work_life,Gregory
30,human,s001,communication,Rebecca
31,ai,s001,forgiveness,ChatGPT
32,ai,s001,boundaries,ChatGPT
33,human,s001,family,Gregory
34,human,s001,fashion,Rebecca
35,ai,s001,weather,GPT-4
36,ai,s001,social_media,GPT-4
37,ai,s001,gardening,ChatGPT
38,human,s001,goals,Rebecca
39,human,s001,food,Gregory
40,ai,s002,space,ChatGPT
41,human,s002,childhood_memories,Rebecca
42,ai,s002,friendship,GPT-4
43,human,s002,photography,Gregory
44,human,s002,cars,Rebecca
45,ai,s002,nature,GPT-4
46,ai,s002,conflict,ChatGPT
47,human,s002,hobbies,Gregory
48,human,s002,mentorship,Rebecca
49,ai,s002,books,ChatGPT
50,ai,s002,art,GPT-4
51,human,s002,role_models,Gregory
52,ai,s002,networks,GPT-4
53,human,s002,exercise,Rebecca
54,human,s002,sports,Gregory
55,ai,s002,empathy,ChatGPT
56,human,s002,movies,Rebecca
57,human,s002,music,Gregory
58,ai,s002,cultural_celebrations,ChatGPT
59,ai,s002,love,GPT-4
