probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,0,Baseline,Control,1,Phenomenology,Mental,0.00035730541008489435,0.00018975129927391147,0.0005259842353792243,0.0,1.0,0.0,0.0,True,***
metacognitive,0,Baseline,Control,2,Emotions,Mental,0.00036553198191896285,0.0001891221045993515,0.0005368195208452851,0.0,1.0,0.0,0.0,True,***
metacognitive,0,Baseline,Control,3,Agency,Mental,0.00028820652494397723,0.0001053122018686979,0.0004684229667316935,0.0,1.0,0.0,0.0,True,***
metacognitive,0,Baseline,Control,4,Intentions,Mental,0.00018018240188981155,-3.248908753678856e-05,0.0003913397703243809,0.054,0.946,0.108,0.1856629213483146,False,n.s.
metacognitive,0,Baseline,Control,5,Prediction,Mental,0.00026784631947774224,6.681437652744258e-05,0.00046536377552967135,0.005,0.995,0.01,0.028867924528301888,True,*
metacognitive,0,Baseline,Control,6,Cognitive,Mental,0.00021737172007624644,5.470713052439756e-05,0.0003938013778893639,0.002,0.998,0.004,0.013021276595744681,True,*
metacognitive,0,Baseline,Control,7,Social,Mental,0.00017747450456756492,-4.879647331814061e-06,0.000355049151489296,0.031,0.969,0.062,0.12481578947368421,False,n.s.
metacognitive,0,Baseline,Control,8,Embodiment,Physical,0.00038084012030273546,0.00022546271621588662,0.0005391761094494758,0.0,1.0,0.0,0.0,True,***
metacognitive,0,Baseline,Control,9,Roles,Physical,0.0002752772849424797,0.0001067777852537856,0.00044151448723066933,0.0,1.0,0.0,0.0,True,***
metacognitive,0,Baseline,Control,10,Animacy,Physical,0.00029825342523484533,0.00011783161623458811,0.0004780833454323365,0.0,1.0,0.0,0.0,True,***
metacognitive,0,Baseline,Control,11,Formality,Pragmatic,0.00048563101784229,0.00028625250736568367,0.0006777427494539064,0.0,1.0,0.0,0.0,True,***
metacognitive,0,Baseline,Control,12,Expertise,Pragmatic,0.0002949723308806664,0.00011786371601238773,0.00046496978163927476,0.001,0.999,0.002,0.007463414634146341,True,**
metacognitive,0,Baseline,Control,13,Helpfulness,Pragmatic,0.0003469266186572866,0.00010291967840264547,0.000561257701967142,0.001,0.999,0.002,0.007463414634146341,True,**
metacognitive,0,Baseline,Control,14,Biological,Control,0.0004634147437944708,0.00029523928531827875,0.0006263876141997063,0.0,1.0,0.0,0.0,True,***
metacognitive,0,Baseline,Control,15,Shapes,Control,0.0002991712295572484,6.407008617242854e-05,0.0005232758611477914,0.002,0.998,0.004,0.013021276595744681,True,*
metacognitive,0,Baseline,Control,17,Attention,Mental,0.0002439445167740556,7.743896968648553e-05,0.00040758607599084544,0.002,0.998,0.004,0.013021276595744681,True,*
metacognitive,0,Baseline,Control,18,SysPrompt (labeled),SysPrompt,0.0001647059665043882,-1.2790149313100424e-05,0.00034168817644200097,0.028,0.972,0.056,0.119,False,n.s.
metacognitive,1,Phenomenology,Mental,2,Emotions,Mental,8.226571834068445e-06,-8.155281719035565e-05,0.0001049174026014729,0.456,0.544,0.912,0.9469459459459459,False,n.s.
