probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,0,Baseline,Control,1,Phenomenology,Mental,-0.00015617220698812423,-0.0004097140477197065,7.384781765519099e-05,0.896,0.104,0.208,0.32099999999999995,False,n.s.
metacognitive,0,Baseline,Control,2,Emotions,Mental,-6.632381458508952e-05,-0.00023077286335578112,0.00010960577602170961,0.775,0.225,0.45,0.564344262295082,False,n.s.
metacognitive,0,Baseline,Control,3,Agency,Mental,-0.00013030509405932513,-0.00032172336076186433,6.012277706665207e-05,0.907,0.093,0.186,0.29338144329896904,False,n.s.
metacognitive,0,Baseline,Control,4,Intentions,Mental,-0.0003011454581414477,-0.0005065476625023168,-9.648146524955775e-05,0.997,0.003,0.006,0.016690909090909093,True,*
metacognitive,0,Baseline,Control,5,Prediction,Mental,-0.0001627410812840278,-0.00038609451542203315,5.307423168237602e-05,0.934,0.066,0.132,0.22193406593406595,False,n.s.
metacognitive,0,Baseline,Control,6,Cognitive,Mental,-0.00016379152216976938,-0.0003911573251157843,5.1629614523461695e-05,0.931,0.069,0.138,0.2295,False,n.s.
metacognitive,0,Baseline,Control,7,Social,Mental,-0.00017358532687989509,-0.00037443137347963057,4.724892859717948e-05,0.945,0.055,0.11,0.19344827586206897,False,n.s.
metacognitive,0,Baseline,Control,8,Embodiment,Physical,-1.00999883804578e-05,-0.00018412034428927286,0.00017551250975727825,0.55,0.45,0.9,0.9241610738255035,False,n.s.
metacognitive,0,Baseline,Control,9,Roles,Physical,-0.00011152799705100593,-0.00037750489597891305,0.00010792302171182734,0.816,0.184,0.368,0.4853793103448276,False,n.s.
metacognitive,0,Baseline,Control,10,Animacy,Physical,0.00019116430677468317,5.3470613712733303e-05,0.0003473291776799152,0.004,0.996,0.008,0.02110344827586207,True,*
metacognitive,0,Baseline,Control,11,Formality,Pragmatic,5.645730137482009e-05,-0.00016162113494448162,0.00024611925902873937,0.292,0.708,0.584,0.6820763358778625,False,n.s.
metacognitive,0,Baseline,Control,12,Expertise,Pragmatic,0.0002371804040714737,0.00010406045315673114,0.00038588273749158857,0.0,1.0,0.0,0.0,True,***
metacognitive,0,Baseline,Control,13,Helpfulness,Pragmatic,0.0002033889847702895,4.767639675976866e-05,0.00036006828490496736,0.006,0.994,0.012,0.030098360655737705,True,*
metacognitive,0,Baseline,Control,14,Biological,Control,4.858845122042886e-05,-9.136922554358851e-05,0.00020474885175126114,0.257,0.743,0.514,0.614390625,False,n.s.
metacognitive,0,Baseline,Control,15,Shapes,Control,0.00012400801629374462,-5.4265584822193436e-05,0.0003120131677213058,0.087,0.913,0.174,0.28023157894736844,False,n.s.
metacognitive,0,Baseline,Control,17,Attention,Mental,-0.00022441659459992395,-0.0004074490456238519,-3.4108146955800914e-05,0.992,0.008,0.016,0.03825,True,*
metacognitive,0,Baseline,Control,18,SysPrompt (labeled),SysPrompt,0.0001576300686213541,2.463841041779685e-05,0.00031735764046412845,0.01,0.99,0.02,0.046363636363636364,True,*
metacognitive,1,Phenomenology,Mental,2,Emotions,Mental,8.984839240303472e-05,-0.00010392226449850189,0.00031802584362011077,0.209,0.791,0.418,0.5399999999999999,False,n.s.
metacognitive,1,Phenomenology,Mental,3,Agency,Mental,2.5867112928799085e-05,-0.00018763924573680961,0.0002838841654537807,0.443,0.557,0.886,0.9159324324324324,False,n.s.
