probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,0,Baseline,Control,1,Phenomenology,Mental,-9.807260158020298e-05,-0.0003131708461138496,0.00020975152123738604,0.812,0.188,0.376,0.58446,False,n.s.
metacognitive,0,Baseline,Control,2,Emotions,Mental,-0.00018799737655439413,-0.0004283007813359019,0.00012241463528803696,0.916,0.084,0.168,0.3521095890410959,False,n.s.
metacognitive,0,Baseline,Control,3,Agency,Mental,-0.000231645842328369,-0.000476689766399806,9.599574897059368e-05,0.938,0.062,0.124,0.2964375,False,n.s.
metacognitive,0,Baseline,Control,4,Intentions,Mental,-0.00029171155422983477,-0.0005451747211190124,2.7449152512719475e-05,0.968,0.032,0.064,0.192,False,n.s.
metacognitive,0,Baseline,Control,5,Prediction,Mental,-0.00020551258324437834,-0.0005460402591159374,0.00015399644670066647,0.902,0.098,0.196,0.37959493670886074,False,n.s.
metacognitive,0,Baseline,Control,6,Cognitive,Mental,-0.0002342518137673526,-0.0004895531048459095,6.501873308688558e-05,0.951,0.049,0.098,0.2585172413793103,False,n.s.
metacognitive,0,Baseline,Control,7,Social,Mental,-0.00034268650853534397,-0.0006660351425755782,3.015514298560066e-06,0.973,0.027,0.054,0.1757872340425532,False,n.s.
metacognitive,0,Baseline,Control,8,Embodiment,Physical,-6.185087621198284e-05,-0.00025566403081970964,0.00022097117893838373,0.742,0.258,0.516,0.6918260869565218,False,n.s.
metacognitive,0,Baseline,Control,9,Roles,Physical,-0.0001417807621620727,-0.0005174677667885733,0.00022526229952086162,0.784,0.216,0.432,0.6293207547169811,False,n.s.
metacognitive,0,Baseline,Control,10,Animacy,Physical,-9.366081634119905e-05,-0.00033022148671545923,0.00023066427264640472,0.777,0.223,0.446,0.6372660550458716,False,n.s.
metacognitive,0,Baseline,Control,11,Formality,Pragmatic,-0.00018273542636649103,-0.0004085421759171023,0.00012010929804133532,0.912,0.088,0.176,0.3543157894736842,False,n.s.
metacognitive,0,Baseline,Control,12,Expertise,Pragmatic,-0.0004144136052756585,-0.0006482899976265412,-0.00010595287836887,0.993,0.007,0.014,0.0649090909090909,False,n.s.
metacognitive,0,Baseline,Control,13,Helpfulness,Pragmatic,-4.0929959701799246e-05,-0.00029061986578463636,0.0002775644006653311,0.636,0.364,0.728,0.8013237410071943,False,n.s.
metacognitive,0,Baseline,Control,14,Biological,Control,5.6557421126600627e-05,-0.00011849136328005236,0.00033287638543530543,0.342,0.658,0.684,0.7992537313432836,False,n.s.
metacognitive,0,Baseline,Control,15,Shapes,Control,-0.0002909871553300156,-0.0005805423500921288,4.3403291500875126e-05,0.964,0.036,0.072,0.2002909090909091,False,n.s.
metacognitive,0,Baseline,Control,17,Attention,Mental,-0.00041466734617342236,-0.0006567277962549842,-8.776108929738556e-05,0.988,0.012,0.024,0.09924324324324325,False,n.s.
metacognitive,0,Baseline,Control,18,SysPrompt (labeled),SysPrompt,-0.0006901196041901581,-0.0009586941490933723,-0.0003779213447134139,1.0,0.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,2,Emotions,Mental,-8.992477497419119e-05,-0.00025894834474347465,7.57909179629297e-05,0.842,0.158,0.316,0.5255217391304348,False,n.s.
metacognitive,1,Phenomenology,Mental,3,Agency,Mental,-0.000133573240748166,-0.00033292154902223075,5.475843410426915e-05,0.926,0.074,0.148,0.32817391304347826,False,n.s.
metacognitive,1,Phenomenology,Mental,4,Intentions,Mental,-0.00019363895264963178,-0.000407401317716383,2.270402182302628e-05,0.957,0.043,0.086,0.2349642857142857,False,n.s.
