probe_type,dim_a_id,dim_a_name,dim_a_category,dim_b_id,dim_b_name,dim_b_category,mean_diff,ci95_lo,ci95_hi,p_greater,p_less,p_two_sided,p_fdr,significant_fdr,stars
metacognitive,1,Phenomenology,Mental,2,Emotions,Mental,-4.820428953308846e-06,-9.417854954819117e-06,-3.4951303059322904e-07,0.981,0.019,0.038,0.05775,False,n.s.
metacognitive,1,Phenomenology,Mental,3,Agency,Mental,1.5303258022197133e-05,9.547616306865756e-06,2.1100267099980864e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,4,Intentions,Mental,1.1233366292765756e-05,6.8042118232612404e-06,1.5812575472790596e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,5,Prediction,Mental,1.1984217787168544e-05,7.921576239206597e-06,1.594964210577426e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,6,Cognitive,Mental,2.2236792241079094e-05,1.7643865179611595e-05,2.690993282271578e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,7,Social,Mental,2.1678033040186362e-05,1.6909662686566277e-05,2.599804285167072e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,8,Embodiment,Physical,1.0082197003680824e-05,5.6942873387774105e-06,1.4522485697414056e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,9,Roles,Physical,2.1611988871480866e-05,1.7324934947385003e-05,2.5657718466265396e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,10,Animacy,Physical,1.2256661754941483e-05,8.310396576541402e-06,1.6477874592365376e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,11,Formality,Pragmatic,3.774545383839613e-06,-1.0018304747580867e-06,8.974324938151396e-06,0.063,0.937,0.126,0.17021052631578948,False,n.s.
metacognitive,1,Phenomenology,Mental,12,Expertise,Pragmatic,1.5833060611627834e-05,1.0145696666210826e-05,2.1409995654437574e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,13,Helpfulness,Pragmatic,1.0436778773718396e-05,5.576894437154931e-06,1.5090846455724853e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,14,Biological,Control,1.0309839705146866e-05,6.197624060735432e-06,1.4401045717670514e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,15,Shapes,Control,-1.0715786256677371e-06,-5.293449649042267e-06,3.5082041736003167e-06,0.671,0.329,0.658,0.7203696682464455,False,n.s.
metacognitive,1,Phenomenology,Mental,16,Human (concept),Entity,1.3774259460835648e-05,1.0083552146162574e-05,1.7368552963536743e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,17,AI (concept),Entity,1.3538481463539948e-05,9.150466434687919e-06,1.8046823784497133e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,18,Attention,Mental,8.826802898270745e-06,5.1583448948829605e-06,1.2326742160863127e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,20,SysPrompt (talkto human),SysPrompt,7.009209212670497e-07,-2.4645798596940223e-06,3.663492318722868e-06,0.317,0.683,0.634,0.7041057692307693,False,n.s.
metacognitive,1,Phenomenology,Mental,21,SysPrompt (talkto AI),SysPrompt,8.779188174254689e-06,1.6267826859717272e-06,1.6508027739093078e-05,0.007,0.993,0.014,0.0231,True,*
metacognitive,1,Phenomenology,Mental,22,SysPrompt (bare human),SysPrompt,2.2304824083782288e-05,1.8287452761456307e-05,2.62723531535814e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,1,Phenomenology,Mental,23,SysPrompt (bare AI),SysPrompt,2.9689530557842177e-05,2.321200325160696e-05,3.63654606872672e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,3,Agency,Mental,2.012368697550598e-05,1.4245847851249842e-05,2.6448765908373153e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,4,Intentions,Mental,1.6053795246074603e-05,1.0983619488458903e-05,2.1126220416810635e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,5,Prediction,Mental,1.6804646740477386e-05,1.2268429668920735e-05,2.124168070814563e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,6,Cognitive,Mental,2.7057221194387935e-05,2.1478399977225392e-05,3.2509461314380145e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,7,Social,Mental,2.6498461993495207e-05,2.1948813754977438e-05,3.093409627125314e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,8,Embodiment,Physical,1.490262595698967e-05,1.0290127002112018e-05,2.0019960173315943e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,9,Roles,Physical,2.6432417824789707e-05,2.1645109410328044e-05,3.121616482657441e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,10,Animacy,Physical,1.7077090708250328e-05,1.2411315419525212e-05,2.215183687835132e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,11,Formality,Pragmatic,8.59497433714846e-06,2.793679570260326e-06,1.435778900717468e-05,0.001,0.999,0.002,0.003666666666666667,True,**
metacognitive,2,Emotions,Mental,12,Expertise,Pragmatic,2.065348956493668e-05,1.454163367340901e-05,2.6872812157899827e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,13,Helpfulness,Pragmatic,1.5257207727027243e-05,1.0556963852680454e-05,2.0237127904286686e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,14,Biological,Control,1.513026865845571e-05,1.0600312557766487e-05,1.9626511684584743e-05,0.0,1.0,0.0,0.0,True,***
metacognitive,2,Emotions,Mental,15,Shapes,Control,3.7488503276411084e-06,-8.759106486386347e-07,8.716244203509757e-06,0.056,0.944,0.112,0.154,False,n.s.
