dim_name,dim_id,probe_type,layer,cosine,abs_cosine,r_squared
14_biological,14,reading,6,-0.018329709768295288,0.018329709768295288,0.0003359782601899397
14_biological,14,reading,7,0.010789953172206879,0.010789953172206879,0.00011642308945841728
14_biological,14,reading,8,0.02148895151913166,0.02148895151913166,0.0004617750373915909
14_biological,14,reading,9,-0.00291836797259748,0.00291836797259748,8.516871623482725e-06
14_biological,14,reading,10,0.012870557606220245,0.012870557606220245,0.0001656512530950338
14_biological,14,reading,11,-0.008891872130334377,0.008891872130334377,7.906538998221722e-05
14_biological,14,reading,12,-0.006419035140424967,0.006419035140424967,4.1204012134010573e-05
14_biological,14,reading,13,0.0027331458404660225,0.0027331458404660225,7.4700861852567205e-06
14_biological,14,reading,14,0.029464375227689743,0.029464375227689743,0.000868149407558097
14_biological,14,reading,15,0.006612211465835571,0.006612211465835571,4.3721340468927394e-05
14_biological,14,reading,16,-0.00813177227973938,0.00813177227973938,6.612572040953779e-05
14_biological,14,reading,17,-0.01988842710852623,0.01988842710852623,0.000395549532851161
14_biological,14,reading,18,-0.009252683259546757,0.009252683259546757,8.56121475014968e-05
14_biological,14,reading,19,0.0014007074059918523,0.0014007074059918523,1.9619812372004237e-06
14_biological,14,reading,20,0.022616887465119362,0.022616887465119362,0.0005115235986098733
14_biological,14,reading,21,0.0021120125893503428,0.0021120125893503428,4.4605971775743395e-06
14_biological,14,reading,22,0.01248667947947979,0.01248667947947979,0.00015591716442326167
14_biological,14,reading,23,-0.014719929546117783,0.014719929546117783,0.00021667632584267127
14_biological,14,reading,24,0.025483084842562675,0.025483084842562675,0.0006493876130932476
14_biological,14,reading,25,-0.019127530977129936,0.019127530977129936,0.0003658624412810653
14_biological,14,reading,26,-0.007429059129208326,0.007429059129208326,5.5190919545273576e-05
14_biological,14,reading,27,0.023094898089766502,0.023094898089766502,0.0005333743177767004
14_biological,14,reading,28,0.009745148941874504,0.009745148941874504,9.496792789931777e-05
14_biological,14,reading,29,-0.015333757735788822,0.015333757735788822,0.00023512412629986355
14_biological,14,reading,30,-0.0036350672598928213,0.0036350672598928213,1.3213713983944704e-05
14_biological,14,reading,31,0.00721515528857708,0.00721515528857708,5.20584658382818e-05
14_biological,14,reading,32,-0.007932692766189575,0.007932692766189575,6.292761452275641e-05
14_biological,14,reading,33,0.0016305826138705015,0.0016305826138705015,2.658799660656757e-06
14_biological,14,reading,34,0.021985838189721107,0.021985838189721107,0.0004833770809045991
14_biological,14,reading,35,-0.0014156007673591375,0.0014156007673591375,2.003925532547779e-06
14_biological,14,reading,36,-0.014125410467386246,0.014125410467386246,0.00019952722087214492
14_biological,14,reading,37,-0.01775681972503662,0.01775681972503662,0.0003153046467474496
14_biological,14,reading,38,-0.002548817079514265,0.002548817079514265,6.496468504823627e-06
14_biological,14,reading,39,-0.018955733627080917,0.018955733627080917,0.00035931983734084627
14_biological,14,reading,40,-0.015246705152094364,0.015246705152094364,0.00023246201799490083
14_biological,14,control,6,-0.014835081994533539,0.014835081994533539,0.0002200796577845332
14_biological,14,control,7,0.0019644801504909992,0.0019644801504909992,3.859182261673139e-06
14_biological,14,control,8,0.020984811708331108,0.020984811708331108,0.00044036232243411036
14_biological,14,control,9,-0.0033948372583836317,0.0033948372583836317,1.1524920010909693e-05
14_biological,14,control,10,-0.006949169561266899,0.006949169561266899,4.829095759123839e-05
14_biological,14,control,11,-0.0022707663010805845,0.0022707663010805845,5.1563795941232e-06
14_biological,14,control,12,0.007719835266470909,0.007719835266470909,5.959585654144797e-05
14_biological,14,control,13,-0.004623393528163433,0.004623393528163433,2.1375767716263518e-05
14_biological,14,control,14,0.031231705099344254,0.031231705099344254,0.0009754194034124058
14_biological,14,control,15,0.027548564597964287,0.027548564597964287,0.0007589234114082112
14_biological,14,control,16,0.03598734736442566,0.03598734736442566,0.0012950891703278344
14_biological,14,control,17,-0.0028526759706437588,0.0028526759706437588,8.137760193488311e-06
14_biological,14,control,18,-0.0013173769693821669,0.0013173769693821669,1.7354820794585426e-06
14_biological,14,control,19,0.014168006367981434,0.014168006367981434,0.00020073240444316246
14_biological,14,control,20,0.007140082307159901,0.007140082307159901,5.098077535301785e-05
14_biological,14,control,21,-0.024059489369392395,0.024059489369392395,0.0005788590287159057
14_biological,14,control,22,0.02080504782497883,0.02080504782497883,0.0004328500149996563
14_biological,14,control,23,-0.02056986466050148,0.02056986466050148,0.00042311933215134767
14_biological,14,control,24,0.020071635022759438,0.020071635022759438,0.00040287053248686325
14_biological,14,control,25,-0.01170946005731821,0.01170946005731821,0.0001371114548339306
14_biological,14,control,26,0.00300405640155077,0.00300405640155077,9.02435486369816e-06
14_biological,14,control,27,-0.017582906410098076,0.017582906410098076,0.000309158597826268
14_biological,14,control,28,-0.00037928641540929675,0.00037928641540929675,1.4385818491403362e-07
14_biological,14,control,29,0.0052307783626019955,0.0052307783626019955,2.7361042278665213e-05
14_biological,14,control,30,-0.02268170565366745,0.02268170565366745,0.00051445977135961
14_biological,14,control,31,0.00965695921331644,0.00965695921331644,9.325686124765729e-05
14_biological,14,control,32,-0.0069753811694681644,0.0069753811694681644,4.865594245937106e-05
14_biological,14,control,33,0.012316575273871422,0.012316575273871422,0.0001516980264769409
14_biological,14,control,34,0.0020877092611044645,0.0020877092611044645,4.358529958901349e-06
14_biological,14,control,35,0.01296579372137785,0.01296579372137785,0.00016811180682532127
14_biological,14,control,36,-0.0021149958483874798,0.0021149958483874798,4.473207438696275e-06
14_biological,14,control,37,-0.0031784954480826855,0.0031784954480826855,1.0102833313482351e-05
14_biological,14,control,38,-0.006422426551580429,0.006422426551580429,4.124756281044528e-05
14_biological,14,control,39,0.013788780197501183,0.013788780197501183,0.00019013045933500075
14_biological,14,control,40,0.00948264729231596,0.00948264729231596,8.99205996704672e-05
