dim_name,dim_id,probe_type,layer,cosine,abs_cosine,r_squared
1_phenomenology,1,reading,6,-0.017387239262461662,0.017387239262461662,0.00030231608917008837
1_phenomenology,1,reading,7,0.02200113609433174,0.02200113609433174,0.00048404998944130695
1_phenomenology,1,reading,8,0.029001174494624138,0.029001174494624138,0.0008410681220676376
1_phenomenology,1,reading,9,-0.007784648798406124,0.007784648798406124,6.060075691452591e-05
1_phenomenology,1,reading,10,-0.0027478353586047888,0.0027478353586047888,7.550599157998708e-06
1_phenomenology,1,reading,11,-0.019245142117142677,0.019245142117142677,0.00037037549510901893
1_phenomenology,1,reading,12,-0.034386299550533295,0.034386299550533295,0.0011824175967790063
1_phenomenology,1,reading,13,0.005360358394682407,0.005360358394682407,2.8733442119442155e-05
1_phenomenology,1,reading,14,0.010270634666085243,0.010270634666085243,0.00010548593644419194
1_phenomenology,1,reading,15,0.0039035757072269917,0.0039035757072269917,1.5237903302052708e-05
1_phenomenology,1,reading,16,-0.0023247411008924246,0.0023247411008924246,5.404421186178522e-06
1_phenomenology,1,reading,17,-0.005839151330292225,0.005839151330292225,3.409568825805346e-05
1_phenomenology,1,reading,18,0.005042148754000664,0.005042148754000664,2.5423264057470446e-05
1_phenomenology,1,reading,19,-0.0007250886992551386,0.0007250886992551386,5.257536217875089e-07
1_phenomenology,1,reading,20,0.019997110590338707,0.019997110590338707,0.00039988443196223647
1_phenomenology,1,reading,21,0.012532282620668411,0.012532282620668411,0.0001570581076843075
1_phenomenology,1,reading,22,0.0033279103226959705,0.0033279103226959705,1.1074987115906399e-05
1_phenomenology,1,reading,23,0.000681366422213614,0.000681366422213614,4.642602013201809e-07
1_phenomenology,1,reading,24,0.02288071997463703,0.02288071997463703,0.000523527346557754
1_phenomenology,1,reading,25,0.0011982168070971966,0.0011982168070971966,1.4357235168102004e-06
1_phenomenology,1,reading,26,0.008029933087527752,0.008029933087527752,6.447982539017297e-05
1_phenomenology,1,reading,27,0.015467040240764618,0.015467040240764618,0.000239229333809432
1_phenomenology,1,reading,28,0.017974108457565308,0.017974108457565308,0.0003230685748443207
1_phenomenology,1,reading,29,0.0011460614623501897,0.0011460614623501897,1.3134568754842553e-06
1_phenomenology,1,reading,30,-0.008650156669318676,0.008650156669318676,7.482521040375837e-05
1_phenomenology,1,reading,31,0.019295237958431244,0.019295237958431244,0.0003723062078724859
1_phenomenology,1,reading,32,-0.003953604493290186,0.003953604493290186,1.5630988489364348e-05
1_phenomenology,1,reading,33,0.00470896577462554,0.00470896577462554,2.217435866659471e-05
