dim_name,dim_id,probe_type,layer,cosine,abs_cosine,r_squared
10_animacy,10,reading,6,-0.02285655587911606,0.02285655587911606,0.0005224221466551549
10_animacy,10,reading,7,-0.007626392412930727,0.007626392412930727,5.8161861236007356e-05
10_animacy,10,reading,8,0.01071159541606903,0.01071159541606903,0.00011473827635755107
10_animacy,10,reading,9,-0.007622284349054098,0.007622284349054098,5.8099218697835056e-05
10_animacy,10,reading,10,0.021463820710778236,0.021463820710778236,0.00046069559950443276
10_animacy,10,reading,11,-0.0023252014070749283,0.0023252014070749283,5.406561583463226e-06
10_animacy,10,reading,12,0.00730480533093214,0.00730480533093214,5.3360180922814616e-05
10_animacy,10,reading,13,0.01190646830946207,0.01190646830946207,0.00014176398760422457
10_animacy,10,reading,14,0.02147653140127659,0.02147653140127659,0.00046124140103001934
10_animacy,10,reading,15,0.022075816988945007,0.022075816988945007,0.000487341695729393
10_animacy,10,reading,16,-0.007786391768604517,0.007786391768604517,6.062789677419218e-05
10_animacy,10,reading,17,-0.01142918225377798,0.01142918225377798,0.00013062620699007352
10_animacy,10,reading,18,-0.015737757086753845,0.015737757086753845,0.0002476769981216709
10_animacy,10,reading,19,0.02099643088877201,0.02099643088877201,0.0004408501100669794
10_animacy,10,reading,20,0.010280871763825417,0.010280871763825417,0.00010569632422422273
10_animacy,10,reading,21,0.0110946549102664,0.0110946549102664,0.00012309136757789833
10_animacy,10,reading,22,0.01581755466759205,0.01581755466759205,0.000250195035662263
10_animacy,10,reading,23,-0.0029251049272716045,0.0029251049272716045,8.556238835548619e-06
10_animacy,10,reading,24,0.023265765979886055,0.023265765979886055,0.0005412958666308233
10_animacy,10,reading,25,-0.025118181481957436,0.025118181481957436,0.0006309230409605494
10_animacy,10,reading,26,-0.006669697351753712,0.006669697351753712,4.4484862763990475e-05
10_animacy,10,reading,27,-0.013866818509995937,0.013866818509995937,0.00019228865558916595
10_animacy,10,reading,28,0.009135999716818333,0.009135999716818333,8.346649082570465e-05
10_animacy,10,reading,29,0.002892723074182868,0.002892723074182868,8.367846783909982e-06
10_animacy,10,reading,30,0.005968061275780201,0.005968061275780201,3.56177553914672e-05
10_animacy,10,reading,31,-0.007339303381741047,0.007339303381741047,5.386537412923557e-05
10_animacy,10,reading,32,0.00478097191080451,0.00478097191080451,2.285769241190173e-05
10_animacy,10,reading,33,-0.0029356409795582294,0.0029356409795582294,8.617987960861601e-06
10_animacy,10,reading,34,0.02235598675906658,0.02235598675906658,0.0004997901439715603
10_animacy,10,reading,35,0.011911925859749317,0.011911925859749317,0.0001418939776881645
10_animacy,10,reading,36,-0.008235816843807697,0.008235816843807697,6.782867908474658e-05
10_animacy,10,reading,37,-0.018896374851465225,0.018896374851465225,0.0003570729825270874
10_animacy,10,reading,38,-0.02070959471166134,0.02070959471166134,0.0004288873131212713
10_animacy,10,reading,39,-0.027742626145482063,0.027742626145482063,0.000769653305447985
10_animacy,10,reading,40,-0.008017093874514103,0.008017093874514103,6.427379419277155e-05
10_animacy,10,control,6,0.005006955470889807,0.005006955470889807,2.5069603087473366e-05
10_animacy,10,control,7,0.0126665523275733,0.0126665523275733,0.00016044154786715257
10_animacy,10,control,8,0.020959408953785896,0.020959408953785896,0.0004392968236920404
10_animacy,10,control,9,-0.006159287411719561,0.006159287411719561,3.7936821420167044e-05
10_animacy,10,control,10,0.01200205646455288,0.01200205646455288,0.00014404935937831556
10_animacy,10,control,11,-0.00529484124854207,0.00529484124854207,2.803534384726255e-05
10_animacy,10,control,12,0.023591475561261177,0.023591475561261177,0.0005565577191575834
10_animacy,10,control,13,-0.016534719616174698,0.016534719616174698,0.00027339695278551235
10_animacy,10,control,14,0.024898724630475044,0.024898724630475044,0.0006199464882242246
10_animacy,10,control,15,0.03958870470523834,0.03958870470523834,0.0015672655402385605
10_animacy,10,control,16,0.025158245116472244,0.025158245116472244,0.0006329372973404995
10_animacy,10,control,17,-0.0035989501047879457,0.0035989501047879457,1.2952441856753166e-05
10_animacy,10,control,18,-0.020257040858268738,0.020257040858268738,0.00041034770433356904
10_animacy,10,control,19,-0.007523404434323311,0.007523404434323311,5.660161428239566e-05
10_animacy,10,control,20,0.02133401855826378,0.02133401855826378,0.0004551403478443433
10_animacy,10,control,21,-0.0011206590570509434,0.0011206590570509434,1.2558767221503096e-06
10_animacy,10,control,22,-0.0022405656054615974,0.0022405656054615974,5.020134232377495e-06
10_animacy,10,control,23,-0.005477706901729107,0.005477706901729107,3.000527290125069e-05
10_animacy,10,control,24,0.019633980467915535,0.019633980467915535,0.00038549318901448873
10_animacy,10,control,25,-0.005220555234700441,0.005220555234700441,2.725419695855818e-05
